Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2007,Aston Martin,V8 Vantage,Base,Coupe,manual,scfbb03b37gc04913,fl,34,25426,blue,beige,mclaren tampa bay,47800,46000,Thu Feb 26 2015 01:35:00 GMT-0800 (PST)
2008,Aston Martin,V8 Vantage,N400 Roadster,convertible,automatic,scfbf04b58gd08985,ca,49,6470,—,brown,ooak motor group,57800,61000,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
2009,Aston Martin,V8 Vantage,Base,coupe,manual,scfbb03c29gc11993,fl,38,9207,black,beige,the collection,62000,60000,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
2007,Aston Martin,V8 Vantage,Base,coupe,automatic,scfbf03b67gc06191,ca,37,3835,green,brown,desert european motorcars,50500,57500,Thu Jun 18 2015 05:00:00 GMT-0700 (PDT)
2008,Aston Martin,V8 Vantage,N400 Roadster,convertible,automatic,scfbf04b08gd08294,fl,41,13479,black,beige,performance auto sales llc,55200,57000,Wed Jun 17 2015 04:55:00 GMT-0700 (PDT)
2009,Aston Martin,V8 Vantage,Base,coupe,manual,scfbb03c79gc12430,tx,48,25602,black,black,flag/park place maserati,55600,54000,Thu Jun 04 2015 04:00:00 GMT-0700 (PDT)
2007,Aston Martin,V8 Vantage,Base,coupe,automatic,scfbf03bx7gc05299,ca,26,64113,black,black,huntington beach ford,40800,41000,Wed May 27 2015 05:15:00 GMT-0700 (PDT)
2008,Aston Martin,V8 Vantage,N400 Roadster,Convertible,automatic,scfbf04b88gd08737,tx,32,23968,gray,black,hopper motorplex inc,52100,50500,Wed Jun 03 2015 03:15:00 GMT-0700 (PDT)
2008,Aston Martin,V8 Vantage,N400 Roadster,Convertible,automatic,scfbf04b28gd08667,fl,44,9204,blue,beige,braman honda of palm beach,59100,53500,Fri May 22 2015 02:35:00 GMT-0700 (PDT)
2007,Aston Martin,DB9,Volante,Convertible,automatic,scfad02a67gb07672,ca,34,35766,black,black,ferrari of orange county,48100,51000,Thu May 21 2015 05:00:00 GMT-0700 (PDT)
2007,Aston Martin,V8 Vantage,Base,Coupe,automatic,scfbf03b17gc06115,ca,28,26515,black,black,saitta trudeau chrysler jeep dodge,45600,50000,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
2006,Aston Martin,DB9,Volante,Convertible,automatic,scfad02a26gb04640,ca,36,40543,black,black,cnc motors inc,40700,47500,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2008,Aston Martin,V8 Vantage,N400 Roadster,Convertible,automatic,scfbf04b18gd07963,nv,42,23479,gray,black,las vegas motorcars llc,54600,51000,Fri Jan 09 2015 12:00:00 GMT-0800 (PST)
2007,Aston Martin,DB9,Volante,Convertible,automatic,scfad02a57gb07680,ca,33,18105,black,tan,aaero sweet company,57400,56000,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2007,Aston Martin,V8 Vantage,Base,Coupe,automatic,scfbf03b27gc06219,fl,35,15782,black,beige,american bank auto liquidators,51400,50600,Tue Feb 17 2015 01:15:00 GMT-0800 (PST)
2007,Aston Martin,V8 Vantage,Base,Coupe,automatic,scfbf03b97gc06220,nv,36,25028,gray,beige,las vegas motorcars llc,48900,45500,Fri Feb 06 2015 04:00:00 GMT-0800 (PST)
2007,Aston Martin,V8 Vantage,Base,Coupe,manual,scfbb03b77gc03957,ga,41,29767,silver,red,momentum motorcars,47100,47000,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
2007,Aston Martin,DB9,Volante,Convertible,automatic,scfad02a77gb06868,ga,46,7210,gray,beige,terryville chevrolet llc,64000,68000,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
2007,Aston Martin,V8 Vantage,Base,Coupe,automatic,scfbf03b77gc06216,ca,36,12284,black,—,avanti auto sales,52500,56000,Wed Jan 28 2015 10:00:00 GMT-0800 (PST)
2011,Aston Martin,Rapide,Base,Sedan,automatic,scfhddaj2baf01687,ca,35,20658,charcoal,gray,towbin motorcars,92000,94500,Wed Jan 28 2015 10:00:00 GMT-0800 (PST)
2006,Aston Martin,DB9,Volante,Convertible,automatic,scfad02a06gb04250,wa,27,45176,black,beige,rairdon's dodge chrysler jeep of kirkland,39300,41500,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
2007,Aston Martin,V8 Vantage,Base,Coupe,manual,scfbb03b57gc03259,tx,42,31283,silver,red,hopper motorplex inc,46100,46900,Wed Jan 21 2015 02:15:00 GMT-0800 (PST)
2011,Aston Martin,Rapide,Base,Sedan,automatic,scfhddaj3baf01939,ca,39,19769,white,black,high bid trading co inc,89000,103000,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
2006,Aston Martin,DB9,Volante,Convertible,automatic,scfad02a96gb04621,ca,36,42535,gray,black,jaguar san diego,40200,43000,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
