Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2011,Audi,A4,2.0T Premium quattro,Sedan,automatic,wauffafl2bn033780,wi,33,64852,black,black,bergstrom acura,17400,17000,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
2007,Audi,A8,L quattro,Sedan,automatic,waumv44e27n021510,tx,39,76799,white,tan,music city autoplex llc,15950,16500,Wed Mar 04 2015 02:20:00 GMT-0800 (PST)
2008,Audi,A6,3.2,Sedan,automatic,wauah74f88n182742,tx,43,70883,—,black,audi plano,11650,11000,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2011,Audi,S5,Premium Plus quattro,Coupe,manual,waugvafr1ba014267,fl,29,55718,black,red,lauderdale bmw of fort lauderdale,27800,27500,Fri Mar 06 2015 01:35:00 GMT-0800 (PST)
2011,Audi,Q5,3.2 Premium Plus quattro,SUV,automatic,wa1dkafp9ba027842,ny,36,101776,brown,black,adk auto brokers inc,20800,18300,Thu Mar 05 2015 01:45:00 GMT-0800 (PST)
2012,Audi,A7,Premium quattro,Sedan,automatic,wauygafc1cn109321,fl,44,24203,black,black,orlando mini,41300,41200,Tue Mar 03 2015 01:00:00 GMT-0800 (PST)
2013,Audi,S4,Premium Plus quattro,Sedan,automatic,waubgafl2da135358,wi,44,37768,black,black,bergstrom victory lane imports,35200,35250,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
2007,Audi,S4,quattro,Sedan,automatic,waugl78e07a033192,ca,26,67836,silver,black,audi wilsonville,16150,17250,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
2008,Audi,A4,2.0T,Sedan,automatic,wauaf78e48a003448,ca,29,78937,black,black,auto remarketing resources,9725,10750,Tue Mar 03 2015 04:00:00 GMT-0800 (PST)
2009,Audi,A4,2.0T Premium Avant quattro,Wagon,automatic,waugf78k09a181780,ca,37,40915,black,black,normandin chrysler jeep dodge,18350,19000,Tue Mar 03 2015 04:30:00 GMT-0800 (PST)
