Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2008,BMW,3 Series,335i,Convertible,automatic,wbawl73558px59678,ca,42,109461,white,beige,clear view systems,11500,13750,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
2008,BMW,X3,3.0si,SUV,automatic,wbxpc93498wj17211,va,34,67192,blue,tan,gm financial,12650,11800,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
2008,BMW,5 Series,535i,Sedan,automatic,wbanw13558cz84805,ca,4,59726,white,beige,ferrari & maserati of san diego,14250,16250,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2008,BMW,M6,Base,Convertible,manual,wbsek93598cy79111,pa,35,27573,black,brown,autolenders liquidation center,32600,33700,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
2008,BMW,3 Series,335xi,Sedan,automatic,wbavd53558a010931,nc,29,80077,gray,black,santander consumer,11800,9400,Mon Mar 09 2015 02:30:00 GMT-0700 (PDT)
2008,BMW,X5,4.8i,SUV,automatic,5uxfe83578l164498,pa,39,111762,white,brown,tsj auto brokers inc,13300,15700,Fri Feb 27 2015 01:15:00 GMT-0800 (PST)
2008,BMW,6 Series,650i,Coupe,automatic,wbaea53588cv90110,ca,37,102552,gray,black,studio city auto group,15550,16750,Tue Mar 03 2015 04:30:00 GMT-0800 (PST)
2008,BMW,5 Series,535i,Sedan,automatic,wbanw13558cn56636,fl,34,93719,black,gold,andrew thomas motorcars,11250,12600,Thu Feb 26 2015 01:50:00 GMT-0800 (PST)
2008,BMW,X5,3.0si,SUV,automatic,5uxfe43518l020888,ga,3,94618,white,brown,onemain rem/sport center imports inc,14350,15000,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2008,BMW,X3,3.0si,SUV,automatic,wbxpc93438wj12831,va,36,108508,silver,black,joyce koons honda buick gmc,9125,9900,Thu Mar 05 2015 01:35:00 GMT-0800 (PST)
2008,BMW,3 Series,328i,Sedan,automatic,wbavc53578fz83878,ca,41,119957,white,beige,auto exchange west,7700,9000,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2008,BMW,3 Series,328i,Coupe,automatic,wbawv13528p119130,il,34,41651,gray,black,remarketing by ge/manheim chicago,15200,8400,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
2009,BMW,X3,xDrive30i,SUV,automatic,wbxpc93469wj26045,nc,36,91588,blue,tan,parkway automotive group,13250,13400,Fri Feb 27 2015 01:30:00 GMT-0800 (PST)
2009,BMW,1 Series,128i,Convertible,manual,wbaun13579vh77680,fl,45,45864,gray,red,parks ford of wesley chapel,14800,14500,Thu Mar 05 2015 01:40:00 GMT-0800 (PST)
2009,BMW,3 Series,328i,Sedan,automatic,wbaph77509nm29296,tx,39,70889,brown,tan,elite motors,12350,10400,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2009,BMW,3 Series,328i,Sedan,automatic,wbaph53519a437585,ca,36,84323,gray,—,financial services remarketing (lease),11500,12900,Tue Mar 03 2015 04:30:00 GMT-0800 (PST)
2009,BMW,X6,xDrive50i,SUV,automatic,5uxfg83519lz94051,fl,19,75008,turquoise,beige,sun financial holdings llc,26400,21000,Fri Feb 27 2015 01:40:00 GMT-0800 (PST)
2009,BMW,3 Series,328i,Sedan,automatic,wbaph57569nl79024,ca,27,94866,white,brown,prestige auto,10850,12000,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2007,BMW,5 Series,530i,Sedan,automatic,wbane73587cm58429,fl,26,106376,black,tan,lauderdale bmw of fort lauderdale,8200,10700,Fri Feb 27 2015 01:35:00 GMT-0800 (PST)
