Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2007,Bentley,Continental GT,Base,Coupe,automatic,scbcr73wx7c048807,ca,38,26485,black,black,autobahn gallery,69000,74500,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
2005,Bentley,Continental GT,Base,coupe,automatic,scbcr63wx5c029133,nv,41,50088,black,black,bul connections llc,47800,48750,Fri May 29 2015 04:45:00 GMT-0700 (PDT)
2013,Bentley,Continental GTC,V8,Convertible,automatic,scbgt3za3dc083529,ga,42,13221,black,black,porsche fin svcs dba bentley financial services,143000,134000,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
2007,Bentley,Continental Flying Spur,Base,Sedan,automatic,scbbr93w27c040580,ca,41,15629,white,brown,phillips auto brokerage,55000,62500,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2008,Bentley,Continental Flying Spur,Base,Sedan,automatic,scbbr93w58c051381,fl,42,30120,black,brown,braman motorcars,66000,62000,Thu Jun 04 2015 02:40:00 GMT-0700 (PDT)
2008,Bentley,Continental GTC,Base,Convertible,automatic,scbdr33w48c055069,ca,43,62229,black,tan,ecars,61000,64500,Tue May 19 2015 05:30:00 GMT-0700 (PDT)
2008,Bentley,Continental GTC,Base,Convertible,automatic,scbdr33w38c056245,ca,39,30260,blue,beige,porsche fin svcs dba bentley financial services,75000,76000,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2008,Bentley,Continental GTC,Base,Convertible,automatic,scbdr33w48c053662,pa,33,65098,blue,tan,royal coast auto inc,61000,59000,Thu May 14 2015 02:30:00 GMT-0700 (PDT)
2009,Bentley,Continental GTC,Base,Convertible,automatic,scbdr33w79c060526,ca,38,17075,—,beige,vw credit,91000,90000,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2008,Bentley,Continental Flying Spur,Base,Sedan,automatic,scbbr93w58c051512,ca,29,33844,white,brown,prestige auto,66000,62000,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2008,Bentley,Continental GTC,Base,Convertible,automatic,scbdr33w28c051781,fl,36,21021,blue,tan,braman motorcars,78000,71500,Thu May 21 2015 02:40:00 GMT-0700 (PDT)
2013,Bentley,Continental GTC,Base,Convertible,automatic,scbgu3za2dc084880,ga,35,13840,gray,tan,porsche fin svcs dba bentley financial services,149000,130500,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
2012,Bentley,Continental GT,Base,Coupe,automatic,scbfr7za1cc074408,pa,19,22720,blue,beige,european motor sports inc,116000,84500,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
2005,Bentley,Continental GT,Base,Coupe,automatic,scbcr63w35c026168,fl,32,49512,white,beige,zimmerman auto brokers inc,47900,48200,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2006,Bentley,Continental GT,Base,coupe,automatic,scbcr63wx6c039078,ga,5,12971,gray,black,terryville chevrolet llc,62000,66500,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
2005,Bentley,Continental GT,Base,Coupe,automatic,scbcr63wx5c027432,ca,23,52688,black,black,high bid trading co inc,46900,54000,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2006,Bentley,Continental Flying Spur,Base,Sedan,automatic,scbbr53w66c034482,ca,35,34858,gray,tan,global european motorcars llc,52500,53500,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2013,Bentley,Continental GTC,Base,Convertible,automatic,scbgr3za1dc079560,ca,43,5593,black,brown,jaguar san diego,155000,158000,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2006,Bentley,Continental Flying Spur,Base,Sedan,automatic,scbbr53w06c036602,ca,37,42929,blue,tan,high bid trading co inc,51900,55000,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
