Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
1997,Buick,LeSabre,Limited,Sedan,automatic,1g4hr52k3vh537423,sc,19,155074,gray,gray,crews chevrolet,1175,1100,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
2008,Buick,Enclave,CXL,SUV,automatic,5gaev23738j303812,nc,42,153858,white,beige,rick hendrick chevrolet buick gmc,8075,8900,Mon Mar 02 2015 01:30:00 GMT-0800 (PST)
2009,Buick,Enclave,CX,SUV,automatic,5gaer13d89j179140,tx,37,92945,gold,beige,ramos auto sales,10800,12500,Wed Mar 04 2015 01:15:00 GMT-0800 (PST)
2011,Buick,Enclave,CXL1,SUV,automatic,5gakrbed8bj156985,tx,29,78869,blue,black,san antonio credit union,16450,16500,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
2014,Buick,LaCrosse,Premium II Group,Sedan,automatic,1g4gf5g39ef133494,fl,44,14928,red,black,kelley buick gmc inc,27000,28000,Tue Mar 03 2015 01:15:00 GMT-0800 (PST)
2014,Buick,LaCrosse,Leather Group,Sedan,automatic,1g4gb5g37ef102398,ma,39,40366,black,tan,enterprise veh exchange/rental,20100,18900,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2013,Buick,Regal,Premium 1,Sedan,automatic,2g4gs5er0d9216631,ca,37,56360,gold,black,fox rent a car,12650,12700,Tue Mar 03 2015 04:30:00 GMT-0800 (PST)
2013,Buick,Encore,Convenience,SUV,automatic,kl4cjbsb9db073120,fl,37,33394,black,black,tim short chevrolet,16950,17700,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
1997,Buick,Century,Limited,Sedan,automatic,2g4wy52m1v1437173,fl,19,92575,silver,beige,autonation cadillac port richey,1075,800,Tue Mar 03 2015 10:00:00 GMT-0800 (PST)
2007,Buick,Lucerne,CXL,Sedan,automatic,1g4hd57297u137609,nc,44,86569,silver,beige,rick hendrick chevrolet buick gmc,7350,7500,Mon Mar 02 2015 01:30:00 GMT-0800 (PST)
2000,Buick,Regal,LS,Sedan,automatic,2g4wb55k8y1359328,mn,33,167348,silver,gray,luther brookdale toyota scion,725,1900,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2000,Buick,Park Avenue,Base,Sedan,automatic,1g4cw52k6y4160973,fl,19,110793,gold,beige,autonation chevrolet greenacres,2000,1900,Tue Mar 03 2015 10:00:00 GMT-0800 (PST)
2002,Buick,LeSabre,Custom,Sedan,automatic,1g4hp54k324199009,ca,34,74334,blue,gray,credit acceptance corp/vrs/southfield,2450,2600,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
2003,Buick,Century,Base,Sedan,automatic,2g4ws52j531257991,mo,27,169460,silver,gray,napleton's mid rivers kia,1200,1200,Tue Mar 03 2015 03:00:00 GMT-0800 (PST)
2003,Buick,Park Avenue,Ultra,Sedan,automatic,1g4cu541334165146,sc,19,119968,silver,tan,hendrick toyota scion north charleston,3075,2900,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
2003,Buick,LeSabre,Custom,Sedan,automatic,1g4hp52k83u213345,ca,21,117623,gray,gray,credit acceptance corp/vrs/southfield,2700,2200,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
2003,Buick,Century,Base,Sedan,automatic,2g4ws52jx31254746,fl,19,134302,red,gray,hertz remarketing,1800,1400,Tue Mar 03 2015 01:15:00 GMT-0800 (PST)
2004,Buick,Rendezvous,CX,SUV,automatic,3g5da03e94s596625,pa,39,114211,gray,gray,695 auto sales & service,3025,4700,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2003,Buick,Century,Base,Sedan,automatic,2g4ws52j131173408,ca,19,83323,white,gray,tdaf remarketing,2675,2500,Tue Mar 03 2015 04:30:00 GMT-0800 (PST)
2014,Buick,Enclave,Leather Group,SUV,automatic,5gakrbkd8ej303881,fl,49,2301,gray,tan,us bank,34400,33800,Thu Mar 05 2015 01:15:00 GMT-0800 (PST)
2002,Buick,Park Avenue,Base,Sedan,automatic,1g4cw54k224115128,oh,3,109534,white,beige,u.s. auto credit purchase center llc,2675,1500,Thu Mar 05 2015 01:00:00 GMT-0800 (PST)
2005,Buick,LeSabre,Custom,Sedan,automatic,1g4hp54k95u261873,ga,28,118170,gold,beige,automobile acceptance corp,3475,3100,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
2008,Buick,LaCrosse,CXL,Sedan,automatic,2g4wd582081253011,fl,44,34139,gray,beige,regional acceptance corporation / greenville,10200,10400,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
2008,Buick,Enclave,CXL,SUV,automatic,5gaer237x8j142315,mo,38,100754,black,tan,jmj motors,11800,13400,Tue Mar 03 2015 03:00:00 GMT-0800 (PST)
2010,Buick,Enclave,CXL1,SUV,automatic,5galvbed8aj223566,mo,19,120362,silver,gray,automotive holding co ltd,12500,11200,Tue Mar 10 2015 04:00:00 GMT-0700 (PDT)
2011,Buick,Regal,CXL,Sedan,automatic,w04gt5gc6b1038018,fl,41,46253,blue,black,schumacher auto group inc,12350,12000,Tue Mar 03 2015 01:15:00 GMT-0800 (PST)
2014,Buick,Verano,Convenience Group,Sedan,automatic,1g4pr5sk9e4215498,fl,2,26717,red,—,enterprise vehicle exchange / tra / rental / tulsa,14800,11000,Tue Mar 10 2015 02:00:00 GMT-0700 (PDT)
