Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2006,Chrysler,PT Cruiser,Base,Wagon,manual,3a4fy48b56t330464,mo,19,88182,blue,gray,hendrick chevrolet shawnee mission,2300,2200,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2007,Chrysler,Town and Country,Touring,Minivan,automatic,2a4gp54l77r209211,nc,27,146498,blue,gray,united fcu,2950,2200,Tue Mar 03 2015 01:15:00 GMT-0800 (PST)
2007,Chrysler,Aspen,Limited,SUV,automatic,1a8hw58297f572494,mi,47,122509,white,tan,kevins marysville auto sales inc,9225,11400,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
2007,Chrysler,PT Cruiser,Base,Wagon,automatic,3a4fy48b47t503019,il,2,91777,black,beige,santander consumer,2675,2300,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
2007,Chrysler,Aspen,Limited,SUV,automatic,1a8hw58287f513999,wa,28,130649,white,beige,lexus of tacoma at fife,8225,10800,Wed Feb 25 2015 05:20:00 GMT-0800 (PST)
2007,Chrysler,Town and Country,Touring,Minivan,automatic,2a4gp54l27r279649,ga,31,173240,white,gray,five star dodge,2250,2100,Fri Feb 27 2015 03:00:00 GMT-0800 (PST)
2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg8er256026,fl,44,27821,red,black,rob lambdin's university dodge,18650,18000,Fri Mar 06 2015 01:20:00 GMT-0800 (PST)
2006,Chrysler,PT Cruiser,Base,Wagon,automatic,3a4fy48b96t317877,il,33,70900,blue,gray,ford motor credit company llc,3000,3200,Thu Mar 05 2015 06:00:00 GMT-0800 (PST)
2006,Chrysler,300,C,Sedan,automatic,2c3ka63h56h536252,pa,41,84710,black,gray,crossroad motors llc,8800,9600,Fri Feb 27 2015 01:15:00 GMT-0800 (PST)
2006,Chrysler,PT Cruiser,Base,Wagon,automatic,3a4fy48b86t318616,ca,29,81439,white,gray,aaero sweet company,2375,4800,Wed Feb 25 2015 04:00:00 GMT-0800 (PST)
2006,Chrysler,Town and Country,Limited,Minivan,automatic,2a8gp64l46r739946,co,45,78929,red,gray,gm financial,5350,7300,Tue Mar 03 2015 04:00:00 GMT-0800 (PST)
2006,Chrysler,300,C,Sedan,automatic,2c3lk63h76h277118,fl,19,139110,white,gray,north state acceptance,5125,4700,Fri Feb 27 2015 01:40:00 GMT-0800 (PST)
2006,Chrysler,300,C,Sedan,automatic,2c3ka63h16h428839,ca,21,153433,silver,gray,aaero sweet company,5300,6300,Wed Feb 25 2015 03:30:00 GMT-0800 (PST)
2006,Chrysler,PT Cruiser,Touring,Wagon,automatic,3a4fy58bx6t252253,fl,2,105578,—,gray,credit acceptance corp/vrs/southfield,2525,1400,Mon Mar 02 2015 01:30:00 GMT-0800 (PST)
2006,Chrysler,Town and Country,LX,Minivan,automatic,1a4gp44r06b613009,tn,2,82619,—,gray,tdaf remarketing,3750,2800,Tue Mar 03 2015 02:30:00 GMT-0800 (PST)
2007,Chrysler,Pacifica,Touring,Wagon,automatic,2a8gm68x17r364301,nc,19,83860,brown,gray,united fcu,5400,5000,Tue Mar 03 2015 01:15:00 GMT-0800 (PST)
2006,Chrysler,PT Cruiser,Base,Wagon,automatic,3a4fy48b46t334201,ca,19,143012,blue,gray,merle stone chevrolet inc,1500,1900,Thu Feb 26 2015 05:00:00 GMT-0800 (PST)
