Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2013,FIAT,500,Sport,Hatchback,manual,3c3cffbr6dt739946,il,1,26742,blue,black,chrysler capital,9625,2500,Tue Mar 03 2015 05:00:00 GMT-0800 (PST)
2012,FIAT,500,Pop,Hatchback,automatic,3c3cffar8ct105215,nc,42,50447,green,black,dt credit corporation,6800,8500,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2014,FIAT,500L,Easy,Wagon,automatic,zfbcfabh7ez026122,pa,4,2996,green,gray,hertz corporation/gdp,12750,13400,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
2013,FIAT,500,Sport,Hatchback,automatic,3c3cffbr8dt613863,mi,48,219,orange,black,ars-cpo,10900,12500,Thu Feb 26 2015 01:00:00 GMT-0800 (PST)
2012,FIAT,500,Pop,Hatchback,automatic,3c3cffar7ct124502,nv,32,49009,gray,gray,chapman chry jeep,6900,8000,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
2012,FIAT,500,Sport,Hatchback,manual,3c3cffbr0ct383198,pa,36,24030,green,brown,battlefield kia,9175,9100,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
2014,FIAT,500e,Base,Hatchback,automatic,3c3cffge0et175914,ca,45,12365,black,black,chrysler capital,17500,16000,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
2012,FIAT,500,Pop,Hatchback,automatic,3c3cffar1ct124186,md,29,61846,silver,gray,wells fargo dealer services,6300,6100,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2014,FIAT,500,Pop,Hatchback,automatic,3c3cffar0et165279,tx,39,17155,gray,red,chrysler capital,10000,8900,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
2012,FIAT,500,Pop,Hatchback,automatic,3c3cffar1ct380084,tx,38,33895,brown,black,santander consumer,7550,6400,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
2012,FIAT,500,Sport,Hatchback,automatic,3c3cffbr3ct109994,md,47,24681,white,brown,exeter finance corp,9125,9400,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2012,FIAT,500,Pop,Hatchback,automatic,3c3cffar2ct124486,oh,43,27428,gray,gray,exceptional motorcar llc,7825,7900,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2012,FIAT,500,Pop,Hatchback,manual,3c3cffar3ct102464,pr,36,25337,black,black,archie outlet auto sales,7850,9200,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2012,FIAT,500,Pop,Hatchback,automatic,3c3cffar6ct124975,fl,41,59033,white,black,johnson lexus of raleigh,6425,7600,Tue Mar 03 2015 01:15:00 GMT-0800 (PST)
2013,FIAT,500,Abarth,Hatchback,manual,3c3cfffh4dt739767,ny,48,12370,white,gray,adk auto brokers inc,13750,13800,Thu Mar 05 2015 01:45:00 GMT-0800 (PST)
2012,FIAT,500,Sport,Hatchback,automatic,3c3cffbr9ct115928,fl,47,23123,red,brown,jpmorgan chase bank n.a.,9275,9600,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2012,FIAT,500,Pop,Hatchback,automatic,3c3cffar3ct112508,oh,35,82129,white,red,dt credit corporation,5650,5000,Thu Mar 05 2015 01:00:00 GMT-0800 (PST)
2012,FIAT,500,Sport,Hatchback,manual,3c3cffbr0ct384318,fl,45,59112,red,gray,us bank,7475,8000,Thu Mar 05 2015 01:15:00 GMT-0800 (PST)
2013,FIAT,500,Sport,Hatchback,automatic,3c3cffbr8dt640352,wa,37,34382,blue,black,dollar rac/seattle,9225,10100,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
2013,FIAT,500,Pop,Hatchback,automatic,3c3cffar6dt567872,fl,36,35002,white,black,tdaf remarketing,8850,9000,Tue Mar 03 2015 01:00:00 GMT-0800 (PST)
2013,FIAT,500,Abarth,Hatchback,manual,3c3cfffhxdt611209,hi,39,7122,white,black,chrysler capital,14000,13000,Wed Mar 04 2015 06:35:00 GMT-0800 (PST)
2013,FIAT,500,Pop,Hatchback,automatic,3c3cffar6dt605391,ca,43,24943,gray,gray,audi san diego,8900,8100,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
2012,FIAT,500,Pop,Hatchback,automatic,3c3cffar2ct196580,ca,19,21650,orange,black,remarketing by ge/manheim southern california,7975,4100,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
2014,FIAT,500L,Pop,Wagon,automatic,zfbcfaah6ez013198,fl,4,15402,gray,black,hertz corporation/gdp,11400,11700,Mon Mar 02 2015 04:30:00 GMT-0800 (PST)
2014,FIAT,500L,Easy,Wagon,automatic,zfbcfabh1ez013950,nj,21,18551,red,gray,enterprise veh exchange/rental,12100,10700,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2014,FIAT,500,Pop,Hatchback,manual,3c3cffar9et232381,tx,42,8999,black,black,santander consumer,10300,9900,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2013,FIAT,500,Lounge,Hatchback,manual,3c3cffcr8dt513857,ma,19,6936,black,brown,metro honda,11250,4000,Tue Feb 24 2015 02:00:00 GMT-0800 (PST)
2013,FIAT,500,Abarth,Hatchback,manual,3c3cfffh1dt691256,ca,37,3504,red,black,chrysler capital,14300,14500,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2014,FIAT,500L,Easy,Wagon,automatic,zfbcfabh2ez019658,va,4,20621,silver,gray,hertz corporation/gdp,12000,12000,Thu Feb 26 2015 00:45:00 GMT-0800 (PST)
2013,FIAT,500,C Lounge,Convertible,automatic,3c3cffer2dt636020,va,42,7776,gray,red,apple fcu,13650,12400,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2012,FIAT,500,Sport,Hatchback,automatic,3c3cffbr2ct128469,ga,34,64895,silver,black,jim ellis,7300,7300,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
2012,FIAT,500,Sport,Hatchback,automatic,3c3cffbr1ct358116,wa,37,35019,blue,black,dollar rac/seattle,8525,9400,Wed Feb 25 2015 04:55:00 GMT-0800 (PST)
2012,FIAT,500,Sport,Hatchback,automatic,3c3cffbrxct296165,va,39,74137,green,gray,rosner motors inc,6825,7300,Thu Feb 26 2015 01:35:00 GMT-0800 (PST)
2014,FIAT,500L,Pop,Wagon,automatic,zfbcfaah8ez017348,fl,4,16061,black,black,hertz corporation/gdp,11400,12100,Mon Mar 02 2015 04:30:00 GMT-0800 (PST)
2014,FIAT,500,Abarth,Hatchback,manual,3c3cfffh5et165049,fl,43,8930,black,black,chrysler capital,14150,14000,Thu Feb 26 2015 01:35:00 GMT-0800 (PST)
2014,FIAT,500,Pop,Hatchback,manual,3c3cffar8et276128,az,37,4035,blue,black,bill luke chrysler jeep and dodge inc,10150,10600,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,FIAT,500L,Pop,Wagon,automatic,zfbcfaah2ez017569,fl,4,13752,black,black,hertz corporation/gdp,11500,11900,Mon Mar 02 2015 04:30:00 GMT-0800 (PST)
2014,FIAT,500L,Pop,Wagon,automatic,zfbcfaah5ez017243,fl,4,13784,black,black,hertz corporation/gdp,11450,11300,Mon Mar 02 2015 04:30:00 GMT-0800 (PST)
2014,FIAT,500L,Pop,Wagon,automatic,zfbcfaahxez014743,fl,4,15694,gray,black,hertz corporation/gdp,11400,11400,Mon Mar 02 2015 04:30:00 GMT-0800 (PST)
2014,FIAT,500L,Pop,Wagon,automatic,zfbcfaah9ez017584,fl,4,18928,white,black,hertz corporation/gdp,11300,12100,Mon Mar 02 2015 04:30:00 GMT-0800 (PST)
2014,FIAT,500L,Pop,Wagon,automatic,zfbcfaah3ez016379,fl,4,12702,gray,black,hertz corporation/gdp,11500,12000,Mon Mar 02 2015 04:30:00 GMT-0800 (PST)
2014,FIAT,500L,Pop,Wagon,automatic,zfbcfaah1ez016901,fl,4,19321,charcoal,black,hertz corporation/gdp,11250,11800,Mon Mar 02 2015 04:30:00 GMT-0800 (PST)
2014,FIAT,500L,Pop,Wagon,automatic,zfbcfaah0ez017733,fl,4,19000,black,black,hertz corporation/gdp,11300,11700,Mon Mar 02 2015 04:30:00 GMT-0800 (PST)
2013,FIAT,500,Pop,Hatchback,manual,3c3cffar1dt748359,mo,44,16207,brown,black,chrysler capital,8925,8400,Tue Feb 24 2015 16:00:00 GMT-0800 (PST)
2013,FIAT,500,t Turbo,Hatchback,manual,3c3cffhh7dt655360,mi,49,702,black,black,ars-cpo,12050,12500,Thu Mar 05 2015 01:00:00 GMT-0800 (PST)
2013,FIAT,500,Pop,Hatchback,automatic,3c3cffarxdt612926,fl,42,19498,silver,red,santander consumer,8850,10000,Thu Feb 26 2015 01:35:00 GMT-0800 (PST)
2014,FIAT,500L,Easy,Wagon,automatic,zfbcfabh8ez019650,tx,4,21925,gray,—,hertz corporation/gdp,11600,11600,Wed May 27 2015 03:15:00 GMT-0700 (PDT)
2014,FIAT,500L,Easy,Wagon,automatic,zfbcfabh0ez019996,pa,4,20497,black,gray,hertz corporation/gdp,11700,11600,Thu May 28 2015 02:30:00 GMT-0700 (PDT)
2014,FIAT,500L,Easy,Wagon,automatic,zfbcfabh1ez024382,ca,3,11853,gray,gray,hertz corporation/gdp,12350,12700,Tue Jun 02 2015 05:30:00 GMT-0700 (PDT)
2013,FIAT,500,Sport,Hatchback,automatic,3c3cffbr0dt618555,il,4,47634,white,gray,the hertz corporation,8475,8900,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
2013,FIAT,500,Pop,Hatchback,automatic,3c3cffar6dt742010,ca,26,19687,red,red,chrysler capital,8525,8000,Thu May 28 2015 05:00:00 GMT-0700 (PDT)
