Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2012,Ferrari,California,Base,Convertible,automatic,zff65ljaxc0183109,ca,2,19435,red,beige,enterprise vehicle exchange / tra / rental / tulsa,132000,113000,Tue May 26 2015 06:00:00 GMT-0700 (PDT)
2007,Ferrari,F430,Spider,convertible,automatic,zffew59a870152438,fl,29,39651,yellow,black,autoshow sales and service,96000,95500,Wed Jun 17 2015 04:55:00 GMT-0700 (PDT)
2010,Ferrari,California,Base,convertible,automatic,zff65lja3a0170151,ca,4,16008,white,beige,plaza motors inc,119000,124000,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
2011,Ferrari,458 Italia,Base,coupe,automatic,zff67nfa1b0178698,fl,46,12116,red,black,platinum motor cars,182000,183000,Wed Jun 17 2015 03:40:00 GMT-0700 (PDT)
2004,Ferrari,360,Spider,Convertible,manual,zffyt53a840138209,pa,39,16309,yellow,black,teatero motor products,80000,81000,Thu Jun 11 2015 02:30:00 GMT-0700 (PDT)
2010,Ferrari,California,Base,convertible,automatic,zff65lja2a0174465,ca,36,24698,—,red,mercedes benz of temecula,112000,112000,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
2010,Ferrari,California,Base,convertible,automatic,zff65lja2a0175860,ca,35,15155,—,tan,the hertz corporation,121000,124000,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
2012,Ferrari,California,Base,convertible,automatic,zff65tja4c0187060,fl,42,8972,gray,black,the collection,143000,138000,Thu May 28 2015 02:15:00 GMT-0700 (PDT)
2012,Ferrari,California,Base,convertible,automatic,zff65lja2c0183783,fl,48,11122,red,beige,the collection,140000,149000,Thu May 28 2015 02:15:00 GMT-0700 (PDT)
2012,Ferrari,California,Base,Convertible,automatic,zff65tja5c0187066,ca,42,10902,gray,brown,chicago motor car corporation,149000,154000,Tue Dec 30 2014 12:30:00 GMT-0800 (PST)
2010,Ferrari,California,Base,Convertible,automatic,zff65lja1a0170505,ca,49,14847,gray,brown,carbiz solutions  inc.,121000,123000,Thu May 21 2015 05:00:00 GMT-0700 (PDT)
2012,Ferrari,California,Base,Convertible,automatic,zff65lja6c0185410,fl,45,10180,red,tan,the collection,148000,141000,Thu Feb 19 2015 01:15:00 GMT-0800 (PST)
2010,Ferrari,California,Base,Convertible,automatic,zff65lja5a0168420,fl,48,9884,black,black,suncoast credit corporation,121000,125000,Thu Feb 12 2015 01:30:00 GMT-0800 (PST)
2012,Ferrari,California,Base,Convertible,automatic,zff65lja8c0182394,fl,43,29615,red,tan,autosport usa,143000,131000,Tue Feb 10 2015 04:15:00 GMT-0800 (PST)
2008,Ferrari,F430,Spider F1,Convertible,automatic,zffew59a480162224,fl,26,11301,red,black,the hertz corporation,128000,117000,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2012,Ferrari,California,Base,Convertible,automatic,zff65lja1c0183418,fl,45,8149,silver,red,the collection,156000,156000,Thu Dec 18 2014 09:15:00 GMT-0800 (PST)
2010,Ferrari,California,Base,Convertible,automatic,zff65lja9a0170669,ca,48,7529,black,gray,eurocar,133000,124000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
