Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2013,GMC,Sierra 1500,SL,Crew Cab,automatic,3gtp1uea7dg245559,tn,41,27712,gray,black,midtown motors,21700,21600,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2005,GMC,Sierra 1500,SLE,Crew Cab,automatic,2gtec13t351118449,fl,2,179727,white,gray,zimmerman auto brokers inc,5975,5500,Fri Mar 06 2015 01:30:00 GMT-0800 (PST)
2003,GMC,Yukon,SLE,SUV,automatic,1gkek13t13j286892,ma,34,110334,black,gray,imperial chrysler dodge jeep corp,4875,5500,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
2003,GMC,Yukon XL,Denali,SUV,automatic,1gkfk66u23j244687,nc,19,78422,—,gray,hendrick honda,7000,9700,Wed Mar 04 2015 06:00:00 GMT-0800 (PST)
2014,GMC,Savana Cargo,2500,Van,automatic,1gtw7fca2e1904656,fl,38,17342,white,gray,u-haul,20400,20400,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2014,GMC,Sierra 1500,SLE,Crew Cab,automatic,3gtu2uec6eg103125,mi,43,33096,white,black,automobiles paille inc,31500,27600,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
2015,GMC,Yukon XL,Denali,SUV,automatic,1gks2jkj7fr196087,wi,5,12635,white,black,bergstrom neenah gm,61000,63250,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
2013,GMC,Sierra 2500HD,Work Truck,Crew Cab,automatic,1gt12zcg4df228954,mi,39,16171,silver,black,automobiles paille inc,27000,27900,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
2013,GMC,Sierra 1500,SLE,Crew Cab,automatic,3gtp2ve7xdg305051,pa,46,56845,white,black,tdaf remarketing,24200,24300,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
2013,GMC,Sierra 1500,Denali,Crew Cab,automatic,3gtp2xe25dg286540,fl,44,29182,black,black,american bank auto liquidators,35400,33200,Tue Mar 03 2015 01:15:00 GMT-0800 (PST)
2007,GMC,Acadia,SLE-1,SUV,automatic,1gkev13767j138222,va,33,88227,silver,black,faa/dt,9850,7700,Thu Mar 05 2015 01:20:00 GMT-0800 (PST)
2013,GMC,Sierra 1500,SLT,Crew Cab,automatic,3gtp2we78dg185482,ut,3,115427,white,black,excell auto center,28600,20000,Wed Mar 04 2015 03:30:00 GMT-0800 (PST)
2013,GMC,Sierra 1500,Denali,Crew Cab,automatic,3gtp2xe28dg228373,mi,5,24853,white,tan,larry hudson chevrolet buick gmc inc,36000,35100,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
2013,GMC,Yukon,SLT,SUV,automatic,1gks2ce09dr290113,az,26,51256,silver,black,the hertz corporation,27500,27000,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
