Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
1997,Geo,Prizm,Base,Sedan,automatic,1y1sk5262vz434565,md,2,198729,red,gray,355 toyota,575,300,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
1996,Geo,Prizm,Base,Sedan,automatic,1y1sk5260tz058977,fl,2,156173,blue,tan,coral springs honda,650,900,Fri Jan 09 2015 09:30:00 GMT-0800 (PST)
1994,Geo,Prizm,Base,Sedan,automatic,1y1sk5360rz051373,pa,2,195056,blue,black,purple heart,550,325,Tue Jan 13 2015 13:01:00 GMT-0800 (PST)
1996,Geo,Prizm,Base,Sedan,automatic,1y1sk5264tz039087,fl,2,119432,white,gray,coggin honda of ft pierce,825,1200,Tue Jan 13 2015 10:00:00 GMT-0800 (PST)
1996,Geo,Prizm,Base,Sedan,automatic,1y1sk5262tz024569,oh,2,155455,red,gray,dt inventory,850,300,Thu Jan 22 2015 01:00:00 GMT-0800 (PST)
1997,Geo,Prizm,Base,Sedan,manual,1y1sk5260vz416498,ga,32,82009,gold,tan,mall of georgia mazda,950,1600,Tue Jan 27 2015 05:00:00 GMT-0800 (PST)
1996,Geo,Prizm,Base,Sedan,automatic,1y1sk5267tz037124,nc,1,223103,green,gray,hendrick kia of concord,525,550,Wed Jan 21 2015 06:30:00 GMT-0800 (PST)
1996,Geo,Prizm,Base,Sedan,automatic,1y1sk5266tz053105,nc,1,131880,blue,gray,crossroads ford of fuquay-varina,775,400,Mon Feb 02 2015 00:31:00 GMT-0800 (PST)
1997,Geo,Prizm,Base,Sedan,automatic,1y1sk5268vz414546,ne,31,204900,orange,gray,husker financial,675,650,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
1994,Geo,Prizm,Base,Sedan,manual,1y1sk5360rz105738,va,1,242929,red,gray,brown's manassas subaru,525,300,Thu Feb 12 2015 01:05:00 GMT-0800 (PST)
1996,Geo,Prizm,Base,Sedan,automatic,1y1sk5269tz007705,pa,3,151807,white,gray,purple heart,625,400,Tue Feb 10 2015 05:01:00 GMT-0800 (PST)
1993,Geo,Prizm,Base,Sedan,automatic,1y1sk5362pz008537,wa,2,291755,red,gray,milam mazda,275,450,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
1997,Geo,Metro,LSi,Sedan,automatic,2c1mr5291v6750017,ga,19,190301,red,gray,five star nissan,300,400,Fri May 29 2015 04:00:00 GMT-0700 (PDT)
1995,Geo,Prizm,Base,Sedan,automatic,1y1sk5266sz002895,nj,1,162909,gold,tan,purple heart services inc,500,550,Thu May 28 2015 11:05:00 GMT-0700 (PDT)
1996,Geo,Prizm,Base,sedan,manual,1y1sk5261tz054680,va,1,141102,green,gray,don beyer volvo subaru kia of alexandria,500,400,Thu May 28 2015 02:35:00 GMT-0700 (PDT)
1996,Geo,Prizm,Base,sedan,manual,1y1sk5268tz046365,fl,3,171550,green,gray,lexus of tampa bay,475,500,Tue Jun 02 2015 10:30:00 GMT-0700 (PDT)
