Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2007,HUMMER,H3,Base,SUV,automatic,5gtdn13e078130753,wi,35,85339,gray,black,zimbrick eastside,12750,13800,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
2003,HUMMER,H2,Base,SUV,automatic,5grgn23u63h111814,ga,26,80969,gray,beige,kern automotive group inc,15800,15300,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2010,HUMMER,H3,Base,SUV,automatic,5gtmngee8a8119751,tn,44,91743,red,black,sullivan auto group llc,15950,17400,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2008,HUMMER,H3,Base,SUV,automatic,5gten13e188197352,oh,44,65714,silver,black,sullivan auto group llc,14550,15400,Thu Mar 05 2015 02:30:00 GMT-0800 (PST)
2007,HUMMER,H3,Base,SUV,automatic,5gtdn13e178203726,mi,37,99672,blue,black,j r autobroker,12000,12000,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
2007,HUMMER,H3,Base,SUV,automatic,5gtdn13e978223870,md,47,84497,red,black,santander consumer,12800,14250,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2006,HUMMER,H3,Base,SUV,automatic,5gtdn136068247515,tx,35,121571,beige,black,tdaf remarketing,9900,10600,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
2006,HUMMER,H3,Base,SUV,automatic,5gtdn136168145088,fl,2,110918,green,—,union auto credit,10350,9400,Wed Mar 04 2015 07:15:00 GMT-0800 (PST)
2004,HUMMER,H2,Base,SUV,automatic,5grgn23u04h115312,ca,31,178153,black,beige,j star fiat & maserati of anaheim hills,8100,9800,Wed Mar 04 2015 04:15:00 GMT-0800 (PST)
2008,HUMMER,H3,Base,SUV,automatic,5gten13e188139564,ca,43,63530,gray,black,high bid trading co inc,14700,18400,Wed Mar 04 2015 04:15:00 GMT-0800 (PST)
2008,HUMMER,H2,Base,SUV,automatic,5grgn23858h100488,oh,44,84191,gray,brown,exceptional motorcar llc,30600,29900,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2003,HUMMER,H2,Base,SUV,automatic,5grgn23u63h130119,mi,22,117123,gray,gray,automobiles paille inc,13550,12700,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
2006,HUMMER,H3,Base,SUV,automatic,5gtdn136568207950,ma,37,76748,blue,black,clay nissan,12000,12200,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
2006,HUMMER,H3,Base,SUV,automatic,5gtdn136268128106,il,34,106804,silver,tan,remarketing by ge/manheim arena illinois,10600,9600,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
2006,HUMMER,H3,Base,SUV,automatic,5gtdn136x68229703,va,43,82140,white,black,fredericksburg remarketing,11700,9700,Thu Mar 05 2015 01:20:00 GMT-0800 (PST)
2008,HUMMER,H2 SUT,Base,Crew Cab,automatic,5grgn228x8h107387,ca,39,81231,black,black,las vegas motor company,29400,35250,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
2008,HUMMER,H3,Alpha,SUV,automatic,5gten13l288169932,tn,43,78665,—,black,wholesale inc # 2,17750,19500,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2007,HUMMER,H3,Base,SUV,automatic,5gtdn13e578170164,nj,46,67970,blue,black,nedals inc,13850,14500,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
2007,HUMMER,H2,Base,SUV,automatic,5grgn23u17h102587,tx,34,82532,blue,black,pm standley motorcars,24800,20400,Wed Mar 04 2015 02:20:00 GMT-0800 (PST)
