Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2012,Honda,Odyssey,EX,Minivan,automatic,5fnrl5h47cb011103,tn,36,43761,silver,gray,wholesale inc # 2,17550,20000,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2011,Honda,Accord,LX-P,Sedan,automatic,1hgcp2f40ba054511,oh,33,110797,gray,gray,lease plan usa,7900,8600,Thu Feb 26 2015 02:30:00 GMT-0800 (PST)
2011,Honda,Ridgeline,RTL,Crew Cab,automatic,5fpyk1f56bb005916,nc,39,126515,gray,black,fleet lease remarketing,20300,17000,Mon Mar 09 2015 02:30:00 GMT-0700 (PDT)
2011,Honda,Accord,SE,Sedan,automatic,1hgcp2f62ba041583,ca,47,71717,silver,black,exeter finance corp,11000,12000,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2011,Honda,Accord,EX-L V-6,Sedan,automatic,1hgcp3f85ba021464,mi,35,86414,silver,black,tdaf remarketing,12200,9700,Thu Feb 26 2015 01:30:00 GMT-0800 (PST)
2011,Honda,CR-V,EX,SUV,automatic,3czre4h55bg704977,tx,38,35574,black,black,rlb investments,15700,15500,Wed Feb 25 2015 02:20:00 GMT-0800 (PST)
2011,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl5h64bb040574,ca,25,23832,white,tan,ahfc/honda lease trust/hvt  inc. eot,22100,20100,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2011,Honda,Civic,LX,Sedan,automatic,19xfa1f53be009124,mn,19,80687,blue,gray,capital one auto finance,7825,8200,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2011,Honda,CR-V,SE,SUV,automatic,jhlre3h43bc015758,hi,26,28203,black,black,ahfc/honda lease trust/hvt  inc. eot,14350,14000,Wed Feb 25 2015 09:00:00 GMT-0800 (PST)
2011,Honda,CR-V,SE,SUV,automatic,jhlre3h48bc001984,fl,41,149731,gray,black,firkins chrysler jeep dodge,10850,10900,Tue Mar 03 2015 08:00:00 GMT-0800 (PST)
2011,Honda,Civic,LX,Coupe,automatic,2hgfg1b6xbh503662,ca,35,65415,silver,gray,ahfc/honda lease trust/hvt  inc.,8350,10800,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2012,Honda,Pilot,EX-L,SUV,automatic,5fnyf4h51cb033653,nj,3,34755,gray,black,ahfc/honda lease trust/hvt  inc. eot,23700,22400,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2012,Honda,Odyssey,Touring,Minivan,automatic,5fnrl5h90cb020706,ca,24,27729,black,gray,ahfc/honda lease trust/hvt  inc. eot,26200,26750,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2011,Honda,Accord,EX-L V-6,Sedan,automatic,1hgcp3f81ba002930,nj,27,62188,black,black,holman infiniti,13050,12900,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2012,Honda,Odyssey,LX,Minivan,automatic,5fnrl5h29cb102596,nj,27,35983,silver,—,ahfc/honda lease trust/hvt  inc. eot,16200,14900,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2012,Honda,Crosstour,EX-L,Hatchback,automatic,5j6tf2h58cl009601,mn,23,18940,burgundy,tan,capital one auto finance,20300,19800,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2012,Honda,Ridgeline,Sport,Crew Cab,automatic,5fpyk1f79cb459175,ca,37,28732,white,gray,ahfc/honda lease trust/hvt  inc.,22500,24500,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2012,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl5h68cb125967,ga,32,57628,gray,—,wells fargo dealer services,20200,20900,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
2012,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl5h63cb082896,fl,43,26167,white,gray,zimmerman auto brokers inc,22700,25600,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2012,Honda,Odyssey,Touring,Minivan,automatic,5fnrl5h99cb048990,ca,21,40950,black,gray,honda of santa monica,25500,24100,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2012,Honda,Odyssey,LX,Minivan,automatic,5fnrl5h23cb108538,ca,39,32854,silver,gray,wells fargo dealer services,16250,17600,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2012,Honda,Crosstour,EX,Hatchback,automatic,5j6tf1h32cl002572,hi,44,35481,black,black,ahfc/honda lease trust/hvt  inc. eot,16400,15700,Wed Feb 25 2015 09:00:00 GMT-0800 (PST)
2012,Honda,Civic,Hybrid,Sedan,automatic,jhmfb4f31cs003302,nj,35,19851,gray,gray,ahfc/honda lease trust/hvt  inc. eot,14000,13200,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2012,Honda,Civic,EX,Sedan,automatic,19xfb2f88ce351912,ca,39,20670,gray,beige,ahfc/honda lease trust/hvt  inc. eot,12550,14500,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2012,Honda,Civic,EX-L,Sedan,automatic,19xfb2f90ce360970,ca,39,26784,white,gray,ahfc/honda lease trust/hvt  inc. eot,13600,14600,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2010,Honda,Accord,LX,Sedan,automatic,1hgcp2f34aa048183,nj,21,119694,gray,gray,hatt auto sales llc,7425,8200,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2009,Honda,Civic,EX,Sedan,automatic,2hgfa16839h315783,ca,34,113818,gray,gray,m & n financial,7800,8500,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2009,Honda,Accord,EX-L,Sedan,automatic,1hgcp26839a061076,il,23,107632,green,black,wells fargo dealer services,9275,8000,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
2009,Honda,Fit,Sport,Hatchback,automatic,jhmge88639s008214,fl,19,145438,blue,black,nicholas financial inc/clearwater,5275,5500,Thu Feb 26 2015 07:00:00 GMT-0800 (PST)
2009,Honda,Odyssey,EX,Minivan,automatic,5fnrl38429b054146,fl,36,135103,silver,gray,dab auto world & leasing,6325,8200,Tue Feb 24 2015 08:00:00 GMT-0800 (PST)
2010,Honda,Insight,LX,Hatchback,automatic,jhmze2h54as042017,ca,37,100109,silver,tan,wells fargo dealer services,6075,8500,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2010,Honda,Accord,EX-L,Sedan,automatic,1hgcp2f85aa009257,ga,19,50743,black,—,wells fargo dealer services,13000,13400,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
2010,Honda,Pilot,EX-L,SUV,automatic,5fnyf3h54ab015915,fl,33,117764,gray,gray,mercedes-benz of ft pierce,11850,10600,Tue Feb 24 2015 10:00:00 GMT-0800 (PST)
2010,Honda,Pilot,LX,SUV,automatic,5fnyf3h23ab009951,tx,33,71808,beige,gray,texas direct auto,14100,13400,Wed Mar 04 2015 02:20:00 GMT-0800 (PST)
2010,Honda,Civic,LX,Coupe,automatic,2hgfg1b65ah509139,fl,21,74152,silver,purple,wells fargo dealer services,7900,5900,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2010,Honda,Accord,LX,Sedan,automatic,1hgcp2f3xaa094150,ma,36,34778,silver,black,boch new to you superstore,10300,11200,Tue Feb 24 2015 02:00:00 GMT-0800 (PST)
2010,Honda,Pilot,EX-L,SUV,automatic,5fnyf4h5xab039433,mn,44,29796,blue,gray,wells fargo financial acceptance,20200,22600,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2012,Honda,Civic,LX,Sedan,automatic,19xfb2f59ce391910,nj,26,27572,white,beige,ahfc/honda lease trust/hvt  inc. eot,11250,9100,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2010,Honda,Civic,LX-S,Sedan,automatic,19xfa1f65ae082325,ca,3,90245,silver,black,wells fargo dealer services,7500,9700,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2010,Honda,Civic,LX,Sedan,automatic,19xfa1f53ae018369,mn,31,70769,blue,gray,wells fargo dealer services,8525,8700,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2010,Honda,Fit,Sport,Hatchback,automatic,jhmge8h49ac018937,ma,35,71771,blue,black,boch new to you superstore,8975,7900,Tue Feb 24 2015 02:00:00 GMT-0800 (PST)
2010,Honda,Accord,LX,Sedan,automatic,1hgcp2f39aa079638,va,41,96546,silver,black,primeritus remarketing/crescent bank & trust,8200,7900,Thu Feb 26 2015 01:20:00 GMT-0800 (PST)
2010,Honda,Pilot,EX-L,SUV,automatic,5fnyf4h56ab039431,ga,32,55328,blue,—,wells fargo dealer services,18700,18800,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
2010,Honda,Accord,LX-P,Sedan,automatic,1hgcp2f47aa102925,fl,19,64518,black,tan,nicholas financial inc/clearwater,9725,8600,Thu Feb 26 2015 07:00:00 GMT-0800 (PST)
2010,Honda,Odyssey,Touring,Minivan,automatic,5fnrl3h94ab056691,ca,26,107654,silver,black,anaheim mitsubishi,12200,14600,Wed Feb 25 2015 04:15:00 GMT-0800 (PST)
2010,Honda,Civic,LX,Sedan,automatic,2hgfa1f56ah304058,ma,29,92751,gray,gray,boch toyota/scion south,7800,7200,Tue Feb 24 2015 02:00:00 GMT-0800 (PST)
2011,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl5h66bb094877,tn,41,45509,gray,gray,wholesale inc # 2,19950,22000,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2011,Honda,Insight,EX,Hatchback,automatic,jhmze2h72bs008886,ma,25,75022,black,black,boch toyota/scion south,8675,8000,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
2011,Honda,Pilot,EX-L,SUV,automatic,5fnyf4h57bb063965,mn,39,81287,—,black,lease plan usa,17700,19400,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2013,Honda,Pilot,EX-L,SUV,automatic,5fnyf4h56db043239,nj,41,17527,black,gray,super buy auto sales inc,27500,27400,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2012,Honda,Accord,SE,Sedan,automatic,1hgcp2f60ca079704,nj,41,39151,black,black,ahfc/honda lease trust/hvt  inc. eot,12950,13700,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2012,Honda,Accord,LX,Sedan,automatic,1hgcp2f31ca177078,ca,19,15942,silver,black,ahfc/honda lease trust/hvt  inc.,13200,12700,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
