Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2013,Infiniti,G Coupe,G37x,G Coupe,automatic,jn1cv6el1dm980991,fl,48,16443,black,black,nissan infiniti lt,24600,25400,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
2013,Infiniti,FX,FX37,SUV,automatic,jn8cs1mw0dm170017,ga,48,14547,black,black,nissan infiniti lt,30200,36000,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2013,Infiniti,FX,FX37,SUV,automatic,jn8cs1mu5dm140610,fl,48,42541,gray,black,nissan infiniti lt,24900,32000,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
2013,Infiniti,FX,FX37,SUV,automatic,jn8cs1mw7dm171553,nv,29,56766,black,black,the hertz corporation,24800,23000,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap8dm715381,fl,45,17419,white,black,nissan infiniti lt,21800,21800,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap2dm300346,fl,36,17506,—,beige,nissan infiniti lt,21800,22800,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
2013,Infiniti,G Convertible,G37,G Convertible,automatic,jn1cv6fe1dm771573,fl,42,18396,gray,black,nissan infiniti lt,30600,31000,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap5dm713054,fl,47,16846,blue,beige,nissan infiniti lt,21900,21200,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap2dm716493,fl,44,16603,gray,black,nissan infiniti lt,21900,20000,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap8dm710262,fl,44,12000,gray,black,nissan infiniti lt,22400,23400,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
