Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2000,Isuzu,Rodeo,LS,SUV,automatic,4s2ck58w1y4345415,va,2,171260,gold,beige,purple heart,1000,700,Thu Feb 26 2015 03:50:00 GMT-0800 (PST)
2007,Isuzu,i-Series,i-290 LS,Extended Cab,automatic,1ggcs199378702371,nc,26,99241,blue,beige,crossroads ford of indian trail,4825,4500,Mon Feb 23 2015 01:00:00 GMT-0800 (PST)
2007,Isuzu,Ascender,S,SUV,automatic,4nuds13s372700869,ca,27,139936,burgundy,beige,lithia nissan of fresno,1950,3300,Thu Feb 19 2015 05:00:00 GMT-0800 (PST)
2007,Isuzu,Ascender,S,SUV,automatic,4nuds13s672701482,nc,23,94456,gray,gray,santander consumer,3725,3000,Mon Feb 23 2015 01:30:00 GMT-0800 (PST)
1999,Isuzu,Rodeo,LS,SUV,automatic,4s2cm58w6x4333379,nv,2,182759,red,—,titlemax/las vegas nv29,475,500,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2006,Isuzu,Ascender,S 5 Passenger,SUV,automatic,4nudt13s062700937,tn,38,90468,green,tan,hertz remarketing,5425,4700,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2006,Isuzu,Ascender,S 5 Passenger,SUV,automatic,4nuds13s062700374,mo,28,98841,gray,gray,remarketing by ge/meritrust credit union,3900,3800,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2001,Isuzu,Rodeo,LS,SUV,automatic,4s2dm58w014316086,ut,19,98767,silver,gray,hertz remarketing,2050,2200,Wed Feb 25 2015 03:30:00 GMT-0800 (PST)
2001,Isuzu,Trooper,S,SUV,automatic,jacds58x817j01501,fl,19,142684,beige,gray,autonation chevrolet doral,1550,1000,Tue Feb 24 2015 10:00:00 GMT-0800 (PST)
1998,Isuzu,Trooper,S,SUV,automatic,jacdj58x6w7904219,pr,1,168588,green,gray,select remarketing group llc/anderson financial,950,300,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
