Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2003,Jaguar,S-Type,4.2,Sedan,automatic,sajea01u43hm53789,nj,24,133861,green,beige,jpmorgan chase bank n.a.,2350,1800,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
2013,Jaguar,XF,Base,Sedan,automatic,sajwa0es5dpu04489,nj,35,20028,black,tan,enterprise veh exchange/rental,30200,30600,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
2013,Jaguar,XF,Base,Sedan,automatic,sajwa0es5dps78697,fl,47,11336,white,black,tdaf remarketing,30400,31200,Tue Mar 03 2015 01:00:00 GMT-0800 (PST)
2001,Jaguar,S-Type,3,Sedan,automatic,sajda01n01fl95435,md,2,119906,beige,—,purple heart services inc,1975,1500,Tue Mar 03 2015 05:00:00 GMT-0800 (PST)
2004,Jaguar,XJ-Series,XJ8,Sedan,automatic,sajea71c14sg10704,ca,2,152705,gray,black,lobel financial corp,1950,1200,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
2004,Jaguar,XJ-Series,XJ8,Sedan,automatic,sajea71c94sg03130,tn,1,135816,silver,—,westlake financial services,2725,1000,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
2010,Jaguar,XF,Base,Sedan,automatic,sajwa0fa5ahr56070,fl,48,43111,blue,gray,palm tree auto sales,21500,22500,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2011,Jaguar,XF,Premium,Sedan,automatic,sajwa0gb9bls06872,ga,34,24761,gray,black,jpmorgan chase bank n.a.,26500,26000,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
2012,Jaguar,XJ,Base,Sedan,automatic,sajwa1cb8clv34460,nj,43,7761,white,beige,holman automotive grp inc,42400,39500,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
2000,Jaguar,XK-Series,XK8,Convertible,automatic,sajja42c8yna08964,md,24,114477,blue,beige,jim coleman cadillac infiniti,3625,3200,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2009,Jaguar,XF,Premium Luxury,Sedan,automatic,sajwa06b79hr20899,ga,21,124331,black,black,fifth third bank,12300,11600,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
2003,Jaguar,X-Type,2.5,Sedan,automatic,sajea51d73xd19414,fl,39,77018,white,tan,zimmerman auto brokers inc,3350,2800,Tue Mar 03 2015 01:25:00 GMT-0800 (PST)
2009,Jaguar,XF,Supercharged,Sedan,automatic,sajwa07c891r02475,ca,21,79929,red,beige,billion dodge chrysler jeep,16400,13500,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2009,Jaguar,XF,Luxury,Sedan,automatic,sajwa05bx9hr25743,il,19,65276,blue,gray,td auto finance,16900,13700,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
2010,Jaguar,XF,Premium,Sedan,automatic,sajwa0gb0alr75033,ca,36,71888,black,beige,jaguar land rover north scottsdale,18750,19000,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2011,Jaguar,XJ,XJL,Sedan,automatic,sajwa2gb2blv14395,ga,34,60068,burgundy,beige,capital one auto finance,31200,30900,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2011,Jaguar,XF,Premium,Sedan,automatic,sajwa0gb5blr86353,ca,28,55526,gray,black,land rover newport beach,20600,19500,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2012,Jaguar,XF,Portfolio,Sedan,automatic,sajwa0hb3cls42945,ca,41,56695,blue,gray,british motor car dist ltd,28200,26750,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2012,Jaguar,XF,Base,Sedan,automatic,sajwa0fb4cls35036,sc,47,45425,gray,gray,meridian remarketing,27000,26000,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
