Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2006,Jeep,Liberty,Sport,SUV,automatic,1j4gl48k26w173876,mo,29,103032,black,gray,chrysler capital,4825,5100,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2007,Jeep,Wrangler,Unlimited Sahara,SUV,manual,1j4ga59167l119551,oh,49,85906,black,gray,exceptional motorcar llc,16400,18600,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2007,Jeep,Commander,Sport,SUV,automatic,1j8hg48k97c546616,il,28,101419,black,gray,meridian remarketing,7900,7400,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
2006,Jeep,Commander,Limited,SUV,automatic,1j8hg58276c139754,nv,32,115554,gold,brown,unique autos,8700,10400,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
2006,Jeep,Commander,Base,SUV,automatic,1j8hg48k86c297529,nj,19,119852,green,gray,santander consumer,6550,3900,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
2006,Jeep,Commander,Base,SUV,automatic,1j8hh48k76c226092,tn,41,133917,silver,gray,dt credit corporation,5950,6200,Tue Mar 03 2015 02:30:00 GMT-0800 (PST)
2006,Jeep,Commander,Limited,SUV,automatic,1j8hh58n86c168915,tn,3,119629,beige,tan,dt credit corporation,7000,7800,Tue Mar 03 2015 02:30:00 GMT-0800 (PST)
2006,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4hs48n66c342283,nv,4,65639,black,black,kapitolia auto llc,7375,9750,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
2006,Jeep,Commander,Base,SUV,automatic,1j8hg48k76c204130,va,25,129912,silver,gray,gm financial,6225,5900,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
2006,Jeep,Liberty,Sport,SUV,automatic,1j4gl48k46w255415,ca,49,150350,white,gray,ge fleet services for itself/servicer,3175,4100,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
2006,Jeep,Commander,Base,SUV,automatic,1j8hg48k16c366402,va,19,97786,gray,gray,fiserv,7325,5900,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
2006,Jeep,Liberty,Sport,SUV,automatic,1j4gl48k76w255408,ca,35,104863,white,gray,northwestern chrys/j/d/ge,4750,6100,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
2006,Jeep,Liberty,Sport,SUV,automatic,1j4gl48k46w255463,ca,29,125283,white,gray,northwestern chrys/j/d/ge,4000,4400,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
2007,Jeep,Commander,Sport,SUV,automatic,1j8hg48k27c559207,il,36,115858,gray,gray,wells fargo dealer services,7450,8200,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
2006,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4gr48k66c344256,tn,3,121094,green,gray,dt credit corporation,6150,7100,Tue Mar 03 2015 02:30:00 GMT-0800 (PST)
2005,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4gs48kx5c704518,tx,28,117830,gray,gray,meridian remarketing,5350,5600,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2005,Jeep,Liberty,Sport,SUV,automatic,1j4gl48k75w707727,tn,29,103685,blue,—,wells fargo dealer services,4425,5000,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2005,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4gs48k55c582523,tx,19,93513,white,gray,santander consumer,5925,4500,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
2005,Jeep,Liberty,Sport,SUV,automatic,1j4gk48kx5w502860,tn,29,112035,black,gray,wholesale inc # 2,3875,5700,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2005,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4gr48k35c725125,mn,44,145868,red,gray,jpmorgan chase bank n.a.,4650,6200,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2005,Jeep,Liberty,Limited,SUV,automatic,1j8gl58k85w726288,nj,3,106041,brown,tan,holman ford lincoln,5525,5800,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
2004,Jeep,Liberty,Sport,SUV,automatic,1j4gl48k84w122492,tn,19,138739,silver,gray,wells fargo dealer services,3150,3100,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2004,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4gx48s54c250954,oh,29,121298,gray,gray,cnac corporate office/columbus,3625,4400,Tue Mar 03 2015 04:00:00 GMT-0800 (PST)
2004,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4gx48s24c330695,nv,27,63703,gray,black,sti remarketing,5050,7100,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
2004,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4gw48s34c347928,ny,26,125355,red,tan,broadway garage of columbia county inc,3525,4250,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
2008,Jeep,Compass,Sport,SUV,automatic,1j8ft47w08d520666,oh,47,113886,beige,brown,santander consumer,4575,6000,Tue Mar 03 2015 04:00:00 GMT-0800 (PST)
