Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2014,Kia,Forte,EX,Sedan,automatic,knafx4a88e5078437,tx,25,41178,black,gray,kia motors finance,11750,11100,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2008,Kia,Sorento,Base,SUV,automatic,kndjd735285839073,fl,27,96396,blue,beige,regional acceptance corporation / greenville,5275,4400,Mon Mar 02 2015 16:00:00 GMT-0800 (PST)
2008,Kia,Amanti,Base,Sedan,automatic,knald125585158104,ca,32,136073,beige,tan,inland chevrolet,4450,2800,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2008,Kia,Rio,LX,Sedan,automatic,knade123586311946,az,25,113897,white,black,challenge financial services,3125,2700,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2008,Kia,Sportage,EX,SUV,automatic,kndjf723587480770,oh,19,83079,silver,black,wells fargo dealer services,6775,6400,Tue Mar 03 2015 04:00:00 GMT-0800 (PST)
2007,Kia,Sportage,LX,SUV,automatic,kndje723677388973,nc,33,96362,silver,gray,santander consumer,5075,6500,Mon Mar 02 2015 01:30:00 GMT-0800 (PST)
2007,Kia,Sportage,EX,SUV,automatic,kndje723677347856,nc,36,114524,silver,gray,north state acceptance,4175,5400,Mon Mar 02 2015 01:30:00 GMT-0800 (PST)
2006,Kia,Amanti,Base,Sedan,automatic,knald124865085315,nc,35,80772,blue,gray,santander consumer,4650,5600,Mon Mar 02 2015 01:30:00 GMT-0800 (PST)
2006,Kia,Spectra,Spectra5,Wagon,automatic,knafe161x65282786,wa,42,120369,blue,gray,jpmorgan chase bank n.a.,2450,4000,Wed Mar 04 2015 04:40:00 GMT-0800 (PST)
2005,Kia,Sedona,EX,Minivan,automatic,kndup131756613907,fl,34,146020,black,gray,coggin toyota at the avenues,1425,1700,Thu Feb 26 2015 05:00:00 GMT-0800 (PST)
2005,Kia,Sorento,LX,SUV,automatic,kndjc733855344941,ma,19,182171,blue,gray,new bedford credit union,2300,1000,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2004,Kia,Sedona,LX,Minivan,automatic,kndup131x46560392,ga,27,162148,green,—,warner robins chrysler jeep dodge,1075,1500,Fri Feb 27 2015 03:00:00 GMT-0800 (PST)
2003,Kia,Sedona,EX,Minivan,automatic,kndup131136463600,ma,24,148864,blue,gray,boch honda west,1075,1200,Thu Feb 26 2015 10:30:00 GMT-0800 (PST)
2014,Kia,Forte,LX,Sedan,automatic,knafx4a64e5147848,fl,43,22648,red,gray,regional acceptance corporation / greenville,12000,12500,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
2014,Kia,Forte,EX,Sedan,automatic,knafx4a87e5108799,tx,41,37528,black,gray,kia motors finance,11950,13000,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2014,Kia,Forte,EX,Sedan,automatic,knafx4a85e5057514,tx,35,29223,black,gray,kia motors finance,12400,11900,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2009,Kia,Borrego,LX,SUV,automatic,kndjh741295012868,oh,21,66770,orange,gray,wells fargo dealer services,9125,8600,Tue Mar 03 2015 04:00:00 GMT-0800 (PST)
2014,Kia,Forte,EX,Sedan,automatic,knafx4a80e5160890,fl,39,25521,gray,black,capital one auto finance,12600,12900,Wed Mar 04 2015 01:10:00 GMT-0800 (PST)
