Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2010,Land Rover,LR2,HSE,SUV,automatic,salft2bn3ah184397,oh,46,23218,blue,tan,vroom,16900,19600,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2012,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsk2d47ca718664,ga,31,16419,gray,black,morrison motors inc,48600,49000,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
2012,Land Rover,LR4,Base,SUV,automatic,salag2d44ca613075,fl,49,44647,white,beige,land rover palm beach,37500,38000,Thu Mar 05 2015 01:15:00 GMT-0800 (PST)
2012,Land Rover,Range Rover,HSE,SUV,automatic,salmf1d45ca373318,ga,5,77124,gray,white,davis automotive,37300,38000,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
2012,Land Rover,Range Rover Evoque,Pure Plus,SUV,automatic,salvt1bg7ch620713,tx,42,17454,red,black,pm standley motorcars,36900,38400,Wed Mar 04 2015 02:20:00 GMT-0800 (PST)
1999,Land Rover,Discovery,Series II,SUV,automatic,salty1242xa203724,in,2,1,black,beige,cars helping veterans,1525,600,Wed Mar 04 2015 05:00:00 GMT-0800 (PST)
2011,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsk2d45ba715275,tn,43,33577,—,tan,wholesale inc # 2,37300,38000,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2012,Land Rover,Range Rover Evoque,Pure,SUV,automatic,salvv2bgxch610788,tn,48,38559,black,brown,wholesale inc # 2,35200,38000,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2013,Land Rover,Range Rover Sport,Luxury,SUV,automatic,salsk2d46da770188,tn,4,20984,black,brown,wholesale inc # 2,51900,53000,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2013,Land Rover,Range Rover,HSE,SUV,automatic,salgs2df6da123765,fl,48,17408,white,beige,tdaf remarketing,82000,82000,Tue Mar 03 2015 01:00:00 GMT-0800 (PST)
2013,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsf2d44da785504,ga,46,17663,silver,tan,contemporary auto sales,49300,49600,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2012,Land Rover,Range Rover Evoque,Pure,SUV,automatic,salvp2bgxch650069,fl,46,37138,silver,gray,register chevrolet & oldsmobile inc,32000,33400,Thu Mar 05 2015 01:40:00 GMT-0800 (PST)
