Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2011,Lexus,ES 350,Base,Sedan,automatic,jthbk1eg2b2459759,fl,3,20742,white,beige,lexus financial services,19250,18500,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2012,Lexus,RX 350,Base,SUV,automatic,2t2zk1ba1cc076040,fl,46,23223,white,beige,lexus financial services,27200,29500,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2012,Lexus,RX 350,Base,SUV,automatic,2t2zk1ba3cc085922,fl,45,24568,black,beige,lexus financial services,27100,31000,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2012,Lexus,RX 350,Base,SUV,automatic,2t2zk1ba5cc082729,fl,2,52482,black,beige,lexus financial services,25600,23000,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2012,Lexus,RX 350,Base,SUV,automatic,2t2zk1ba7cc083879,fl,45,17959,silver,gray,lexus financial services,27500,30700,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2012,Lexus,RX 350,Base,SUV,automatic,2t2zk1ba0cc071394,fl,38,35812,red,black,lexus financial services,26500,26900,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2012,Lexus,RX 350,Base,SUV,automatic,2t2zk1baxcc071208,fl,22,34456,silver,black,lexus financial services,26600,24200,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2012,Lexus,RX 450h,Base,SUV,automatic,jtjzb1ba4c2407676,fl,48,21866,black,tan,lexus of north miami,30000,32500,Fri Feb 27 2015 01:30:00 GMT-0800 (PST)
2011,Lexus,CT 200h,Premium,Hatchback,automatic,jthkd5bh3b2029723,fl,27,39193,black,black,lexus financial services,18000,16900,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2011,Lexus,ES 350,Base,Sedan,automatic,jthbk1eg2b2444646,fl,29,31079,blue,gray,lexus financial services,18550,18500,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2011,Lexus,ES 350,Base,Sedan,automatic,jthbk1eg8b2433327,fl,41,44021,silver,black,lexus financial services,17700,18200,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2012,Lexus,RX 350,Base,SUV,automatic,2t2bk1ba5cc131431,fl,29,33678,red,beige,lexus financial services,28000,26300,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
