Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2014,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk5ebl06775,tn,39,28182,red,black,ford motor credit company,35200,33900,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKZ,Base,Sedan,automatic,3ln6l2jk2er805790,tn,43,21559,—,beige,ford motor credit company,29700,28400,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKZ,Base,Sedan,automatic,3ln6l2j94er804816,tn,5,25899,off-white,tan,ford motor credit company,26000,29000,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk1ebl09804,tn,5,16719,—,black,ford motor credit company,36100,31700,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk8ebl04504,tn,44,17547,—,black,ford motor credit company,36000,38000,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKZ,Base,Sedan,automatic,3ln6l2gk5er820937,tn,42,35737,—,beige,avis budget group,22400,22700,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKZ,Base,Sedan,automatic,3ln6l2gk6er823488,tn,46,40603,—,black,avis budget group,21500,22500,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk4ebl04404,tn,45,23057,—,brown,ford motor credit company,35600,36500,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk2ebl10489,tn,47,16725,—,gray,ford motor credit company,36100,37200,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKZ,Base,Sedan,automatic,3ln6l2j95er804078,tn,49,25641,—,tan,ford motor credit company,26100,27300,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKX,Base,SUV,automatic,2lmdj6jk9ebl09778,tn,48,11889,—,black,ford motor credit company,33300,31600,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKZ,Base,Sedan,automatic,3ln6l2gk1er828033,ca,42,33356,gray,black,ford motor credit company,22500,22000,Wed Mar 04 2015 05:00:00 GMT-0800 (PST)
2014,Lincoln,MKZ,Hybrid,Sedan,automatic,3ln6l2lu0er805835,tn,42,17010,—,black,ford motor credit company,26700,28200,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKX,Base,SUV,automatic,2lmdj6jk6ebl04330,tn,5,15649,—,gray,ford motor credit company,32200,35000,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk4ebl05925,tn,5,15698,—,black,ford motor credit company,36200,36400,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk4ebl04368,tn,36,24802,blue,—,ford motor credit company,35400,34000,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKX,Base,SUV,automatic,2lmdj6jk0ebl05912,tn,46,13791,—,beige,ford motor credit company,32700,36300,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk3ebl04376,tn,49,17891,—,gray,ford motor credit company,36000,36500,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKX,Base,SUV,automatic,2lmdj6jk9ebl06783,tn,48,15394,—,gray,ford motor credit company,32300,33100,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKX,Base,SUV,automatic,2lmdj6jk8ebl05771,tn,44,25132,black,black,ford motor credit company,29600,33000,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKZ,Base,Sedan,automatic,3ln6l2gk4er823506,tn,49,33464,red,black,avis budget group,22700,23500,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2007,Lincoln,Mark LT,Base,Crew Cab,automatic,5ltpw16597fj11186,fl,37,75672,black,beige,sullivan auto group llc,14250,17700,Thu Feb 26 2015 01:40:00 GMT-0800 (PST)
2008,Lincoln,MKZ,Base,Sedan,automatic,3lnhm28t88r654012,va,19,94906,black,black,gm financial,7075,3400,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
2008,Lincoln,Town Car,Signature Limited,Sedan,automatic,2lnhm82v78x660978,md,2,123373,black,beige,ford motor credit company llc pd,6775,4100,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2009,Lincoln,MKS,Base,Sedan,automatic,1lnhm94r89g606604,va,22,78451,black,white,shirlie slack mitsubishi,12650,13300,Thu Mar 05 2015 01:35:00 GMT-0800 (PST)
2011,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk1bbj25510,tn,31,55986,—,black,ford motor credit company llc,20200,20300,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
2012,Lincoln,MKZ,Base,Sedan,automatic,3lnhl2gc3cr821616,ne,37,27139,silver,black,nissan of omaha llc,15550,16000,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2012,Lincoln,MKZ,Base,Sedan,automatic,3lnhl2gc1cr818973,md,44,21792,red,black,ford motor credit company llc,16100,16200,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2012,Lincoln,Navigator,Base,SUV,automatic,5lmjj2j55cel00978,nj,24,28714,gray,black,ford motor credit company llc,32400,28300,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
2015,Lincoln,MKC,Base,SUV,automatic,5lmtj2ah1fuj01262,tn,48,70,gray,black,ford motor credit company,36700,36600,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKX,Base,SUV,automatic,2lmdj6jk6ebl04344,tn,49,21216,—,tan,ford motor credit company,30700,35600,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKZ,Base,Sedan,automatic,3ln6l2gk7er825945,tn,45,33471,—,brown,avis budget group,22700,22900,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKZ,Base,Sedan,automatic,3ln6l2gk1er823298,ga,41,33138,white,black,avis budget group,22600,24800,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2014,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk9ebl04379,tn,5,18388,—,brown,ford motor credit company,36000,36800,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKZ,Hybrid,Sedan,automatic,3ln6l2lu6er815706,tn,48,27686,—,gray,ford motor credit company,25400,24000,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKZ,Base,Sedan,automatic,3ln6l2gkxer823414,tn,45,34897,red,gray,avis budget group,22500,23100,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKZ,Hybrid,Sedan,automatic,3ln6l2lu1er800966,tn,41,28664,—,black,ford motor credit company,25300,27000,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk4ebl04399,tn,5,15807,—,gray,ford motor credit company,36200,37400,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKX,Base,SUV,automatic,2lmdj6jk2ebl09766,tn,5,12011,red,tan,ford motor credit company,33100,31300,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk4ebl04502,tn,49,10790,—,gray,ford motor credit company,36500,38200,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKS,Base,Sedan,automatic,1lnhl9dk7eg605590,tn,48,25555,—,black,ford motor credit company,25400,24500,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKS,Base,Sedan,automatic,1lnhl9dk0eg602868,tn,44,33773,silver,black,ford motor credit company,23600,22000,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKS,Base,Sedan,automatic,1lnhl9dk7eg605623,tn,5,8427,red,black,ford motor credit company,29200,30000,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKS,Base,Sedan,automatic,1lnhl9ft4eg600451,tn,49,13904,—,tan,ford motor credit company,30500,33500,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKS,Base,Sedan,automatic,1lnhl9dk2eg605657,tn,39,38838,—,tan,ford motor credit company,22500,22100,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKS,Base,Sedan,automatic,1lnhl9ek4eg605688,tn,49,11190,—,black,ford motor credit company,29600,28000,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk6ebl04517,tn,5,8210,—,gray,ford motor credit company,36800,37600,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKS,Base,Sedan,automatic,1lnhl9dk7eg602432,tn,49,12541,—,tan,ford motor credit company,28300,28300,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKS,Base,Sedan,automatic,1lnhl9dk5eg601800,tn,45,24748,gray,beige,ford motor credit company,25600,24400,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk2ebl06765,tn,5,12296,—,black,ford motor credit company,36400,35200,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk5ebl04248,tn,49,14539,—,gray,ford motor credit company,36300,38700,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2002,Lincoln,Blackwood,Base,Crew Cab,automatic,5ltew05a52kj02159,az,32,106007,black,black,wells fargo dealer services,7725,12400,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2003,Lincoln,LS,Sport,Sedan,automatic,1lnhm87a63y677477,nv,19,119320,silver,black,goodfellas auto sales llc,2775,2500,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
2003,Lincoln,LS,Premium,Sedan,automatic,1lnhm86s43y664687,va,24,86487,beige,beige,safford chrysler jeep dodge of fredericksburg,2500,3500,Thu Feb 26 2015 01:05:00 GMT-0800 (PST)
2003,Lincoln,Aviator,Luxury,SUV,automatic,5lmeu68h33zj39751,nv,2,164656,black,—,titlemax/las vegas nv28,2425,2600,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2004,Lincoln,Town Car,Ultimate,Sedan,automatic,1lnhm85w34y639611,nc,31,462759,black,gray,crossroads ford lincoln of southern pines inc,175,1700,Mon Mar 02 2015 01:00:00 GMT-0800 (PST)
2004,Lincoln,Town Car,Ultimate,Sedan,automatic,1lnhm83w34y651132,ga,26,80899,blue,gray,germain lincoln,5425,4800,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
2005,Lincoln,Aviator,Luxury,SUV,automatic,5lmeu68h75zj17013,fl,37,87317,black,gray,courtesy palm harbor honda,5950,7200,Thu Feb 26 2015 08:20:00 GMT-0800 (PST)
2014,Lincoln,MKS,Base,Sedan,automatic,1lnhl9ek1eg605535,tn,49,18228,gray,black,ford motor credit company,28100,27000,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
