Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2013,MINI,Cooper Paceman,Base,Hatchback,manual,wmwss1c57dwn46519,ca,26,27608,gray,—,bmw mini financial services,15350,14500,Thu Jul 02 2015 09:00:00 GMT-0700 (PDT)
2009,MINI,Cooper Clubman,Base,Hatchback,automatic,wmwml33529tn69412,ca,36,61048,burgundy,black,south bay mazda,8400,8600,Tue Mar 03 2015 04:30:00 GMT-0800 (PST)
2009,MINI,Cooper Clubman,S,Hatchback,manual,wmwmm33589tp73029,pa,35,42031,silver,black,salerno duane infiniti llc,10200,12100,Fri Feb 27 2015 01:15:00 GMT-0800 (PST)
2009,MINI,Cooper,Base,Hatchback,automatic,wmwmf33529tw77116,ca,2,54915,white,black,remarketing by ge/billion dodge,8100,7600,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2009,MINI,Cooper,Base,Hatchback,automatic,wmwmf33539tw75326,fl,45,93120,red,black,kendall hyundai,6875,7400,Thu Mar 05 2015 01:50:00 GMT-0800 (PST)
2008,MINI,Cooper Clubman,Base,Hatchback,automatic,wmwml33558tn67488,nv,42,77679,red,black,northwest specialty motor co,6525,8200,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
2008,MINI,Cooper,Base,Hatchback,automatic,wmwmf33518tt59969,az,35,105347,yellow,gray,onesource/southwest remarketing,5425,7600,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2007,MINI,Cooper,Base,Hatchback,manual,wmwmf33527tl68680,fl,21,138493,blue,black,bb&t asset disposal,3650,3700,Tue Mar 03 2015 10:00:00 GMT-0800 (PST)
2006,MINI,Cooper,S,Hatchback,automatic,wmwre33526tj48611,nc,42,62533,blue,black,a m auto sales,7175,8600,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
2005,MINI,Cooper,Base,Hatchback,automatic,wmwrc33495tj66650,nc,35,116375,green,black,neuwirth motors inc,3600,3700,Fri Feb 27 2015 01:30:00 GMT-0800 (PST)
2005,MINI,Cooper,S,Hatchback,manual,wmwre33595tl11155,pa,42,66402,blue,black,adcock brothers inc,5600,6200,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
2003,MINI,Cooper,Base,Hatchback,manual,wmwrc33423tc44900,wa,19,103931,black,black,jpmorgan chase bank n.a.,3125,3800,Wed Mar 04 2015 04:40:00 GMT-0800 (PST)
2009,MINI,Cooper Clubman,S,Hatchback,manual,wmwmm33559tp73389,ca,44,50959,brown,black,inland chevrolet,9525,10600,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2013,MINI,Cooper,Base,Hatchback,manual,wmwsu3c59dt373514,pa,41,27288,red,black,pohanka lexus,14200,14100,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
2013,MINI,Cooper,Base,Hatchback,automatic,wmwsu3c58dt677238,pa,37,24926,white,black,colonial toyota,14350,13300,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
2012,MINI,Cooper,Base,Convertible,automatic,wmwzn3c50ct134752,md,35,44532,red,black,wells fargo dealer services,14500,13100,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2011,MINI,Cooper,S,Hatchback,manual,wmwsv3c53bty23054,tn,36,61713,gray,black,ford-lincoln dealer program,11100,11000,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2010,MINI,Cooper,S,Hatchback,automatic,wmwmf7c56atz70450,ca,35,64401,black,black,premium auto wholesale,10200,11200,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2009,MINI,Cooper,Base,Hatchback,automatic,wmwmf33539tw74886,fl,39,36651,turquoise,black,pompano ford lincoln mercury,8800,9200,Fri Feb 27 2015 01:35:00 GMT-0800 (PST)
