Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2007,Maserati,Quattroporte,Executive GT DuoSelect,Sedan,automatic,zamce39a370028781,nv,41,39106,black,black,kapitolia auto llc,28200,26500,Fri Mar 06 2015 04:00:00 GMT-0800 (PST)
2012,Maserati,GranTurismo Convertible,Base,granturismo convertible,automatic,zam45kmaxc0062670,fl,31,13261,white,brown,braman motors,80000,76000,Thu May 28 2015 02:40:00 GMT-0700 (PDT)
2013,Maserati,GranTurismo,MC,coupe,automatic,zam45vla2d0073473,fl,48,3265,gray,beige,the collection,83000,78500,Thu May 28 2015 02:15:00 GMT-0700 (PDT)
2014,Maserati,Ghibli,S Q4,sedan,automatic,zam57rta9e1091955,fl,43,9776,black,brown,the collection,59300,59000,Thu May 28 2015 02:15:00 GMT-0700 (PDT)
2014,Maserati,Ghibli,S Q4,sedan,automatic,zam57rta8e1097021,fl,46,11361,white,brown,the collection,59200,57000,Thu May 28 2015 02:15:00 GMT-0700 (PDT)
2011,Maserati,GranTurismo Convertible,Base,GranTurismo Convertible,automatic,zam45kma6b0056492,tx,31,38361,gray,brown,motorcars of south texas,66000,64000,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
2014,Maserati,Ghibli,S Q4,sedan,automatic,zam57rta3e1097847,ca,43,9653,black,beige,high bid trading co inc,59300,58000,Wed May 27 2015 05:15:00 GMT-0700 (PDT)
2007,Maserati,Quattroporte,Executive GT DuoSelect,Sedan,automatic,zamce39a770027696,fl,3,35848,brown,tan,jaguar aston martin naples,28500,28100,Tue Jun 02 2015 05:00:00 GMT-0700 (PDT)
2012,Maserati,GranTurismo,MC,Coupe,automatic,zam45mla7c0063207,fl,27,40504,silver,black,prestige audi,72000,68500,Fri May 22 2015 02:35:00 GMT-0700 (PDT)
2007,Maserati,Quattroporte,Executive GT DuoSelect,Sedan,automatic,zamce39a670028788,ca,33,23300,white,black,pacific auto trade inc,30200,30750,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2008,Maserati,Quattroporte,Sport GT S Automatic,Sedan,automatic,zamfe39a880034588,ca,32,34407,silver,beige,audi mission viejo,29300,32750,Thu May 21 2015 05:00:00 GMT-0700 (PDT)
2012,Maserati,Quattroporte,S,Sedan,automatic,zam39jka9c0065315,ca,35,30718,white,tan,high bid trading co inc,49200,54000,Thu May 21 2015 05:00:00 GMT-0700 (PDT)
2002,Maserati,Spyder,GT,Convertible,automatic,zambb18a820006875,ca,39,29829,silver,blue,american road leasing inc,13800,15750,Wed Jul 08 2015 09:15:00 GMT-0700 (PDT)
2012,Maserati,GranTurismo Convertible,Base,GranTurismo Convertible,automatic,zam45kma8c0066281,fl,37,11640,black,tan,bank of america/select repo,82000,77500,Wed May 27 2015 02:05:00 GMT-0700 (PDT)
2006,Maserati,Quattroporte,Base,sedan,automatic,zamce39ax60021003,az,36,52332,black,brown,earnhardt,19450,18800,Thu May 28 2015 05:00:00 GMT-0700 (PDT)
2005,Maserati,Quattroporte,Base,Sedan,automatic,zamce39a150018330,nv,28,78776,black,orange,universal auto,15200,16100,Fri Feb 27 2015 03:45:00 GMT-0800 (PST)
2014,Maserati,Ghibli,S Q4,Sedan,automatic,zam57rta2e1087519,ca,44,10464,white,black,the auto gallery,60000,61000,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2007,Maserati,Quattroporte,Executive GT DuoSelect,Sedan,automatic,zamce39a270028478,ca,39,44302,gray,tan,fratelli investment group,27100,26000,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2011,Maserati,Quattroporte,S,Sedan,automatic,zam39jkaxb0059358,ca,27,28668,black,red,cnh capital,43800,52000,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2008,Maserati,GranTurismo,Base,Coupe,automatic,zamgj45a880039995,ca,45,34516,black,black,high bid trading co inc,40400,48500,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2013,Maserati,GranTurismo,MC,Coupe,automatic,zam45vla3d0074292,fl,35,54061,black,black,the collection,79000,58000,Thu Mar 05 2015 01:15:00 GMT-0800 (PST)
2008,Maserati,GranTurismo,Base,Coupe,automatic,zamgj45a280040964,nc,39,51250,gray,tan,primeritus remarketing/aas,36400,40100,Mon Mar 02 2015 01:30:00 GMT-0800 (PST)
2008,Maserati,Quattroporte,Sport GT S Automatic,Sedan,automatic,zamfe39a880034302,nv,34,32750,burgundy,orange,kapitolia auto llc,32600,31000,Fri Feb 20 2015 04:00:00 GMT-0800 (PST)
2007,Maserati,Quattroporte,Executive GT DuoSelect,Sedan,automatic,zamce39ax70027854,ca,48,20327,burgundy,tan,dutton motor co,29200,30500,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
