Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2007,Mazda,CX-9,Grand Touring,SUV,automatic,jm3tb38c970115043,fl,29,90806,white,black,chrysler capital,8875,9600,Thu Feb 26 2015 01:35:00 GMT-0800 (PST)
2012,Mazda,Mazda3,i Touring,Sedan,automatic,jm1bl1v76c1691142,fl,41,31950,green,black,remarketing by ge/we florida financial,11200,10900,Wed Feb 25 2015 01:00:00 GMT-0800 (PST)
2013,Mazda,MX-5 Miata,Grand Touring,Convertible,automatic,jm1nc2pf6d0230621,fl,47,2268,red,black,fields bmw,21200,22600,Tue Feb 24 2015 01:00:00 GMT-0800 (PST)
2013,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1u71d1704172,ne,34,55474,gray,black,dtg operations inc,10000,10100,Thu Mar 05 2015 04:15:00 GMT-0800 (PST)
2013,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1u83d1703985,az,39,54273,white,black,dtg operations inc,9975,11700,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2013,Mazda,Mazda3,i SV,Sedan,automatic,jm1bl1tf1d1755129,tn,38,56155,black,gray,wholesale inc # 2,10100,10800,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2013,Mazda,Mazda2,Touring,Hatchback,automatic,jm1de1ly9d0158515,wi,28,54335,black,black,the hertz corporation,8725,8900,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
2013,Mazda,CX-9,Touring,SUV,automatic,jm3tb2ca7d0411111,tx,39,40586,gray,black,avis corporation,19750,19900,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
2013,Mazda,Mazda5,Sport,Minivan,automatic,jm1cw2bl4d0148219,mi,44,56265,gray,black,the hertz corporation,10950,11800,Thu Feb 26 2015 02:15:00 GMT-0800 (PST)
2015,Mazda,Mazda6,i Sport,Sedan,automatic,jm1gj1u64f1177041,fl,25,11165,silver,—,florida auto financial group,17900,16000,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2015,Mazda,CX-5,Touring,SUV,automatic,jm3ke4cy9f0443962,fl,26,12719,silver,black,florida auto financial group,20700,18800,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2003,Mazda,Mazda6,s,Sedan,manual,1yvfp80d035m50126,fl,19,127496,silver,gray,coggin honda of orlando,2525,2100,Tue Feb 24 2015 10:00:00 GMT-0800 (PST)
2004,Mazda,Mazda6,s,Hatchback,automatic,1yvfp84d845n94390,fl,33,130063,gray,black,central florida educators fcu,3025,3500,Wed Feb 25 2015 01:10:00 GMT-0800 (PST)
2005,Mazda,Mazda6,i Sport,Hatchback,automatic,1yvhp84c955m33709,md,2,128355,gray,black,carbiz,3150,1600,Tue Mar 03 2015 05:00:00 GMT-0800 (PST)
2012,Mazda,Mazda6,i Sport,Sedan,automatic,1yvhz8bh3c5m43996,az,34,54943,black,black,avis corporation,9700,10200,Thu Feb 26 2015 03:30:00 GMT-0800 (PST)
2008,Mazda,CX-9,Touring,SUV,automatic,jm3tb28a980132757,ma,33,110103,black,black,mazda gallery,7250,6600,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2008,Mazda,Mazda3,s Sport,Hatchback,manual,jm1bk344x81779673,nj,24,40004,black,black,santander consumer,8200,6800,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2008,Mazda,Mazda6,i Sport,Sedan,automatic,1yvhp80c785m44444,tx,34,139393,gray,gray,america's united financial llc,2700,3200,Tue Feb 24 2015 16:00:00 GMT-0800 (PST)
2009,Mazda,CX-7,Grand Touring,SUV,automatic,jm3er29l490226373,va,19,94577,brown,gray,c&f finance company,5475,3800,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2010,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1sf5a1279402,fl,28,82478,black,black,arcadia chevrolet buick inc.,6875,8500,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2011,Mazda,CX-7,s Touring,SUV,automatic,jm3er4c35b0363557,fl,28,52538,black,black,fields bmw,13250,14200,Tue Feb 24 2015 01:00:00 GMT-0800 (PST)
2011,Mazda,CX-9,Touring,SUV,automatic,jm3tb2ca7b0318442,fl,34,81010,silver,black,dab auto world & leasing,13100,11900,Tue Mar 03 2015 08:00:00 GMT-0800 (PST)
2011,Mazda,CX-7,i SV,SUV,automatic,jm3er2am2b0374354,pa,35,93175,purple,gray,chevrolet 21 inc,6400,8500,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2013,Mazda,Mazda3,i SV,Sedan,automatic,jm1bl1tf9d1760417,nj,38,60699,silver,gray,the hertz corporation,9900,9400,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
2013,Mazda,Mazda2,Touring,Hatchback,automatic,jm1de1ly1d0160565,nj,36,52286,red,black,the hertz corporation,8925,8500,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2013,Mazda,Mazda3,i Grand Touring,Hatchback,automatic,jm1bl1m72d1778099,wi,19,65403,black,tan,arlington hgts chry dod jeep,13300,11400,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
2015,Mazda,Mazda6,i Sport,Sedan,automatic,jm1gj1u69f1169209,fl,37,16370,blue,black,schumacher auto group inc,17600,18200,Tue Feb 24 2015 01:15:00 GMT-0800 (PST)
2002,Mazda,Millenia,Premium,Sedan,automatic,jm1ta221921731292,ma,22,144336,green,tan,prestige auto mart inc,1525,325,Tue Feb 24 2015 02:00:00 GMT-0800 (PST)
2010,Mazda,Mazda3,s Grand Touring,Hatchback,automatic,jm1bl1h6xa1130992,ma,29,128483,black,black,boch new to you superstore,7800,5700,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
2005,Mazda,Mazda6,i,Sedan,automatic,1yvhp80cx55m03432,ca,28,94912,gray,gray,aaero sweet company,3700,4600,Wed Feb 25 2015 03:30:00 GMT-0800 (PST)
2006,Mazda,Tribute,i,SUV,automatic,4f2yz02z56km37994,ca,25,132971,gray,black,stg auto group,3575,2000,Wed Feb 25 2015 04:00:00 GMT-0800 (PST)
2007,Mazda,Mazda3,s Touring,Sedan,automatic,jm1bk323871611300,va,42,116054,silver,black,purple heart,4125,1500,Thu Feb 26 2015 03:50:00 GMT-0800 (PST)
2008,Mazda,Mazda3,i Touring,Sedan,manual,jm1bk12f481831064,fl,21,107827,black,black,fiserv/dealer funding llc,4625,3900,Thu Feb 26 2015 01:35:00 GMT-0800 (PST)
2008,Mazda,Mazda3,i Touring,Sedan,automatic,jm1bk12f481880118,pr,32,105146,red,beige,reliable financial services inc,4700,4500,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2008,Mazda,Mazda3,i Touring,Sedan,automatic,jm1bk12f681836055,ca,19,108377,gray,black,redline remarketing,4425,4200,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2008,Mazda,CX-7,Grand Touring,SUV,automatic,jm3er293980215710,in,1,94891,gray,black,professional financial services/louisville,5050,2200,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2009,Mazda,Mazda3,i Sport,Sedan,manual,jm1bk32f191228814,fl,29,96371,blue,beige,dab auto world & leasing,5950,6500,Tue Feb 24 2015 08:00:00 GMT-0800 (PST)
2010,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1sf6a1258123,tx,27,64699,white,blue,tdaf remarketing,7975,7900,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
2010,Mazda,Mazda6,i Sport,Sedan,automatic,1yvhz8bh2a5m09139,fl,26,80882,red,black,fiserv/crescent bank & trust,6450,6600,Thu Feb 26 2015 01:35:00 GMT-0800 (PST)
2010,Mazda,Mazda6,i Touring,Sedan,automatic,1yvhz8ch7a5m31197,in,21,54659,blue,black,remarketing of america,9400,6000,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
2010,Mazda,Mazda6,i Sport,Sedan,automatic,1yvhz8bh2a5m53822,il,36,57141,black,black,remarketing by ge/rock valley credit union,6900,8500,Tue Feb 24 2015 02:00:00 GMT-0800 (PST)
2010,Mazda,CX-7,i Sport,SUV,automatic,jm3er2wm2a0322830,fl,21,55355,black,black,chrysler capital,10100,9100,Thu Feb 26 2015 01:35:00 GMT-0800 (PST)
2009,Mazda,3,s Sport,Sedan,manual,jm1bk324591230323,ca,29,70746,white,black,scott robinson chrysler jeep dodge ram,8500,8900,Tue Mar 03 2015 04:30:00 GMT-0800 (PST)
2010,Mazda,Mazda6,i Sport,Sedan,automatic,1yvhz8bhxa5m27789,fl,37,82038,gray,black,santander consumer,6400,8600,Thu Feb 26 2015 01:35:00 GMT-0800 (PST)
2011,Mazda,3,s Grand Touring,Sedan,automatic,jm1bl1w59b1396371,mn,36,88244,black,black,exeter finance corp,9900,9900,Thu Feb 26 2015 02:45:00 GMT-0800 (PST)
2011,Mazda,Mazdaspeed3,Sport,Hatchback,manual,jm1bl1k47b1363866,ca,34,87730,gray,black,e motor cars,11900,14000,Tue Mar 03 2015 04:30:00 GMT-0800 (PST)
2011,Mazda,Mazda3,i Touring,Sedan,automatic,jm1bl1vg3b1373106,tn,37,24087,blue,black,jpmorgan chase bank n.a.,10700,9700,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2011,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1ug2b1373633,az,24,69929,gray,black,fiserv/security national automotive accept corp,7900,8900,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2011,Mazda,CX-7,i Sport,SUV,automatic,jm3er2bm2b0370853,tn,46,31608,silver,black,jpmorgan chase bank n.a.,14050,14200,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2011,Mazda,Mazda2,Sport,Hatchback,automatic,jm1de1hy7b0124241,az,3,56753,red,black,gateway one lending & finance,6825,8800,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2011,Mazda,Mazda2,Sport,Hatchback,manual,jm1de1hy9b0104315,fl,3,60596,green,black,tdaf remarketing,7000,8000,Tue Mar 03 2015 01:00:00 GMT-0800 (PST)
2012,Mazda,Mazda6,i Touring,Sedan,automatic,1yvhz8dh2c5m17418,in,31,47530,silver,black,the farmers bank,10950,11100,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
2012,Mazda,CX-9,Touring,SUV,automatic,jm3tb2ca0c0363465,fl,39,32838,black,gray,d&a fine cars,18050,18900,Tue Feb 24 2015 01:20:00 GMT-0800 (PST)
2012,Mazda,CX-9,Sport,SUV,automatic,jm3tb3bv2c0354373,oh,5,36616,black,black,wholesale inc # 2,15400,16900,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2012,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1ug5c1575948,az,29,52511,blue,black,the hertz corporation,9450,8100,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2007,Mazda,MX-5 Miata,Touring,Convertible,automatic,jm1nc25f970128964,fl,2,87925,blue,black,tdaf remarketing,7050,6500,Tue Mar 03 2015 01:00:00 GMT-0800 (PST)
