Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2014,Mercedes-Benz,CLA-Class,CLA250,Sedan,automatic,wddsj4eb1en123555,ga,43,13350,black,black,sixt rent a car llc,29900,29500,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
2003,Mercedes-Benz,C-Class,C230,Sedan,automatic,wdbrf40j23f438735,fl,24,111640,black,—,mercedes benz of tampa,4300,4300,Thu Feb 26 2015 08:20:00 GMT-0800 (PST)
2003,Mercedes-Benz,C-Class,C240,Sedan,automatic,wdbrf61j63f370966,ca,24,123178,green,tan,lexus of stevens creek,3225,3400,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2003,Mercedes-Benz,SL-Class,SL500,Convertible,automatic,wdbsk75fx3f059436,ca,44,61812,gray,black,awin enterprises,15850,15000,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2002,Mercedes-Benz,S-Class,S500,Sedan,automatic,wdbng75j12a229259,pa,24,170814,silver,gray,credit acceptance corp/vrs/southfield,2600,2250,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2002,Mercedes-Benz,S-Class,S500,Sedan,automatic,wdbng75jx2a257349,ca,19,172046,silver,black,phillips auto brokerage,2350,4200,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2001,Mercedes-Benz,M-Class,ML430,SUV,automatic,4jgab72e61a225322,ca,33,125162,blue,gray,lexus of stevens creek,2325,3400,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2001,Mercedes-Benz,C-Class,C320,Sedan,automatic,wdbrf64j31f116009,ca,29,53162,silver,black,stanford car co,3600,6950,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2001,Mercedes-Benz,SL-Class,SL500,Convertible,automatic,wdbfa68fx1f196108,ca,35,63127,silver,gray,coast sports cars inc,8825,10500,Wed Feb 25 2015 04:15:00 GMT-0800 (PST)
1999,Mercedes-Benz,S-Class,S500,Sedan,automatic,wdbga51g9xa410402,ca,2,106594,charcoal,gray,mercedes benz of fresno,2400,1600,Thu Feb 26 2015 05:00:00 GMT-0800 (PST)
1999,Mercedes-Benz,CLK-Class,CLK320,Convertible,automatic,wdblk65g1xt019311,fl,35,160329,red,gray,coggin toyota at the avenues,2450,2900,Thu Feb 26 2015 05:00:00 GMT-0800 (PST)
