Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2006,Mercury,Milan,Premier,Sedan,automatic,3mehm08176r653548,oh,35,98219,—,black,coventry auto sales,4750,5100,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2006,Mercury,Milan,Premier,Sedan,automatic,3mehm08176r646292,fl,19,86547,black,black,westfall auto sales,5300,5800,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2008,Mercury,Grand Marquis,LS,Sedan,automatic,2mefm75v58x653575,ga,34,186554,silver,black,five star dodge,3450,4100,Fri Feb 27 2015 03:00:00 GMT-0800 (PST)
1999,Mercury,Sable,LS,Sedan,automatic,1mefm53s2xa636284,ut,1,112957,gold,tan,cag acceptance,925,200,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2001,Mercury,Villager,Sport,Minivan,automatic,4m2zv12t51dj14876,mi,25,175984,blue,gray,credit acceptance corp/vrs/southfield,500,850,Thu Feb 26 2015 01:30:00 GMT-0800 (PST)
2002,Mercury,Grand Marquis,GS,Sedan,automatic,2mefm74w12x604889,ca,25,119109,silver,gray,time finance co,2025,1300,Wed Feb 25 2015 04:05:00 GMT-0800 (PST)
2002,Mercury,Sable,GS,Sedan,automatic,1mefm50u42a645860,mi,19,127445,red,gray,credit acceptance corp/vrs/southfield,1400,1300,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
2002,Mercury,Villager,Value,Minivan,automatic,4m2zv11tx2dj05853,ca,29,180421,white,gray,aaero sweet company,975,1000,Wed Feb 25 2015 03:30:00 GMT-0800 (PST)
2003,Mercury,Mountaineer,Luxury,SUV,automatic,4m2zu86w53zj18299,wi,19,196024,beige,tan,credit acceptance corp/vrs/southfield,1025,600,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
2004,Mercury,Mountaineer,Convenience,SUV,automatic,4m2du86w54zj04494,wi,19,133401,white,beige,credit acceptance corp/vrs/southfield,2425,250,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
2004,Mercury,Mountaineer,Convenience,SUV,automatic,4m2du86kx4zj23541,va,2,131688,—,tan,titlemax of falls church 1,2975,1800,Thu Feb 26 2015 03:50:00 GMT-0800 (PST)
2004,Mercury,Monterey,Luxury,Minivan,automatic,2mrda20244bj10174,mi,19,1,red,brown,credit acceptance corp/vrs/southfield,3025,1100,Thu Feb 26 2015 01:30:00 GMT-0800 (PST)
2006,Mercury,Mariner Hybrid,Base,SUV,automatic,4m2cu98h76kj00037,wi,28,116071,black,gray,credit acceptance corp/vrs/southfield,3225,3800,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
2000,Mercury,Sable,GS,Sedan,automatic,1mefm50u2ya605429,ga,23,86363,beige,beige,five star ford lincoln mercury,1075,2200,Fri Feb 27 2015 03:00:00 GMT-0800 (PST)
2008,Mercury,Mariner,Premier,SUV,automatic,4m2cu87198kj44462,ga,29,111107,white,beige,wells fargo dealer services,6900,7100,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
2010,Mercury,Mariner,Premier,SUV,automatic,4m2cn8hg1akj13163,fl,44,60639,white,beige,tdaf remarketing,10150,13500,Tue Mar 03 2015 01:00:00 GMT-0800 (PST)
2002,Mercury,Cougar,Base,Hatchback,manual,1zwft61l925612841,mo,17,170719,red,gray,remarketing by ge/mid american credit union,525,1100,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2006,Mercury,Mountaineer,Luxury,SUV,automatic,4m2eu37e76uj26915,sc,37,93581,red,gray,jim hudson toyota,6225,6900,Mon Feb 23 2015 02:00:00 GMT-0800 (PST)
2006,Mercury,Milan,Premier,Sedan,automatic,3mefm08106r622908,pa,29,107103,blue,tan,bergeys chevrolet inc,4500,3000,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2007,Mercury,Milan,Premier,Sedan,automatic,3mehm08127r603464,fl,37,120168,black,black,southern auto finance co/safco/ft lauderdale,3900,3800,Wed Mar 04 2015 01:10:00 GMT-0800 (PST)
2008,Mercury,Mariner Hybrid,Base,SUV,automatic,4m2cu39h88kj32655,nj,36,97547,black,gray,all season motors corp,5850,7800,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2010,Mercury,Mariner,Base,SUV,automatic,4m2cn9bg0akj11497,nc,37,93856,silver,gray,edward oshea,10650,8800,Mon Feb 23 2015 02:00:00 GMT-0800 (PST)
2010,Mercury,Milan,Base,Sedan,automatic,3mehm0ha4ar619379,ga,38,43819,silver,black,innovative auto llc,9075,8700,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2004,Mercury,Mountaineer,Luxury,SUV,automatic,4m2du86w14zj44703,wi,22,138809,black,tan,jpmorgan chase bank n.a.,2775,3300,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
2007,Mercury,Milan,Premier,Sedan,automatic,3mehm02187r636994,fl,23,100526,black,black,santander consumer,5800,5500,Wed Feb 25 2015 01:05:00 GMT-0800 (PST)
