Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2011,Mitsubishi,Outlander Sport,SE,SUV,automatic,ja4ar4au7bz019124,il,35,52411,gray,black,mcgrath city hyundai inc,11450,12500,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
2014,Mitsubishi,Outlander,GT,SUV,automatic,ja4jz4ax5ez019279,mn,47,20802,black,black,mitsubishi north america,21100,21700,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
2014,Mitsubishi,Mirage,DE,Hatchback,automatic,ml32a3hjxeh022832,fl,49,8673,silver,black,toyota of orlando,9400,10300,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2013,Mitsubishi,Lancer,DE,Sedan,manual,ja32u1fu8du016165,pr,34,22201,beige,black,reliable financial services inc,9275,7900,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2011,Mitsubishi,Galant,ES,Sedan,automatic,4a32b3ff4be022408,fl,43,31058,black,gray,courtesy chrysler jeep dodge,8800,9500,Thu Feb 26 2015 08:20:00 GMT-0800 (PST)
2003,Mitsubishi,Eclipse,GS,Hatchback,automatic,4a3ac44g73e064213,va,2,125593,blue,black,purple heart,1675,1200,Thu Mar 05 2015 03:50:00 GMT-0800 (PST)
2002,Mitsubishi,Montero,XLS,SUV,automatic,ja4mw31rx2j007107,fl,24,116113,black,beige,coggin deland honda,2550,3500,Thu Feb 26 2015 05:00:00 GMT-0800 (PST)
2013,Mitsubishi,Outlander Sport,LE,SUV,automatic,4a4ap5au4de024527,tx,42,38563,silver,black,avis corporation,14450,14500,Wed Feb 25 2015 02:15:00 GMT-0800 (PST)
2013,Mitsubishi,Outlander Sport,LE,SUV,automatic,4a4ar5au6de017864,va,35,17353,red,gray,sullivan auto trading inc,16750,16200,Thu Mar 05 2015 01:35:00 GMT-0800 (PST)
2013,Mitsubishi,Outlander Sport,LE,SUV,automatic,4a4ar5au8de024587,ca,3,33408,gray,black,avis rac/san leandro,16200,16300,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2013,Mitsubishi,Outlander,SE,SUV,automatic,ja4jt3aw1du020122,nv,29,35364,silver,black,avis corporation,15100,14800,Fri Feb 27 2015 04:25:00 GMT-0800 (PST)
2013,Mitsubishi,Lancer,ES,Sedan,automatic,ja32u2fu3du018623,mo,39,34945,red,black,briggs auto group inc,10200,10200,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2012,Mitsubishi,Lancer,Ralliart,Sedan,automatic,ja32v6fv1cu025162,ga,36,47001,gray,black,innovative auto llc,14750,14400,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
2012,Mitsubishi,Lancer,ES,Sedan,manual,ja32u2fu9cu022660,az,34,56733,white,black,wells fargo dealer services,8025,8900,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2011,Mitsubishi,Lancer Evolution,GSR,Sedan,manual,ja32w8fv2bu030880,va,35,57221,white,black,elite auto wholesale,20200,21000,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2014,Mitsubishi,Mirage,ES,Hatchback,automatic,ml32a4hj1eh012700,ca,47,17233,green,black,exeter finance corp,9425,10000,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2010,Mitsubishi,Lancer,ES,Sedan,automatic,ja32u2fu9au010506,ca,27,78239,black,black,anaheim mitsubishi,6800,8300,Wed Feb 25 2015 04:15:00 GMT-0800 (PST)
2009,Mitsubishi,Lancer,DE,Sedan,automatic,ja3au16u79u006293,fl,2,89805,gray,black,santander consumer,4275,4000,Thu Feb 26 2015 01:35:00 GMT-0800 (PST)
2009,Mitsubishi,Galant,ES,Sedan,automatic,4a3ab36f19e006530,nc,29,168815,blue,black,dt credit corporation,1950,2300,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2009,Mitsubishi,Galant,ES,Sedan,automatic,4a3ab36f99e003150,pr,32,68625,silver,gray,pa distributors,5325,5800,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2008,Mitsubishi,Endeavor,LS,SUV,automatic,4a4mn21s58e015079,co,24,98108,gray,black,gm financial,5300,5800,Tue Mar 03 2015 04:00:00 GMT-0800 (PST)
2008,Mitsubishi,Eclipse,GS,Hatchback,automatic,4a3ak24f38e007657,fl,19,157604,red,black,remarketing by ge/space coast credit union,2800,1600,Tue Mar 03 2015 01:32:00 GMT-0800 (PST)
2008,Mitsubishi,Lancer,ES,Sedan,manual,ja3au26u48u015277,co,19,123893,white,black,wells fargo dealer services,3725,3000,Wed Mar 04 2015 04:00:00 GMT-0800 (PST)
2008,Mitsubishi,Outlander,XLS,SUV,automatic,ja4ms41x48z002625,ca,25,134332,gray,black,tradewinds remarketing,6175,6100,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2007,Mitsubishi,Eclipse Spyder,GS,Convertible,automatic,4a3al25f87e028773,il,42,58169,red,black,santander consumer,6600,8100,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
2007,Mitsubishi,Eclipse Spyder,GT,Convertible,manual,4a3al35t97e024663,ca,23,120631,black,—,premium auto wholesale,4375,5700,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2006,Mitsubishi,Eclipse,GT,Hatchback,automatic,4a3ak34t16e014003,fl,2,217940,silver,gray,grieco nissan,2250,2600,Thu Feb 26 2015 01:15:00 GMT-0800 (PST)
2006,Mitsubishi,Eclipse,GT,Hatchback,automatic,4a3ak34t86e002396,az,19,130991,red,black,wells fargo dealer services,3650,4000,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2006,Mitsubishi,Eclipse,GS,Hatchback,manual,4a3ak24f16e026558,fl,2,76610,black,black,automatch usa,4825,3500,Wed Feb 25 2015 08:45:00 GMT-0800 (PST)
2002,Mitsubishi,Galant,ES,Sedan,automatic,4a3aa46gx2e115057,fl,19,161223,burgundy,gray,nextgear capital,1075,800,Tue Feb 24 2015 10:00:00 GMT-0800 (PST)
2009,Mitsubishi,Galant,Sport V6,Sedan,automatic,4a3ab46s09e006375,wi,3,58781,blue,black,capital one auto finance,8800,8400,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
2008,Mitsubishi,Eclipse,SE,Hatchback,automatic,4a3ak64f98e012109,fl,33,76919,orange,black,d&a fine cars,7375,8300,Tue Feb 24 2015 01:20:00 GMT-0800 (PST)
2007,Mitsubishi,Eclipse,GS,Hatchback,automatic,4a3ak24f27e039370,ga,19,155684,black,gray,tdaf remarketing,3300,2300,Tue Feb 24 2015 05:00:00 GMT-0800 (PST)
2004,Mitsubishi,Galant,ES,Sedan,automatic,4a3ab46f64e149052,fl,19,128812,black,gray,mercedes-benz of ft pierce,2525,2500,Tue Feb 24 2015 10:00:00 GMT-0800 (PST)
2013,Mitsubishi,Outlander Sport,LE,SUV,automatic,4a4ar5auxde024221,az,4,40789,white,black,avis corporation,15900,16300,Thu Feb 26 2015 03:30:00 GMT-0800 (PST)
2012,Mitsubishi,i-MiEV,SE,Hatchback,automatic,ja3215h13cu008931,co,3,6087,white,brown,ally,11150,8100,Wed Feb 25 2015 03:45:00 GMT-0800 (PST)
2011,Mitsubishi,Lancer,ES,Sedan,automatic,ja32u2fu6bu046154,fl,23,46573,red,black,gm financial,8600,9700,Thu Feb 26 2015 01:40:00 GMT-0800 (PST)
2008,Mitsubishi,Galant,ES,Sedan,automatic,4a3ab36f98e020206,ca,29,165558,silver,gray,logistics leasing,2925,3900,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2008,Mitsubishi,Lancer Evolution,GSR,Sedan,manual,ja3aw86v48u049614,ca,34,59070,gray,black,honda of santa monica,18350,20000,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2007,Mitsubishi,Eclipse Spyder,GS,Convertible,automatic,4a3al25f87e040924,fl,26,59140,red,black,santander consumer,6525,6600,Thu Feb 26 2015 01:35:00 GMT-0800 (PST)
2006,Mitsubishi,Galant,ES,Sedan,automatic,4a3ab36fx6e061599,in,21,99179,silver,black,navy federal credit union,3550,1900,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
2006,Mitsubishi,Galant,ES,Sedan,automatic,4a3ab36f66e012299,ma,19,128188,gold,tan,prestige auto mart inc,3000,1300,Thu Mar 05 2015 10:30:00 GMT-0800 (PST)
2004,Mitsubishi,Outlander,XLS,SUV,automatic,ja4lz41f04u005737,mn,19,149268,blue,black,fiserv/regional acceptance corp,2050,1500,Thu Feb 26 2015 02:45:00 GMT-0800 (PST)
2003,Mitsubishi,Diamante,LS,Sedan,automatic,6mmap67p13t009417,ca,1,110628,silver,gray,gosch ford,1975,600,Tue Mar 03 2015 05:00:00 GMT-0800 (PST)
2005,Mitsubishi,Galant,ES,Sedan,automatic,4a3ab36f05e062470,ca,34,106918,white,black,skyhigh remarketing inc,2775,5100,Wed Feb 25 2015 04:00:00 GMT-0800 (PST)
2002,Mitsubishi,Eclipse,RS,Hatchback,automatic,4a3ac34gx2e029139,pa,19,137616,red,beige,car now acceptance co/easton,1550,1300,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2002,Mitsubishi,Eclipse,GS,Hatchback,automatic,4a3ac44g42e054740,tx,26,160558,silver,black,texas credit acceptance,1025,1100,Wed Feb 25 2015 02:20:00 GMT-0800 (PST)
2001,Mitsubishi,Eclipse,GT,Hatchback,automatic,4a3ac54h61e196858,ma,19,76665,silver,black,clay subaru,2150,1300,Tue Mar 10 2015 03:00:00 GMT-0700 (PDT)
2000,Mitsubishi,Montero Sport,LS,SUV,automatic,ja4mt31hxyp021451,az,19,238005,white,beige,pls loan store/phoenix,700,450,Wed Feb 25 2015 03:00:00 GMT-0800 (PST)
2014,Mitsubishi,Mirage,DE,Hatchback,automatic,ml32a3hj9eh019923,pr,45,10363,purple,black,reliable financial services inc,9325,9600,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2014,Mitsubishi,Mirage,ES,Hatchback,automatic,ml32a4hj1eh003947,pr,39,13343,green,black,reliable financial services inc,9650,9100,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Mitsubishi,Lancer,SE,Sedan,automatic,ja32v2fw6eu007745,mn,41,28236,blue,black,mitsubishi north america,12950,14200,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2014,Mitsubishi,Lancer,ES,Sedan,automatic,ja32u2fu3eu006229,tx,37,49433,blue,—,santander consumer,10600,10100,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
2014,Mitsubishi,Lancer,ES,Sedan,automatic,ja32u2fuxeu008446,tx,35,12322,white,black,santander consumer,11800,12100,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
