Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
1998,Plymouth,Neon,Style,Sedan,automatic,3p3es47c6wt223355,nv,2,120207,red,—,titlemax/las vegas nv24,575,450,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
1998,Plymouth,Neon,Style,Sedan,automatic,3p3es47c5wt342370,ca,29,125387,white,gray,hoehn buick gmc cadillac,525,750,Wed Jan 07 2015 12:30:00 GMT-0800 (PST)
1998,Plymouth,Neon,Expresso,Sedan,automatic,1p3es47y3wd542939,nc,19,137243,red,brown,hendrick fiat of concord,475,350,Wed Jan 07 2015 14:30:00 GMT-0800 (PST)
2000,Plymouth,Prowler,Base,Convertible,automatic,1p3ew65g7yv603989,az,44,12279,black,black,avm auto sales,24500,25000,Thu Jan 22 2015 03:00:00 GMT-0800 (PST)
2001,Plymouth,Prowler,Base,Convertible,automatic,1p3ew65g61v700025,ca,36,48447,silver,black,lexus of chandler,20500,20250,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
1997,Plymouth,Breeze,Base,Sedan,automatic,1p3ej46c0vn504988,nj,22,78754,burgundy,gray,lester glenn buick,425,700,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
1998,Plymouth,Neon,Style,Sedan,automatic,1p3es47c8wd607773,ca,19,229433,gray,gray,skyhigh remarketing inc,325,375,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
1997,Plymouth,Breeze,Base,Sedan,automatic,1p3ej46c2vn681851,fl,19,1,white,gray,toyota of hollywood,875,300,Fri Feb 13 2015 01:30:00 GMT-0800 (PST)
1999,Plymouth,Prowler,Base,Convertible,automatic,1p3ew65g0xv502615,ca,38,104166,black,black,onemain rem/intigue motors,18000,13500,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2000,Plymouth,Prowler,Base,Convertible,automatic,1p3ew65g6yv606074,ga,43,43960,yellow,black,mall of georgia mazda,21900,20200,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
2000,Plymouth,Prowler,Base,Convertible,automatic,1p3ew65g1yv602384,fl,36,18077,black,black,american bank auto liquidators,25600,25000,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
1998,Plymouth,Neon,Style,Sedan,automatic,3p3es47c6wt258638,ca,1,103110,purple,black,dt credit corporation,700,400,Thu May 28 2015 05:00:00 GMT-0700 (PDT)
2000,Plymouth,Prowler,Base,convertible,automatic,1p3ew65g5yv604073,la,3,1,black,black,amarillo national bank,28100,7100,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
2000,Plymouth,Prowler,Base,convertible,automatic,1p3ew65g0yv603607,ca,48,24047,silver,black,desert auto trade,25200,23250,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
2001,Plymouth,Prowler,Base,convertible,automatic,1p3ew65g41v701853,ca,42,11953,orange,black,bmw north scottsdale,26700,26500,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
2000,Plymouth,Prowler,Base,convertible,automatic,1p3ew65g1yv602403,tx,42,14195,black,black,motor trade,26600,25400,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
