Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2004,Pontiac,Grand Prix,GTP,Sedan,automatic,2g2wr524141215169,va,19,114372,black,gray,brown's dulles nissan,3275,3200,Thu Feb 26 2015 01:05:00 GMT-0800 (PST)
2004,Pontiac,Grand Am,SE2,Sedan,automatic,1g2ng52ex4c244108,ca,24,168074,red,gray,credit acceptance corp/vrs/southfield,1925,1400,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2003,Pontiac,Grand Am,GT1,Sedan,automatic,1g2nv52e93c150984,tn,2,142357,white,gray,hertz remarketing,1425,1500,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2003,Pontiac,Grand Am,GT1,Coupe,automatic,1g2nv12e83c197707,ca,32,116486,silver,gray,butler pre-owned auto sales,1775,1700,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2000,Pontiac,Grand Am,SE1,Coupe,automatic,1g2nf12t9ym785404,tx,3,176244,gray,gray,titlemax/balcone heights tx1,925,350,Fri Feb 27 2015 02:00:00 GMT-0800 (PST)
2000,Pontiac,Grand Am,SE2,Sedan,automatic,1g2ng52e4ym761971,tx,2,175373,silver,black,dt inventory,650,800,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2010,Pontiac,G6,Fleet,Sedan,automatic,1g2za5e03a4137037,oh,26,118692,blue,black,credit acceptance corp/vrs/southfield,5750,5600,Thu Mar 05 2015 01:00:00 GMT-0800 (PST)
2009,Pontiac,G6,Base,Sedan,automatic,1g2zg57b294199912,mi,22,136666,blue,tan,remarketing by ge/michigan schools & govt cu,3800,3800,Thu Feb 26 2015 01:30:00 GMT-0800 (PST)
2008,Pontiac,G6,Base,Sedan,automatic,1g2zg57b884204786,ga,27,142648,burgundy,black,santander consumer,3100,3400,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2008,Pontiac,G6,Base,Sedan,automatic,1g2zg57n884240357,mi,47,104780,black,gray,kevins marysville auto sales inc,5125,6200,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
2007,Pontiac,Torrent,Base,SUV,automatic,2ckdl63f676082998,il,25,108909,gray,black,santander consumer,3900,5000,Tue Feb 24 2015 02:00:00 GMT-0800 (PST)
2007,Pontiac,Torrent,Base,SUV,automatic,2ckdl63f476009306,il,19,97081,gray,black,santander consumer,4225,3600,Tue Feb 24 2015 02:00:00 GMT-0800 (PST)
2006,Pontiac,G6,Base,Sedan,automatic,1g2zf55b864170674,va,28,84708,white,tan,dt credit corporation,4525,4400,Thu Feb 26 2015 00:50:00 GMT-0800 (PST)
2006,Pontiac,Grand Prix,GT,Sedan,automatic,2g2wr554661114059,il,27,87061,gray,black,santander consumer,5000,5400,Tue Feb 24 2015 02:00:00 GMT-0800 (PST)
2006,Pontiac,G6,Base,Sedan,automatic,1g2zg558x64180091,fl,19,95245,black,black,autonation toyota scion weston,4500,2700,Tue Feb 24 2015 10:00:00 GMT-0800 (PST)
2005,Pontiac,G6,GT,Sedan,automatic,1g2zh548854119982,va,19,137037,black,black,shirlie slack mitsubishi,3475,3900,Thu Feb 26 2015 01:35:00 GMT-0800 (PST)
2004,Pontiac,Vibe,Base,Wagon,automatic,5y2sl64804z423374,va,19,204553,white,black,credit acceptance corp/vrs/southfield,2050,2000,Thu Feb 26 2015 00:50:00 GMT-0800 (PST)
1999,Pontiac,Firebird,Formula,Hatchback,manual,2g2fv22g6x2217583,wi,29,84648,red,black,educators credit union,4925,8700,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
2009,Pontiac,G5,Base,Coupe,automatic,1g2ar15h897193375,wi,28,35153,gray,gray,new look enterprises inc,6325,6500,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
2009,Pontiac,G6,GT,Sedan,automatic,1g2zh57n194114968,ga,23,54426,burgundy,black,wells fargo dealer services,7475,6200,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
2009,Pontiac,G6,Base,Sedan,automatic,1g2zg57b194222547,oh,29,106275,blue,beige,dt credit corporation,5350,4100,Thu Mar 05 2015 01:00:00 GMT-0800 (PST)
2008,Pontiac,G6,Base,Sedan,automatic,1g2zg57b484119783,oh,15,101350,white,black,dt credit corporation,4625,2700,Thu Feb 26 2015 01:00:00 GMT-0800 (PST)
2008,Pontiac,G6,Base,Sedan,automatic,1g2zg57n084102411,ga,22,91779,silver,black,wells fargo financial acceptance,5575,4800,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
2008,Pontiac,G6,Base,Sedan,automatic,1g2zg57n984218190,tx,3,74971,gray,gray,gm financial,6300,7200,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
2008,Pontiac,G6,Base,Sedan,automatic,1g2zg57b484195309,ga,28,136528,silver,gray,automobile acceptance corp,3375,3300,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
2008,Pontiac,G6,GT,Sedan,automatic,1g2zh57n984220826,mo,19,84131,black,black,consolidated asset recovery systems  inc.,6025,6100,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2008,Pontiac,Torrent,Base,SUV,automatic,2ckdl33f986313649,pa,39,63475,silver,black,c & b motors,7400,7300,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2008,Pontiac,Torrent,Base,SUV,automatic,2ckdl33f386031975,ca,19,121818,gray,black,gm financial,4625,3200,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2008,Pontiac,G6,GT,Sedan,automatic,1g2zh57nx84226473,mi,29,143691,silver,black,assets recovered,3325,3100,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
2007,Pontiac,G6,Base,Sedan,automatic,1g2zg58n074137172,az,19,153854,blue,black,cag acceptance,2725,2050,Wed Feb 25 2015 03:00:00 GMT-0800 (PST)
2007,Pontiac,G6,Value Leader,Sedan,automatic,1g2zf58b774217772,fl,2,94246,silver,black,nicholas financial inc/clearwater,4450,3800,Thu Feb 26 2015 07:00:00 GMT-0800 (PST)
2007,Pontiac,G6,Base,Sedan,automatic,1g2zg58bx74198907,wi,19,121870,blue,black,credit acceptance corp/vrs/southfield,3875,3100,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
2009,Pontiac,G6,GT,Sedan,automatic,1g2zh57n194172045,tx,34,103839,white,black,dt credit corporation,5425,5500,Wed Feb 25 2015 02:20:00 GMT-0800 (PST)
2008,Pontiac,Torrent,Base,SUV,automatic,2ckdl43f586030770,oh,41,77769,beige,tan,delta auto group london,8250,8100,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2007,Pontiac,Grand Prix,GXP,Sedan,automatic,2g2wc58c771219764,md,31,36133,blue,tan,autonation chevrolet security blvd,8175,8000,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2007,Pontiac,G6,Base,Sedan,automatic,1g2zg58bx74235549,pa,35,45811,silver,black,charles & son auto sls inc,5825,6300,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
2007,Pontiac,G6,GT,Convertible,automatic,1g2zh361974147250,tn,27,52177,red,beige,sullivan auto group llc,8525,7800,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2007,Pontiac,G6,Base,Sedan,automatic,1g2zg58b274123442,nj,28,57785,gray,gray,wells fargo dealer services,5725,5800,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2007,Pontiac,Torrent,Base,SUV,automatic,2ckdl63f976082591,tx,19,129089,black,black,classic dodge chrysler jeep,3525,1700,Fri Feb 20 2015 11:00:00 GMT-0800 (PST)
2006,Pontiac,G6,Base,Sedan,automatic,1g2zg558064247264,nc,2,138800,black,gray,dt inventory,3150,800,Tue Feb 24 2015 00:30:00 GMT-0800 (PST)
2006,Pontiac,Vibe,Base,Wagon,automatic,5y2sl65826z438055,co,28,108938,black,black,dt credit corporation,4250,3800,Wed Feb 25 2015 03:45:00 GMT-0800 (PST)
2006,Pontiac,G6,Base,Sedan,automatic,1g2zg558864142276,co,21,137169,gold,tan,dt credit corporation,3200,2400,Wed Feb 25 2015 03:45:00 GMT-0800 (PST)
