Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2014,Porsche,Cayenne,GTS,SUV,automatic,wp1ad2a23ela73422,ca,46,15694,white,black,ecars,77000,80750,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2013,Porsche,911,Carrera,Coupe,automatic,wp0aa2a9xds107884,ca,44,39641,red,beige,symbolic motor cars,60000,62000,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2013,Porsche,911,Carrera S,Coupe,automatic,wp0ab2a92ds121758,ga,43,21294,black,black,porsche cars north america,75000,64500,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
2009,Porsche,Cayenne,S,SUV,automatic,wp1ab29p39la45258,fl,25,85337,black,black,fiserv/crescent bank & trust,20000,20400,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
2010,Porsche,Panamera,4S,Sedan,automatic,wp0ab2a77al060315,pa,41,45287,black,beige,r hollenshead auto sales inc,46700,45250,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
2012,Porsche,911,Carrera S (Midyear Redesign),Coupe,automatic,wp0ab2a94cs122117,ca,49,9906,gray,white,eurocar,73000,78000,Thu May 21 2015 05:00:00 GMT-0700 (PDT)
2006,Porsche,Cayenne,Base,SUV,automatic,wp1aa29p36la27552,ga,3,111502,white,brown,cameron motor sports,9125,9900,Thu May 21 2015 02:30:00 GMT-0700 (PDT)
2009,Porsche,Cayenne,Base,SUV,automatic,wp1aa29p89la03493,wi,41,58175,black,black,robert preussler motors llc,21100,22250,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
2012,Porsche,911,Carrera S (Midyear Redesign),Coupe,automatic,wp0ab2a97cs121284,ca,41,25268,red,black,ubs wholesale,68000,69500,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2012,Porsche,Panamera,4S,Sedan,automatic,wp0ab2a72cl060435,ca,4,57844,white,black,bmw of riverside,52600,52000,Thu May 21 2015 05:00:00 GMT-0700 (PDT)
