Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2014,Ram,1500,Tradesman,Regular Cab,automatic,3c6jr6at0eg270796,mo,43,1025,blue,gray,chrysler capital,21300,20500,Tue Mar 03 2015 16:00:00 GMT-0800 (PST)
2012,Ram,2500,SLT,Crew Cab,automatic,3c6ud5dl6cg298486,tx,43,74355,silver,black,barco fleet services,25900,28250,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2012,Ram,2500,SLT,Crew Cab,automatic,3c6ud5dl7cg180852,nv,39,44550,white,beige,barco rent a truck,29400,32600,Fri Mar 06 2015 04:00:00 GMT-0800 (PST)
2012,Ram,2500,SLT,Crew Cab,automatic,3c6ud5dl6cg326335,nv,35,90096,white,gray,barco rent a truck,23400,25500,Fri Mar 06 2015 04:00:00 GMT-0800 (PST)
2012,Ram,C/V Cargo Van,Base,Minivan,automatic,2c4jdgag1cr261256,fl,4,112400,silver,black,remarketing by ge/mccoy leasing & finance inc,6075,7300,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
2012,Ram,2500,SLT,Crew Cab,automatic,3c6ud5dl2cg195954,tx,31,84728,gray,black,barco fleet services,24200,25000,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2012,Ram,2500,SLT,Crew Cab,automatic,3c6ud5dl7cg154574,tx,19,82635,red,black,barco fleet services,24500,22500,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2011,Ram,2500,Laramie Longhorn Edition,Crew Cab,manual,3d7ut2cl4bg630022,mo,31,54863,white,gray,o'fallon motorsports,27700,26500,Tue Mar 03 2015 03:00:00 GMT-0800 (PST)
2011,Ram,1500,ST,Quad Cab,automatic,1d7rb1gk2bs529980,tx,36,59180,green,black,westlake financial services,15450,14200,Tue Mar 10 2015 03:30:00 GMT-0700 (PDT)
2011,Ram,1500,SLT,Crew Cab,automatic,1d7rb1cp1bs514050,fl,42,24523,brown,beige,central florida auto gallery inc,19900,22700,Tue Mar 03 2015 01:00:00 GMT-0800 (PST)
2011,Ram,1500,ST,Quad Cab,automatic,1d7rb1gk6bs550492,fl,43,54008,silver,gray,chrysler capital,15350,17700,Thu Mar 05 2015 01:35:00 GMT-0800 (PST)
2011,Ram,2500,SLT,Crew Cab,automatic,3d7ut2cl5bg588900,ca,44,62007,white,black,reliance motors llc,28000,31500,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
2011,Ram,1500,SLT,Quad Cab,automatic,1d7rv1gp4bs666633,tx,34,137397,white,gray,ge fleet services for itself/servicer,12100,11000,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2011,Ram,1500,SLT,Quad Cab,automatic,1d7rb1gp8bs696288,tx,39,106658,white,gray,lawler motor sports inc,12250,13500,Tue Mar 03 2015 03:00:00 GMT-0800 (PST)
2011,Ram,1500,Sport,Crew Cab,automatic,1d7rv1ct4bs542817,mo,49,81968,—,gray,woodhouse ford inc,20300,21500,Tue Mar 03 2015 03:00:00 GMT-0800 (PST)
2011,Ram,1500,Sport,Crew Cab,automatic,1d7rv1ctxbs645904,oh,42,73056,white,black,humberview chevrolet,22000,23000,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2012,Ram,2500,SLT,Crew Cab,automatic,3c6ud5jl8cg250475,tx,36,63305,red,gray,woodhouse ford inc,29300,29900,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
