Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2010,Rolls-Royce,Ghost,Base,Sedan,automatic,sca664s51aux48718,wi,4,8440,gray,beige,toyota financial services,157000,149800,Wed Dec 17 2014 10:00:00 GMT-0800 (PST)
2012,Rolls-Royce,Ghost,Base,Sedan,automatic,sca664s58cux50727,fl,45,14316,black,beige,braman motorcars,154000,169500,Wed Jan 14 2015 01:40:00 GMT-0800 (PST)
2011,Rolls-Royce,Ghost,Base,Sedan,automatic,sca664s58bux50113,ca,42,12912,black,black,financial services remarketing (bmw int),166000,163000,Wed Jan 28 2015 10:00:00 GMT-0800 (PST)
2011,Rolls-Royce,Ghost,Base,Sedan,automatic,sca664s51bux49871,ca,4,11841,gray,off-white,financial services remarketing (bmw int),160000,149000,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2010,Rolls-Royce,Ghost,Base,Sedan,automatic,sca664s56aux49041,ca,45,10900,gray,beige,executive car leasing company,151000,141500,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2011,Rolls-Royce,Ghost,Base,Sedan,automatic,sca664s57bux49549,ca,43,12601,gray,gray,ferrari of orange county,162000,143000,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
2011,Rolls-Royce,Ghost,Base,Sedan,automatic,sca664s51bux49532,ca,42,9134,blue,beige,financial services remarketing (bmw int),151000,147000,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2011,Rolls-Royce,Ghost,Base,Sedan,automatic,sca664s55bux49503,ca,47,22761,black,beige,financial services remarketing (bmw int),142000,155000,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2011,Rolls-Royce,Ghost,Base,Sedan,automatic,sca664s53bux49967,ca,36,13695,—,tan,financial services remarketing (bmw int),148000,147000,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2011,Rolls-Royce,Ghost,Base,Sedan,automatic,sca664s56bux49963,ca,44,22258,gray,tan,the auto gallery,142000,146000,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2011,Rolls-Royce,Ghost,Base,sedan,automatic,sca664s55bux50201,ca,37,15450,black,black,financial services remarketing (bmw int),146000,150000,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
2011,Rolls-Royce,Ghost,Base,sedan,automatic,sca664s54bux49959,ca,43,12268,gray,beige,financial services remarketing (bmw int),149000,147000,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
2010,Rolls-Royce,Ghost,Base,sedan,automatic,sca664s59aux48756,fl,38,23699,white,red,scottsdale sports car group,141000,140000,Tue Jun 02 2015 05:00:00 GMT-0700 (PDT)
2012,Rolls-Royce,Ghost,Base,sedan,automatic,sca664s59cux50803,ca,44,5215,white,tan,financial services remarketing (bmw int),166000,167000,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
2013,Rolls-Royce,Ghost,Base,sedan,automatic,sca664s52dux52152,fl,42,7852,white,beige,flag/landrover southpointe,178000,171500,Wed Jun 17 2015 03:05:00 GMT-0700 (PDT)
2012,Rolls-Royce,Ghost,EWB,sedan,automatic,sca664l50cux65625,ca,36,11832,white,black,bentley scottsdale,164000,169000,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
