Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2011,Saab,9-3,2.0T,Sedan,automatic,ys3fa4cy3b1302842,nv,34,36662,gray,black,unique autos,10600,11200,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
2006,Saab,9-3,2.0T SportCombi,Wagon,automatic,ys3fd59y361113232,ca,29,89339,blue,beige,laa leasing,4425,4100,Wed Feb 25 2015 04:00:00 GMT-0800 (PST)
2008,Saab,9-3,2.0T,Sedan,automatic,ys3fb49yx81104420,ca,43,67302,black,black,logistics leasing,6300,7900,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2005,Saab,9-3,Arc,Sedan,automatic,ys3fd49y351018498,nc,42,57177,white,gray,fred anderson toyota/scion,4100,6300,Mon Feb 23 2015 01:00:00 GMT-0800 (PST)
1999,Saab,9-3,SE,Hatchback,automatic,ys3df58n0x2072238,ma,19,128744,blue,tan,prestige auto mart inc,875,700,Tue Feb 24 2015 02:00:00 GMT-0800 (PST)
2003,Saab,9-3,Linear,Sedan,manual,ys3fb45s031010749,nc,25,114718,silver,gray,rippy cadillac llc,1925,2200,Mon Feb 23 2015 01:30:00 GMT-0800 (PST)
2002,Saab,9-5,Linear 2.3T,Sedan,manual,ys3eb45ex23046392,nj,19,110925,silver,black,roches garage,1350,1600,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2003,Saab,9-3,Arc,Sedan,automatic,ys3fd49y331043933,nj,26,94763,silver,gray,burns kull inc,2275,1200,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
2003,Saab,9-3,Linear,Sedan,automatic,ys3fb49s931013644,fl,21,78200,burgundy,gray,volkswagen of fort myers,2250,2200,Tue Feb 24 2015 10:00:00 GMT-0800 (PST)
2005,Saab,9-5,Arc 2.3T,Sedan,automatic,ys3ed49a953527577,nj,28,96981,green,tan,red bank volvo inc,2650,2900,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2005,Saab,9-3,Aero,Sedan,automatic,ys3fh49y151018973,nj,28,128086,black,gray,red bank volvo inc,2225,2500,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2008,Saab,9-3,2.0T,Sedan,automatic,ys3fb49y481006659,il,26,79840,black,black,remarketing by ge/manheim arena illinois,5800,3900,Tue Feb 24 2015 02:00:00 GMT-0800 (PST)
2003,Saab,9-3,Vector,Sedan,automatic,ys3ff49y831047289,nv,22,92931,gray,gray,globul,2150,3000,Fri Feb 20 2015 03:45:00 GMT-0800 (PST)
2006,Saab,9-3,2.0T,Sedan,automatic,ys3fd49y961026610,ca,34,107166,white,gray,north county hyundai,3200,3500,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2007,Saab,9-7X,5.3i,SUV,automatic,5s3et13m472802657,fl,23,86355,black,black,coggin nissan at the avenues,4125,4100,Thu Feb 19 2015 16:20:00 GMT-0800 (PST)
2008,Saab,9-3,2.0T SportCombi,Wagon,automatic,ys3fb59y381154520,nc,41,89294,black,beige,repo remarketing/forum credit union,5200,5700,Tue Feb 24 2015 01:15:00 GMT-0800 (PST)
2004,Saab,9-3,Linear,Sedan,automatic,ys3fb49sx41004677,wi,1,70579,gray,gray,wilde toyota,2700,1550,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
2007,Saab,9-3,2.0T,Sedan,automatic,ys3fd49y771009905,fl,19,1,black,gray,woodcrest vehicle remarketing,7350,1200,Fri Feb 20 2015 01:30:00 GMT-0800 (PST)
2002,Saab,9-5,Linear 2.3T,Wagon,automatic,ys3eb59ex23011576,ca,2,113111,black,tan,charitable auto resource,1500,1100,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
2002,Saab,9-3,SE,Hatchback,automatic,ys3df58k722000354,ca,35,83762,green,tan,digs wheels inc,1575,1900,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
2005,Saab,9-3,Linear,Sedan,manual,ys3fb45s651035304,tx,26,147675,gray,gray,onemain rem/nas financial services,1700,1400,Tue Mar 03 2015 16:00:00 GMT-0800 (PST)
2006,Saab,9-3,Aero,Sedan,manual,ys3fh46u361126255,wa,19,100665,gray,gray,acura of seattle,3850,3000,Wed Feb 18 2015 05:20:00 GMT-0800 (PST)
2008,Saab,9-3,2.0T,Sedan,automatic,ys3fb49y681153887,tx,25,53541,black,beige,d&m leasing,7025,6300,Wed Feb 18 2015 02:45:00 GMT-0800 (PST)
2008,Saab,9-7X,4.2i,SUV,automatic,5s3et13s682803115,fl,27,108754,silver,black,regional acceptance corporation / greenville,5325,3900,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
2010,Saab,9-3,2.0T,Convertible,automatic,ys3fa7cy3a1614983,ca,28,38795,black,tan,onemain rem/m&m auto traders,13250,12200,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
2006,Saab,9-3,Aero SportCombi,Wagon,automatic,ys3fh51u061126212,nj,3,109614,green,tan,all american ford/subaru,4350,4700,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
2002,Saab,9-3,SE,Hatchback,manual,ys3df55k222009970,ca,25,97061,red,black,audi san diego,1525,2400,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2008,Saab,9-3,2.0T,Sedan,automatic,ys3fb49y181108050,nc,34,189084,white,gray,hendrick buick gmc cadillac,2550,1300,Mon Mar 02 2015 01:30:00 GMT-0800 (PST)
1999,Saab,9-3,Base,Convertible,automatic,ys3dd78n7x7003518,ca,27,144126,blue,silver,enterprise car sales/orange,825,600,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
2003,Saab,9-3,Linear,Sedan,manual,ys3fb45s631009038,va,29,123811,green,beige,browns alexandria mazda,1650,2500,Thu Mar 05 2015 01:05:00 GMT-0800 (PST)
2005,Saab,9-5,Aero,Sedan,automatic,ys3eh49gx53534336,tx,2,1,gray,gray,westlake financial services,5275,15750,Tue Mar 10 2015 04:00:00 GMT-0700 (PDT)
2007,Saab,9-3,2.0T,Convertible,automatic,ys3fd79y876004409,mi,46,117909,white,gray,erhard bmw,4475,5300,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
2007,Saab,9-3,2.0T,Convertible,automatic,ys3fd79y376101971,fl,28,123350,blue,black,mercedes benz of miami,4275,4400,Tue Mar 03 2015 10:00:00 GMT-0800 (PST)
2008,Saab,9-3,2.0T,Sedan,automatic,ys3fb49y781137682,ga,25,75378,black,tan,mercedes benz of buckhead,5800,6700,Tue Mar 03 2015 05:00:00 GMT-0800 (PST)
2003,Saab,9-3,Linear,Sedan,automatic,ys3fb49s231052205,nc,41,135473,gray,gray,berglund chrysler jeep dodge,1675,1750,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2005,Saab,9-3,Aero,Convertible,manual,ys3fh75y656008661,md,1,72240,black,beige,wells fargo financial acceptance,5050,3200,Tue Mar 03 2015 05:00:00 GMT-0800 (PST)
2007,Saab,9-3,2.0T,Sedan,automatic,ys3fd49y471139883,va,21,126052,white,gray,gm financial,3250,900,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
2008,Saab,9-3,Aero,Sedan,automatic,ys3fh41u581100864,il,38,75056,silver,gray,naperville imports inc,6550,7900,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
1999,Saab,9-3,SE,Hatchback,automatic,ys3df58n1x2079697,ca,21,128673,black,tan,audi san diego,875,850,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2003,Saab,9-3,Vector,Sedan,automatic,ys3ff49y431051906,nc,28,127153,silver,gray,hendrick bmw,1625,2300,Wed Feb 25 2015 06:00:00 GMT-0800 (PST)
2003,Saab,9-3,Linear,Sedan,automatic,ys3fb49s631010832,nv,29,142674,blue,gray,unique autos,1725,1200,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2004,Saab,9-3,Arc,Sedan,manual,ys3fd45y641034974,ca,22,135682,gray,gray,lexus of stevens creek,1925,1500,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2005,Saab,9-5,Arc 2.3T,Sedan,automatic,ys3ed49a653504385,tx,29,138094,white,tan,credit acceptance corp/vrs/southfield,1975,2400,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2006,Saab,9-5,Base,Sedan,automatic,ys3ed49g063512133,nc,44,121484,black,white,crossroads nissan,2800,3300,Mon Mar 02 2015 01:00:00 GMT-0800 (PST)
2006,Saab,9-3,2.0T SportCombi,Wagon,automatic,ys3fd59y261026647,ga,28,138319,black,gray,nalley toyota of roswell,3000,3100,Tue Mar 03 2015 05:00:00 GMT-0800 (PST)
2007,Saab,9-3,2.0T,Sedan,manual,ys3fd46yx71003407,ga,28,103562,gray,gray,mercedes benz of buckhead,4025,4100,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
2008,Saab,9-3,Aero,Convertible,automatic,ys3fh71u286000323,ca,35,82810,silver,black,high bid trading co inc,9300,9250,Wed Feb 25 2015 04:15:00 GMT-0800 (PST)
2003,Saab,9-3,Linear,Sedan,manual,ys3fb45s531018135,va,26,80495,silver,beige,pohanka acura,2375,2600,Thu Feb 26 2015 01:50:00 GMT-0800 (PST)
2004,Saab,9-3,Linear,Sedan,automatic,ys3fb49s541040499,wi,2,108124,silver,gray,frank boucher chevrolet inc,2150,500,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2011,Saab,9-5,Turbo4 Premium,Sedan,automatic,ys3gn4ar8b4002121,pa,3,44516,brown,brown,fred martin motor co,13150,12500,Wed Feb 25 2015 01:00:00 GMT-0800 (PST)
2005,Saab,9-3,Linear,Sedan,automatic,ys3fb49s351025582,ga,37,104906,silver,gray,carworks inc,2600,3400,Tue Mar 03 2015 05:00:00 GMT-0800 (PST)
2005,Saab,9-3,Arc,Convertible,automatic,ys3fd79y156016477,az,2,162307,black,beige,buckeye title loans inc,975,800,Wed Feb 25 2015 03:00:00 GMT-0800 (PST)
2006,Saab,9-3,2.0T,Convertible,automatic,ys3fd79y166107234,md,27,222747,blue,beige,jaguar landover of west columbia,2500,1800,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2003,Saab,9-3,SE,Convertible,automatic,ys3df78k137010541,pa,23,58562,silver,black,nextgear capital,3075,3000,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
2003,Saab,9-3,Linear,Sedan,manual,ys3fb45s731035132,ma,24,137925,blue,gray,imperial chevrolet,1600,400,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2004,Saab,9-3,Linear,Sedan,automatic,ys3fb49sx41014092,ca,27,102803,black,gray,hoehn motors inc,2200,2300,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
2006,Saab,9-3,2.0T SportCombi,Wagon,automatic,ys3fd59y361026706,ca,31,91384,white,beige,jessup cad buick pont gmc saab hummer chev,4375,5900,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
2006,Saab,9-3,2.0T,Sedan,manual,ys3fd45y361100755,ga,32,124043,blue,gray,gwinnett place honda,2075,3300,Tue Feb 17 2015 05:00:00 GMT-0800 (PST)
2006,Saab,9-7X,5.3i,SUV,automatic,5s3et13m062801049,tx,19,130639,black,tan,usaa financial,3425,4750,Tue Feb 17 2015 03:00:00 GMT-0800 (PST)
2007,Saab,9-3,2.0T,Sedan,manual,ys3fd46y171127789,co,3,89584,black,gray,gmac smartlane dealers,4475,5400,Wed Feb 11 2015 03:45:00 GMT-0800 (PST)
2008,Saab,9-3,2.0T SportCombi,Wagon,automatic,ys3fb59y381153450,oh,29,64619,black,gray,midwestern auto group,6325,5300,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2007,Saab,9-3,2.0T,Sedan,automatic,ys3fd49y771110877,ga,25,94286,silver,black,riverside toyota scion,4250,5100,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
2008,Saab,9-3,Aero,Sedan,automatic,ys3fh41u981005238,tx,38,53147,silver,black,tdaf remarketing,8250,9200,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
2004,Saab,9-3,Arc,Sedan,automatic,ys3fd49y241010908,ca,19,195651,gray,gray,bob baker volkswagen subaru,775,600,Fri Feb 06 2015 07:00:00 GMT-0800 (PST)
2005,Saab,9-3,Aero,Convertible,automatic,ys3fh79y356014363,nv,39,53212,burgundy,gray,vegas motorcars inc,5550,7100,Fri Feb 13 2015 04:00:00 GMT-0800 (PST)
2002,Saab,9-5,Linear 2.3T,Sedan,automatic,ys3eb49e723048191,ga,25,144192,green,tan,by the book auto brokers  inc.,1200,1950,Tue Feb 10 2015 04:50:00 GMT-0800 (PST)
2003,Saab,9-3,Linear,Sedan,manual,ys3fb45s231063680,md,21,132428,silver,gray,carbiz,1675,1300,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2006,Saab,9-7X,4.2i,SUV,automatic,5s3et13s862805543,mn,43,101667,white,tan,onemain rem/express credit inc,4375,5000,Thu Feb 05 2015 02:45:00 GMT-0800 (PST)
1999,Saab,9-3,Base,Convertible,manual,ys3dd75n3x7058827,nc,19,177170,blue,tan,dt inventory,800,850,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2003,Saab,9-3,Vector,Sedan,automatic,ys3ff49y631041555,ca,21,1,black,tan,lobel financial corp,2625,200,Wed Feb 11 2015 03:00:00 GMT-0800 (PST)
2005,Saab,9-3,Arc,Sedan,automatic,ys3fd49yx51021186,ga,1,92927,black,gray,santander consumer,3300,700,Thu Feb 05 2015 04:30:00 GMT-0800 (PST)
2007,Saab,9-3,Aero,Sedan,automatic,ys3fh41u371003466,tx,29,93860,silver,gray,gm financial,4775,4000,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
2008,Saab,9-3,2.0T,Sedan,automatic,ys3fb49y681104737,tn,2,87524,blue,gray,santander consumer,5300,3700,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
2002,Saab,9-5,Arc 3.0t,Wagon,automatic,ys3ed59zx23036183,wa,23,81081,silver,gray,toyota of kirkland,1475,1500,Wed Feb 04 2015 05:20:00 GMT-0800 (PST)
2004,Saab,9-3,Aero,Convertible,automatic,ys3fh79y446009820,wa,27,90186,silver,gray,lexus of bellevue,4675,4300,Wed Feb 04 2015 05:20:00 GMT-0800 (PST)
2004,Saab,9-3,Arc,Convertible,automatic,ys3fd79y746015977,ca,41,114180,black,gray,trade in solutions irvine,2650,3300,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
2005,Saab,9-3,Linear,Sedan,automatic,ys3fb49s651032851,ca,23,105995,silver,gray,honda world,2875,1800,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
2005,Saab,9-5,Aero,Sedan,automatic,ys3eh49gx53503085,ga,2,131305,beige,black,hertz remarketing,2600,900,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2004,Saab,9-3,Aero,Sedan,automatic,ys3fh49y641016814,pa,1,191331,silver,gray,purple heart,1850,1050,Tue Feb 17 2015 05:01:00 GMT-0800 (PST)
2005,Saab,9-5,Arc 2.3T,Sedan,automatic,ys3ed49a453514977,ca,29,124149,silver,gray,credit acceptance corp/vrs/southfield,2325,1900,Wed Feb 18 2015 04:40:00 GMT-0800 (PST)
2005,Saab,9-5,Arc 2.3T,Sedan,automatic,ys3ed49a153503273,va,23,171602,white,gray,browns fairfax mazda,1350,1000,Thu Mar 05 2015 03:50:00 GMT-0800 (PST)
2006,Saab,9-3,2.0T,Sedan,automatic,ys3fd49y761003357,ma,21,139671,gray,gray,metro ford,1550,1100,Tue Feb 17 2015 02:00:00 GMT-0800 (PST)
2002,Saab,9-3,SE,Hatchback,automatic,ys3df58k622014018,fl,28,155051,brown,black,autonation ford delray,1000,1100,Tue Feb 17 2015 10:00:00 GMT-0800 (PST)
2005,Saab,9-3,Linear,Sedan,automatic,ys3fb49s451025638,fl,21,156387,red,black,autonation toyota pinellas park,1450,1100,Tue Feb 17 2015 10:00:00 GMT-0800 (PST)
2005,Saab,9-5,Arc 2.3T,Sedan,automatic,ys3ed49a053520761,mi,28,137422,silver,gray,remarketing by ge/michigan schools & govt cu,2050,1400,Thu Feb 19 2015 09:30:00 GMT-0800 (PST)
2007,Saab,9-3,2.0T,Convertible,automatic,ys3fd79y276109396,ga,23,67814,black,black,nalley bmw,6575,5400,Tue Feb 17 2015 05:00:00 GMT-0800 (PST)
2003,Saab,9-3,Linear,Sedan,automatic,ys3fb49s231050857,fl,27,123314,black,gray,coral springs honda,1700,1600,Fri Feb 13 2015 01:30:00 GMT-0800 (PST)
2004,Saab,9-3,Linear,Sedan,manual,ys3fb45s341003487,nc,18,113404,red,gray,dt inventory,2050,2900,Tue Feb 24 2015 02:00:00 GMT-0800 (PST)
2007,Saab,9-3,2.0T,Sedan,automatic,ys3fd49y071144966,in,1,98596,silver,black,santander consumer,4250,700,Thu Feb 19 2015 04:30:00 GMT-0800 (PST)
2007,Saab,9-3,Aero,Sedan,automatic,ys3fh41u671013473,md,19,124156,gray,—,santander consumer,3775,1700,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2003,Saab,9-3,Linear,Sedan,automatic,ys3fb49s931043162,ga,29,120315,gray,gray,barnett finance company,1825,2000,Tue Feb 17 2015 05:10:00 GMT-0800 (PST)
2008,Saab,9-3,2.0T,Sedan,automatic,ys3fb49y181116410,nc,19,163343,white,black,hendrick motors of charlotte,2550,3100,Wed Mar 04 2015 06:00:00 GMT-0800 (PST)
2006,Saab,9-3,2.0T,Sedan,automatic,ys3fd49y261134180,ga,28,139327,beige,tan,nalley toyota of roswell,1575,3400,Tue Feb 17 2015 05:00:00 GMT-0800 (PST)
2007,Saab,9-3,2.0T,Sedan,automatic,ys3fd49y371012980,va,4,75552,blue,beige,don beyer motors inc,5100,5000,Thu Feb 12 2015 01:35:00 GMT-0800 (PST)
2008,Saab,9-3,2.0T,Sedan,automatic,ys3fb49y181140786,ga,29,52636,gray,black,rick hendrick buick gmc,7125,6900,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
2003,Saab,9-3,Linear,Sedan,automatic,ys3fb49s731007387,ga,22,125093,brown,beige,nalley volkswagen of alpharetta,1775,2900,Tue Feb 17 2015 05:00:00 GMT-0800 (PST)
2005,Saab,9-3,Arc,Convertible,automatic,ys3fd79y356015640,ga,32,70980,gray,gray,nalley toyota of roswell,4650,5500,Tue Feb 17 2015 05:00:00 GMT-0800 (PST)
2003,Saab,9-3,Linear,Sedan,automatic,ys3fb49s731044164,wa,2,115122,black,gray,auto quest inc.,1725,2200,Wed Feb 11 2015 05:50:00 GMT-0800 (PST)
2006,Saab,9-3,2.0T,Sedan,automatic,ys3fd49y761104446,wa,29,114898,black,beige,mercedes-benz of tacoma,2525,4000,Wed Feb 11 2015 06:00:00 GMT-0800 (PST)
2006,Saab,9-3,2.0T,Sedan,manual,ys3fd45y661108803,mn,33,119782,blue,gray,harry browns family automotive,2325,2400,Thu Feb 12 2015 02:45:00 GMT-0800 (PST)
2007,Saab,9-3,2.0T,Sedan,automatic,ys3fd49y671000936,fl,34,100308,gray,gray,robb motorcar llc,4075,4500,Wed Feb 11 2015 01:35:00 GMT-0800 (PST)
2008,Saab,9-7X,5.3i,SUV,automatic,5s3et13m782803173,tx,27,96122,black,black,david mcdavids plano lincoln,6125,6400,Wed Feb 18 2015 02:20:00 GMT-0800 (PST)
2004,Saab,9-3,Aero,Sedan,automatic,ys3fh49y841029404,ga,19,117004,silver,gray,tdaf remarketing,2650,2800,Tue Feb 17 2015 05:00:00 GMT-0800 (PST)
2011,Saab,9-3,2.0T,Sedan,automatic,ys3fa4cy2b1307448,fl,28,34144,black,black,braman motorcars,10700,11600,Thu Feb 12 2015 01:40:00 GMT-0800 (PST)
2004,Saab,9-3,Arc,convertible,automatic,ys3fd79y146003856,fl,19,100962,black,beige,credit acceptance corp/vrs/southfield,3125,1600,Thu Jun 04 2015 10:00:00 GMT-0700 (PDT)
2011,Saab,9-3,2.0T,sedan,automatic,ys3fa4cy9b1303011,va,31,89259,blue,gray,gm financial,6525,7000,Wed Jun 10 2015 02:30:00 GMT-0700 (PDT)
2007,Saab,9-3,2.0T,sedan,automatic,ys3fd49y371100783,ca,36,73209,gray,beige,skyhigh remarketing inc,4475,6100,Wed Jun 03 2015 05:00:00 GMT-0700 (PDT)
2008,Saab,9-3,Aero,sedan,automatic,ys3fh41u081126921,ca,28,99630,gray,black,skyhigh remarketing inc,5350,5000,Wed Jun 03 2015 05:00:00 GMT-0700 (PDT)
2008,Saab,9-3,2.0T,convertible,automatic,ys3fb79y886002778,ca,2,119618,red,black,high bid trading co inc,5600,4300,Wed Jun 17 2015 05:15:00 GMT-0700 (PDT)
2003,Saab,9-3,Linear,sedan,automatic,ys3fb49sx31004337,wi,21,96980,silver,gray,braeger chevrolet,1775,2200,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
2006,Saab,9-3,2.0T,convertible,automatic,ys3fd79y466001070,ca,35,119115,gray,gray,courtesy chevrolet center,2625,3100,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
