Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2004,Saturn,ION,2,Sedan,automatic,1g8aj52f44z174844,ca,41,167553,gray,gray,aaero sweet company,1300,2200,Wed Feb 25 2015 03:30:00 GMT-0800 (PST)
2008,Saturn,Outlook,XR,SUV,automatic,5gzer33758j183924,ga,4,118516,blue,gray,edward colosimo auto sales,7675,8400,Tue Jul 07 2015 06:30:00 GMT-0700 (PDT)
2007,Saturn,Aura,XE,Sedan,automatic,1g8zs57nx7f154507,la,2,138767,gray,gray,westfall auto sales,2975,4500,Wed Mar 04 2015 02:40:00 GMT-0800 (PST)
2007,Saturn,VUE,Base,SUV,automatic,5gzcz53487s838000,ma,33,185807,gray,gray,metro kia of raynham,2150,1500,Tue Feb 24 2015 02:00:00 GMT-0800 (PST)
2007,Saturn,Outlook,XE,SUV,automatic,5gzer13797j111188,ca,31,116757,blue,gray,concord toyota,6625,6600,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2007,Saturn,Outlook,XE,SUV,automatic,5gzev13787j120556,oh,27,111020,blue,black,lindsay honda,7000,8000,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2007,Saturn,ION,2,Sedan,automatic,1g8aj55f97z139281,nv,28,128421,white,gray,lobel financial corp,2525,2350,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2007,Saturn,VUE,Base,SUV,automatic,5gzcz53487s819446,fl,23,177735,gray,gray,santander consumer,2325,2600,Thu Feb 26 2015 01:35:00 GMT-0800 (PST)
2007,Saturn,ION,2,Sedan,automatic,1g8aj55f77z169251,mi,21,125964,silver,gray,santander consumer,2575,1400,Thu Feb 26 2015 01:30:00 GMT-0800 (PST)
2006,Saturn,ION,2,Sedan,automatic,1g8aj55f76z112501,ca,19,106923,silver,gray,dt credit corporation,2525,350,Tue Feb 24 2015 05:00:00 GMT-0800 (PST)
2006,Saturn,ION,3,Sedan,automatic,1g8al55f16z200678,tn,29,167122,gray,gray,darrell waltrip buick gmc,1650,1600,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2008,Saturn,VUE,XE,SUV,automatic,3gscl33p78s712223,ca,34,163596,gray,gray,camacho mitsubishi,2850,4800,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2004,Saturn,VUE,Base,SUV,automatic,5gzcz53494s897262,fl,2,129352,black,beige,santander consumer,2425,1800,Thu Feb 26 2015 01:35:00 GMT-0800 (PST)
2003,Saturn,VUE,Base,SUV,automatic,5gzcz53bx3s878247,fl,22,116086,silver,gray,nextgear capital,2225,1500,Tue Feb 24 2015 10:00:00 GMT-0800 (PST)
