Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2010,Scion,tC,Base,Hatchback,automatic,jtkde3b78a0306355,nj,37,58334,gray,black,j & s auto haus,8825,9800,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
2008,Scion,tC,Base,Hatchback,automatic,jtkde167480227659,pa,21,82218,gray,black,smith haven chrysler jeep dodge,6625,5800,Fri Mar 06 2015 01:15:00 GMT-0800 (PST)
2014,Scion,tC,Base,Hatchback,manual,jtkjf5c78e3085371,oh,49,4670,black,black,pauley motor car co preowned vehicles llc,17650,17700,Mon Mar 02 2015 16:00:00 GMT-0800 (PST)
2014,Scion,tC,Base,Hatchback,manual,jtkjf5c77e3068688,tx,37,13479,black,black,tdaf remarketing,16650,15300,Wed Mar 04 2015 02:15:00 GMT-0800 (PST)
2014,Scion,xB,Base,Wagon,automatic,jtlze4fe7ej061323,tx,44,19461,blue,black,westlake financial services,14750,14900,Tue Mar 10 2015 03:30:00 GMT-0700 (PDT)
2014,Scion,FR-S,Base,Coupe,manual,jf1znaa11e9708403,pa,42,12113,red,black,toyota financial services,19750,18500,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
2014,Scion,xD,Base,Hatchback,automatic,jtkkupb43e1039701,pa,35,5954,gray,black,toyota financial services,13350,11900,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
2014,Scion,tC,Base,Hatchback,automatic,jtkjf5c70e3071996,az,19,23822,red,black,toyota financial services,14650,17000,Fri Jul 03 2015 08:55:00 GMT-0700 (PDT)
2014,Scion,FR-S,Base,Coupe,manual,jf1znaa11e9700849,fl,45,7571,silver,black,onesource/mega auto group inc,20200,21400,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2007,Scion,tC,Base,Hatchback,automatic,jtkde177170176988,nj,1,140506,white,black,m m m auto sales llc,4500,1600,Wed Mar 04 2015 04:00:00 GMT-0800 (PST)
2007,Scion,tC,Base,Hatchback,automatic,jtkde177970161283,va,19,110017,blue,black,c&f finance company,5050,4900,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
2008,Scion,tC,Base,Hatchback,automatic,jtkde167580270469,wa,3,124653,black,black,lexus of tacoma at fife,5025,7100,Wed Mar 04 2015 05:20:00 GMT-0800 (PST)
2008,Scion,xD,Base,Hatchback,automatic,jtkku10458j006543,fl,24,109379,blue,black,santander consumer,5600,5100,Thu Mar 05 2015 01:35:00 GMT-0800 (PST)
2008,Scion,tC,Base,Hatchback,automatic,jtkde167x80253165,fl,19,86100,black,black,santander consumer,6425,7000,Wed Mar 04 2015 01:05:00 GMT-0800 (PST)
2010,Scion,tC,Base,Hatchback,automatic,jtkde3b74a0303517,ca,19,96971,gray,black,m & n financial,7250,9250,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
2010,Scion,tC,Base,Hatchback,automatic,jtkde3b77a0317380,fl,32,75668,blue,black,gte fcu,8125,8600,Thu Mar 05 2015 01:35:00 GMT-0800 (PST)
2011,Scion,xD,Base,Hatchback,automatic,jtkku4b47b1012639,nc,36,27187,red,black,capital ford of charlotte inc,10700,11200,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2011,Scion,xD,Base,Hatchback,automatic,jtkku4b49b1015221,ca,42,6579,purple,black,aaero sweet corporation,11450,11700,Wed Mar 04 2015 04:00:00 GMT-0800 (PST)
2012,Scion,iQ,Base,Hatchback,automatic,jtnjjxb05cj021265,fl,49,25101,orange,black,onesource/mega auto group inc,8875,9900,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2012,Scion,tC,Base,Hatchback,manual,jtkjf5c72c3036583,wi,37,33376,blue,gray,toyota financial services,12600,11900,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
2012,Scion,iQ,Base,Hatchback,automatic,jtnjjxb02cj020042,nj,36,33528,orange,gray,j & s auto haus,8675,7800,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
