Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2000,Subaru,Outback,Base,Wagon,automatic,4s3bh6654y7671682,ma,19,180060,white,gray,boch toyota/scion south,1225,1350,Thu Feb 19 2015 18:30:00 GMT-0800 (PST)
2012,Subaru,Forester,2.5X Touring PZEV,SUV,automatic,jf2shabc0ch426857,fl,38,61851,turquoise,gray,contemporary mitsubishi,14600,15300,Tue Feb 24 2015 01:15:00 GMT-0800 (PST)
2012,Subaru,Forester,2.5X Touring PZEV,SUV,automatic,jf2shabc1ch467451,tx,41,29126,blue,gray,jpmorgan chase bank n.a.,16850,17900,Wed Feb 25 2015 02:15:00 GMT-0800 (PST)
2012,Subaru,Outback,2.5i Premium,Wagon,automatic,4s4brcbc2c3228362,tx,28,39154,blue,beige,jpmorgan chase bank n.a.,19000,17000,Wed Feb 25 2015 02:15:00 GMT-0800 (PST)
2012,Subaru,Forester,2.5X Touring PZEV,SUV,automatic,jf2shabc8ch449755,wi,47,69993,gray,gray,wheels exchange llc,14050,14800,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
2012,Subaru,Legacy,2.5i,Sedan,automatic,4s3bmca61c3011271,tx,35,38852,blue,black,jpmorgan chase bank n.a.,13800,14000,Wed Feb 25 2015 02:15:00 GMT-0800 (PST)
2013,Subaru,Impreza,2.0i Premium PZEV,Hatchback,automatic,jf1gpac62dh841122,tx,28,17009,red,black,jpmorgan chase bank n.a.,16400,15000,Wed Feb 25 2015 02:15:00 GMT-0800 (PST)
2013,Subaru,Forester,2.5X Premium PZEV,SUV,automatic,jf2shadc5dh442129,nj,44,45543,gray,gray,zanger enterprises inc,17950,18100,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2014,Subaru,Outback,2.5i Limited PZEV,Wagon,automatic,4s4brbpc5e3276430,nj,49,5753,gray,brown,jpmorgan chase bank n.a.,26200,27750,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2011,Subaru,Legacy,3.6R Limited,Sedan,automatic,4s3bmdl66b2249589,tn,44,51290,gray,black,wholesale inc # 2,14700,17000,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2003,Subaru,Legacy,L,Wagon,automatic,4s3bh635237312344,oh,28,107050,blue,black,bobb automotive inc,3125,2500,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2008,Subaru,Impreza,2.5i,Hatchback,automatic,jf1gh61658h803757,nj,29,90976,black,black,jpmorgan chase bank n.a.,6900,5700,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2010,Subaru,Legacy,2.5i Limited,Sedan,automatic,4s3bmbk62a3246350,ny,29,61819,blue,gray,par north america,12850,12500,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
2010,Subaru,Impreza,2.5i Premium,Hatchback,automatic,jf1gh6b63ah816494,nj,19,115790,burgundy,black,jpmorgan chase bank n.a.,7325,4000,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2011,Subaru,Impreza,2.5i Premium,Hatchback,automatic,jf1gh6b69bh821779,nj,38,37472,blue,beige,jpmorgan chase bank n.a.,12700,14000,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2011,Subaru,Impreza,2.5i Premium,Hatchback,automatic,jf1gh6b63bh823897,nj,24,43441,black,tan,jpmorgan chase bank n.a.,12400,12200,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2011,Subaru,Legacy,2.5i,Sedan,automatic,4s3bmca63b3212538,co,19,112039,white,beige,dt credit corporation,6975,5800,Wed Feb 25 2015 03:45:00 GMT-0800 (PST)
2011,Subaru,Forester,2.5X Premium,SUV,automatic,jf2shadc1bh772329,nj,37,34981,blue,black,jpmorgan chase bank n.a.,17300,17200,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2002,Subaru,Forester,S,Wagon,automatic,jf1sf656x2h733853,pa,3,184370,silver,gray,w & l sports cars inc,1750,2200,Mon Feb 23 2015 12:30:00 GMT-0800 (PST)
2008,Subaru,Outback,2.5I,Wagon,automatic,4s4bp61c087337797,nc,48,90086,beige,beige,hendrick honda hickory,8275,9000,Wed Feb 25 2015 06:00:00 GMT-0800 (PST)
2008,Subaru,Forester,2.5 X Premium Package,Wagon,automatic,jf1sg65618h727994,ma,24,63480,blue,tan,clay subaru,10700,7900,Tue Feb 24 2015 02:00:00 GMT-0800 (PST)
2008,Subaru,Forester,2.5 X,Wagon,automatic,jf1sg63698h715966,nc,2,158081,blue,tan,edward oshea,3975,4100,Mon Mar 02 2015 02:00:00 GMT-0800 (PST)
2010,Subaru,Outback,2.5i Limited,Wagon,automatic,4s4brbkc9a3324397,ma,41,78183,black,tan,audi cape cod,15000,14600,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2012,Subaru,Impreza,2.0i Premium PZEV,Sedan,automatic,jf1gjac63ch017033,fl,32,59816,gray,black,the hertz corporation,12350,12600,Wed Mar 04 2015 01:10:00 GMT-0800 (PST)
2012,Subaru,Impreza,WRX,Sedan,manual,jf1gv7f69cg009480,fl,27,22201,white,black,autonation toyota scion weston,23400,22700,Tue Feb 24 2015 01:15:00 GMT-0800 (PST)
2014,Subaru,Outback,2.5i Premium,Wagon,automatic,4s4brccc6e3259793,tx,47,853,green,tan,innovate loan servicing corp,22700,23700,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
2002,Subaru,Outback,Base,Wagon,automatic,4s3bh665327611190,pa,3,162578,blue,gray,w & l sports cars inc,1950,1000,Mon Feb 23 2015 12:30:00 GMT-0800 (PST)
2011,Subaru,Impreza,2.5i Premium,Sedan,automatic,jf1ge6b68bh519487,nj,28,36726,gray,black,jpmorgan chase bank n.a.,12850,12000,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2003,Subaru,Legacy,L,Sedan,automatic,4s3be635737217867,pa,21,139856,green,black,r hollenshead auto sales inc,2450,2500,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
2005,Subaru,Legacy,2.5 GT Limited,Wagon,automatic,4s3bp676154330778,wa,28,114090,red,black,wells fargo dealer services,5500,9000,Wed Feb 25 2015 04:45:00 GMT-0800 (PST)
2005,Subaru,Impreza,WRX STi,Sedan,manual,jf1gd70665l504709,pa,19,90642,black,black,r hollenshead auto sales inc,15650,14900,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
2006,Subaru,Impreza,WRX,Sedan,manual,jf1gd79646g513275,tx,19,112682,black,blue,jpmorgan chase bank n.a.,8975,9100,Wed Feb 25 2015 02:15:00 GMT-0800 (PST)
2007,Subaru,Outback,2.5i,Wagon,manual,4s4bp61c376311697,pa,46,103138,beige,tan,alans autos,6700,7500,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
2010,Subaru,Impreza,WRX,Sedan,manual,jf1ge7g6xag515556,pa,48,39590,gray,black,hyundai st constant,18800,19100,Wed Feb 25 2015 01:00:00 GMT-0800 (PST)
