Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2005,Suzuki,XL-7,EX,SUV,automatic,js3tx92vx54105880,pa,37,84745,gold,—,plaza auto sales,4050,5600,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2005,Suzuki,Forenza,EX,Sedan,automatic,kl5jj56zx5k099304,fl,21,149858,white,gray,autonation toyota fort myers,875,1400,Tue Feb 24 2015 10:00:00 GMT-0800 (PST)
2005,Suzuki,Forenza,S,Sedan,automatic,kl5jd56z95k119405,sc,27,133034,burgundy,gray,hendrick hyundai north,1125,2000,Tue Feb 24 2015 02:00:00 GMT-0800 (PST)
2004,Suzuki,Aerio,SX,Wagon,automatic,js2rc61h345254340,ga,24,106104,silver,gray,wells fargo dealer services,1225,1600,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
2009,Suzuki,SX4,LE,Sedan,automatic,js2yc412196200631,ca,32,65759,gray,gray,santander consumer,3525,4900,Wed Feb 25 2015 16:00:00 GMT-0800 (PST)
2005,Suzuki,Forenza,S,Sedan,manual,kl5jd56z75k210141,nc,19,120360,gold,gray,hendrick honda,1225,1350,Wed Feb 25 2015 06:00:00 GMT-0800 (PST)
2004,Suzuki,Forenza,S,Sedan,automatic,kl5jd52zx4k045237,nc,17,149891,blue,gray,dt credit corporation,1125,400,Tue Feb 24 2015 00:30:00 GMT-0800 (PST)
2012,Suzuki,Kizashi,Sport SLS,Sedan,automatic,js2re9a8xc6100065,nc,37,26099,blue,tan,parkway ford lincoln,12050,11700,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2006,Suzuki,Forenza,Base,Sedan,automatic,kl5jd56z06k468972,nc,29,115401,gold,gray,dab auto world & leasing,1500,800,Mon Feb 23 2015 02:00:00 GMT-0800 (PST)
2004,Suzuki,XL-7,EX,SUV,automatic,js3ty92v744108280,fl,26,82402,black,gray,autonation ford st petersburg,2200,2700,Tue Feb 24 2015 10:00:00 GMT-0800 (PST)
2012,Suzuki,SX4,LE,Sedan,manual,js2yc5a35c6301189,mo,24,47788,white,tan,santander consumer,5850,4300,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2010,Suzuki,SX4,LE,Sedan,manual,js2yc5a2xa6303525,pr,23,143228,gray,beige,oriental bank,2250,2500,Thu Feb 26 2015 03:30:00 GMT-0800 (PST)
2008,Suzuki,Forenza,Base,Sedan,automatic,kl5jd56z78k786431,nv,19,91306,black,gray,coastal credit llc,2050,2100,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2008,Suzuki,Forenza,Base,Sedan,automatic,kl5jd56z68k886486,ca,25,120862,white,gray,integrity motors,1225,2000,Thu Feb 26 2015 05:00:00 GMT-0800 (PST)
2007,Suzuki,Grand Vitara,XSport,SUV,automatic,js3te944474204353,fl,21,28379,silver,black,santander consumer,5250,4600,Thu Feb 26 2015 01:35:00 GMT-0800 (PST)
2004,Suzuki,Forenza,S,Sedan,automatic,kl5jd52z74k014317,nv,2,87891,gold,gray,smart finance,1575,2250,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2005,Suzuki,Forenza,S,Sedan,automatic,kl5jd56z95k081710,ga,19,120552,blue,gray,automobile acceptance corp,1325,1100,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
2013,Suzuki,SX4,LE,Sedan,automatic,js2yc5a31d6102027,nc,44,25323,black,black,dt credit corporation,7175,8700,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2012,Suzuki,Kizashi,SE,Sedan,automatic,js2re9a3xc6100619,nc,28,55098,silver,gray,gm financial,7900,6500,Tue Mar 03 2015 01:15:00 GMT-0800 (PST)
2011,Suzuki,SX4,LE,Sedan,automatic,js2yc5a27b6303886,ca,42,28553,white,beige,reliance motors llc,6075,8300,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
