Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2013,Tesla,Model S,Base,Sedan,automatic,5yjsa1cn5dfp27824,ca,39,28392,white,black,trade in solutions irvine,60000,56500,Tue May 05 2015 05:30:00 GMT-0700 (PDT)
2014,Tesla,Model S,85,sedan,automatic,5yjsa1h17efp36810,fl,37,28293,black,black,flag/left lane exotics llc,72000,63400,Thu Jun 18 2015 02:15:00 GMT-0700 (PDT)
2013,Tesla,Model S,Performance,sedan,automatic,5yjsa1dp5dfp04155,tx,3,20555,silver,gray,carphoria llc,67000,64500,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
2013,Tesla,Model S,Performance,sedan,automatic,5yjsa1dp0dfp04290,fl,5,21382,black,beige,braman motors,67000,69800,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
2013,Tesla,Model S,Performance,sedan,automatic,5yjsa1dp7dfp13066,fl,49,15854,gray,black,braman motorcars,69000,69200,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
2013,Tesla,Model S,Base,sedan,automatic,5yjsa1cn9dfp21184,nv,36,18464,gray,black,irvine bmw,56100,64500,Fri Jun 19 2015 04:55:00 GMT-0700 (PDT)
2013,Tesla,Model S,Base,sedan,automatic,5yjsa1cg6dfp17322,ca,41,24583,gray,black,outland motors,56100,49250,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
2013,Tesla,Model S,Base,sedan,automatic,5yjsa1cg9dfp07609,il,45,12536,gray,black,tdaf remarketing,57800,57600,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
2013,Tesla,Model S,Base,sedan,automatic,5yjsa1cn0dfp12065,ca,38,26127,gray,tan,caseys cars inc,55900,61000,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
2013,Tesla,Model S,Base,sedan,automatic,5yjsa1cg5dfp09518,pa,48,49196,—,beige,r hollenshead auto sales inc,54600,53000,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
2013,Tesla,Model S,Base,Sedan,automatic,5yjsa1cgxdfp19512,ca,43,25797,white,black,ferrari of orange county,59200,55500,Thu May 21 2015 05:00:00 GMT-0700 (PDT)
2013,Tesla,Model S,Base,Sedan,automatic,5yjsa1cg7dfp18060,pa,37,8168,black,black,r hollenshead auto sales inc,60000,60750,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
2013,Tesla,Model S,Performance,Sedan,automatic,5yjsa1cp9dfp03379,tx,5,4137,white,silver,earth motorcars llc,87000,80000,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2014,Tesla,Model S,60,Sedan,automatic,5yjsa1s1xefp33246,il,37,16962,gray,black,import exchange inc,75000,68500,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
2013,Tesla,Model S,Performance,Sedan,automatic,5yjsa1dp9dfp10282,nv,5,9566,black,black,unique autos,82000,85750,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
2014,Tesla,Model S,85,Sedan,automatic,5yjsa1h13efp40546,ca,5,1173,gray,black,high bid trading co inc,72000,71000,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2014,Tesla,Model S,85,Sedan,automatic,5yjsa1h14efp40538,ca,49,744,gray,black,high bid trading co inc,72000,70500,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2013,Tesla,Model S,Performance,Sedan,automatic,5yjsa1dn2dfp09649,ca,49,25002,red,beige,stanford car co,64000,66500,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
2013,Tesla,Model S,Performance,Sedan,automatic,5yjsa1dp4dfp13669,nv,46,13957,silver,tan,unique autos,81000,83750,Fri Feb 13 2015 03:45:00 GMT-0800 (PST)
2014,Tesla,Model S,85,Sedan,automatic,5yjsa1h11efp43347,tx,49,3746,blue,tan,remarketing by ge/alliant credit union,75000,73000,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2013,Tesla,Model S,Base,Sedan,automatic,5yjsa1cn8dfp22519,nv,49,14645,green,black,unique autos,68000,71750,Thu Feb 19 2015 14:30:00 GMT-0800 (PST)
2013,Tesla,Model S,Base,Sedan,automatic,5yjsa1cg0dfp03917,ca,48,14238,black,beige,stanford car co,68000,65000,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
2013,Tesla,Model S,Performance,Sedan,automatic,5yjsa1cp2dfp10044,tn,41,14565,red,black,wholesale inc # 2,81000,81500,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
