Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2014,Volkswagen,Jetta,SE,Sedan,automatic,3vwd07aj8em239623,ga,44,8547,white,black,jpmorgan chase bank n.a.,13050,14000,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
2003,Volkswagen,Passat,GLS 1.8T,Sedan,automatic,wvwpd63bx3p439978,fl,41,48500,green,gray,zimmerman auto brokers inc,2800,4400,Fri Feb 27 2015 01:30:00 GMT-0800 (PST)
2003,Volkswagen,New Beetle,GLS,Hatchback,automatic,3vwck21c63m410554,ca,19,111823,orange,black,lithia ford lincoln of fresno,2750,2200,Thu Feb 26 2015 05:00:00 GMT-0800 (PST)
2002,Volkswagen,New Beetle,GLS,Hatchback,automatic,3vwck21cx2m402018,pa,41,12462,yellow,black,alans autos,2625,6900,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
2002,Volkswagen,Jetta,GLS 1.8T,Sedan,automatic,3vwse69m22m053797,nc,2,149375,silver,—,hendrick chevrolet,1325,2000,Mon Mar 09 2015 02:30:00 GMT-0700 (PDT)
2002,Volkswagen,GTI,1.8T,Hatchback,manual,9bwde61j624069077,pa,19,94984,silver,black,r hollenshead auto sales inc,3075,3400,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
2001,Volkswagen,Jetta,GLS,Sedan,automatic,3vwsk69m21m143166,md,23,179088,gray,black,credit acceptance corp/vrs/southfield,1125,450,Tue Mar 03 2015 05:00:00 GMT-0800 (PST)
2014,Volkswagen,Jetta,S,Sedan,automatic,3vw2k7ajxem212571,fl,47,11610,silver,black,lokey motor company,12350,12900,Thu Feb 26 2015 01:50:00 GMT-0800 (PST)
2014,Volkswagen,Jetta,SE PZEV,Sedan,automatic,3vwd17aj8em227663,il,36,44020,silver,black,avis corporation,12100,11700,Tue Mar 10 2015 04:30:00 GMT-0700 (PDT)
2014,Volkswagen,Beetle,R-Line PZEV,Hatchback,automatic,3vwvt7at9em616800,nv,5,253,gray,black,findlay north volkswagen,18900,18400,Thu Feb 26 2015 03:45:00 GMT-0800 (PST)
2014,Volkswagen,Jetta,SE PZEV,Sedan,automatic,3vwd17aj0em263928,fl,39,27094,red,black,avis corporation,12550,12500,Thu Feb 26 2015 01:15:00 GMT-0800 (PST)
2003,Volkswagen,New Beetle,GLS,Hatchback,manual,3vwck21c73m409347,nc,29,78672,blue,gray,parkway automotive group,2975,3500,Fri Feb 27 2015 01:30:00 GMT-0800 (PST)
2014,Volkswagen,Passat,Wolfsburg Edition PZEV,Sedan,automatic,1vwat7a37ec051902,nv,35,29913,black,black,hincklease,14100,13900,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
2014,Volkswagen,Passat,Wolfsburg Edition PZEV,Sedan,automatic,1vwat7a38ec044585,nv,39,30369,silver,black,avis corporation,14450,14600,Fri Feb 27 2015 04:25:00 GMT-0800 (PST)
2014,Volkswagen,Jetta,SE PZEV,Sedan,automatic,3vwd17aj1em367604,va,28,23162,blue,black,sullivan auto trading inc,12650,12700,Thu Mar 05 2015 01:35:00 GMT-0800 (PST)
2014,Volkswagen,Passat,Wolfsburg Edition PZEV,Sedan,automatic,1vwat7a31ec053001,nv,44,30160,blue,gray,hincklease,14100,13500,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
2014,Volkswagen,Passat,Wolfsburg Edition PZEV,Sedan,automatic,1vwat7a38ec051505,nv,37,27112,silver,black,hincklease,14150,13900,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
2014,Volkswagen,Passat,Wolfsburg Edition PZEV,Sedan,automatic,1vwat7a32ec073841,ca,38,34015,silver,black,avis corporation,13900,14700,Tue Mar 03 2015 04:45:00 GMT-0800 (PST)
2013,Volkswagen,CC,R-Line PZEV,Sedan,automatic,wvwbp7an6de530487,ma,36,52925,blue,black,the hertz corporation,14150,12900,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2013,Volkswagen,Beetle,2.0L TDI,Hatchback,automatic,3vwjl7at5dm685335,nv,38,19671,beige,tan,findlay north volkswagen,15350,16200,Thu Mar 05 2015 03:45:00 GMT-0800 (PST)
2013,Volkswagen,Beetle Convertible,Turbo PZEV,Beetle Convertible,automatic,3vw7t7at0dm833529,nv,47,7906,silver,black,findlay acura,20000,20600,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
