Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2012,Volvo,S80,3.2,Sedan,automatic,yv1940as4c1153520,ca,36,54771,turquoise,black,rusnak westlake audi,16900,15000,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2006,Volvo,S40,T5,Sedan,automatic,yv1ms682562202361,nc,28,123672,gray,gray,century bmw,4050,3900,Tue Feb 24 2015 02:00:00 GMT-0800 (PST)
2006,Volvo,S60,2.5T,Sedan,automatic,yv1rs592162518306,va,21,84230,blue,gray,pohanka acura,4625,3600,Thu Feb 26 2015 01:50:00 GMT-0800 (PST)
2006,Volvo,S80,2.5T,Sedan,automatic,yv1ts592261441859,ga,36,137608,silver,beige,mercedes benz of buckhead,3150,3900,Tue Feb 24 2015 05:00:00 GMT-0800 (PST)
2001,Volvo,S80,2.9,Sedan,automatic,yv1ts94d211157253,ca,19,130540,blue,gray,high bid trading co inc,1425,1450,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2001,Volvo,S60,2.4,Sedan,automatic,yv1rs61r912049005,ca,21,163073,black,beige,aaero sweet corporation,1450,1100,Wed Mar 04 2015 03:30:00 GMT-0800 (PST)
2001,Volvo,V70,XC,Wagon,automatic,yv1sz58dx11031748,wa,2,209747,blue,beige,charitable adult rides services/car donating is,1350,550,Wed Feb 25 2015 04:35:00 GMT-0800 (PST)
1999,Volvo,S70,Base,Sedan,automatic,yv1ls55a7x2611075,ca,2,141079,white,tan,charitable auto resource,1025,600,Tue Feb 24 2015 04:00:00 GMT-0800 (PST)
2007,Volvo,V70,2.5T,Wagon,automatic,yv1sw592872617163,fl,32,99173,white,tan,sam galloway ford lincoln,6375,6500,Tue Feb 24 2015 04:00:00 GMT-0800 (PST)
2004,Volvo,XC90,T6,SUV,automatic,yv1cz91hx41037658,pa,35,99896,gold,—,lia honda,5025,5100,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2004,Volvo,S60,2.5T,Sedan,automatic,yv1rs59v642407922,ca,36,144749,gray,beige,mckenna audi/mckenna bmw,2275,2600,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2000,Volvo,S80,2.9,Sedan,automatic,yv1ts94d2y1098330,fl,36,125732,white,beige,autonation ford bradenton,1275,1100,Tue Feb 24 2015 10:00:00 GMT-0800 (PST)
2013,Volvo,S60,T5,Sedan,automatic,yv1612fs6d2189107,nj,44,40991,white,brown,wheels exchange llc,16200,17300,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
2007,Volvo,XC90,3.2,SUV,automatic,yv4cz982471365652,nv,35,103667,silver,black,remarketing by ge/manheim nevada,7875,7200,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
2010,Volvo,XC60,3.2,SUV,automatic,yv4960dl8a2101848,ca,34,58564,gray,tan,north county hyundai,15600,14800,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2009,Volvo,S60,2.5T,Sedan,automatic,yv1rs592192721426,ne,44,60788,black,gray,john markel inc,9400,10600,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2009,Volvo,C70,T5,Convertible,automatic,yv1mc67239j076347,az,35,77395,white,beige,wells fargo dealer services,11400,11000,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2008,Volvo,XC90,3.2 Special Edition,SUV,automatic,yv4cm982881423455,va,27,100283,gray,beige,don beyer volvo subaru kia of alexandria,10450,9100,Thu Feb 26 2015 01:35:00 GMT-0800 (PST)
2007,Volvo,XC90,V8 Sport,SUV,automatic,yv4ct852x71393679,tx,39,116582,black,black,gunn honda,8700,8300,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
2007,Volvo,S60,2.5T,Sedan,automatic,yv1rs592672633128,nc,23,137717,black,beige,dt credit corporation,2650,3500,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2007,Volvo,C70,T5,Convertible,automatic,yv1mc68237j025376,tx,47,75391,silver,black,hopper motorplex inc,8875,8500,Wed Feb 25 2015 02:15:00 GMT-0800 (PST)
2006,Volvo,S60,2.5T,Sedan,automatic,yv1rs592162537227,ca,37,58917,white,black,phillips auto brokerage,5325,5900,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2005,Volvo,XC90,2.5T,SUV,automatic,yv1cz592851189481,ut,22,150435,silver,gray,salt lake valley chrysler dodge jeep ram,3675,4200,Wed Mar 04 2015 03:30:00 GMT-0800 (PST)
2005,Volvo,S60,2.5T,Sedan,automatic,yv1rs592x52484560,pa,22,155146,red,beige,r hollenshead auto sales inc,1850,2500,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
2005,Volvo,XC90,V8,SUV,automatic,yv1cz852051178904,ca,25,159468,black,gray,palm springs ford-lincoln-mercury,3450,3700,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
2012,Volvo,S60,T5,Sedan,automatic,yv1622fs8c2116252,ca,39,30345,black,black,fiserv/usb dealer services northstar exchange,15450,16250,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2015,Volvo,S60,T5 Drive-E,Sedan,automatic,yv126mfb2f2302601,ca,4,15123,gray,black,volvo na rep/world omni,22500,22000,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
2015,Volvo,XC60,T5 Drive-E Premier,SUV,automatic,yv426mdb7f2612751,ca,49,12586,white,tan,volvo na rep/world omni,29700,29500,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2015,Volvo,XC60,T5 Drive-E Premier,SUV,automatic,yv426mdb3f2564262,ca,39,15564,silver,black,volvo na rep/world omni,29600,28000,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2015,Volvo,XC60,T5 Drive-E Premier,SUV,automatic,yv440mdb7f2614428,ca,44,13191,gray,beige,volvo na rep/world omni,29600,29500,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2008,Volvo,XC90,3.2,SUV,automatic,yv4cy982081480365,ca,32,75436,white,tan,ecars,9525,10800,Tue Feb 24 2015 04:30:00 GMT-0800 (PST)
2005,Volvo,XC90,2.5T,SUV,automatic,yv1cz592751152602,ca,34,93726,silver,beige,bmw north scottsdale,5100,6900,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2013,Volvo,S60,T5,Sedan,automatic,yv1612fh0d1226579,il,35,29473,blue,black,ec sales llc,20300,20750,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
2005,Volvo,S40,2.4i,Sedan,automatic,yv1ms382652101486,nj,29,146011,white,black,all american ford/subaru,2300,2400,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
