Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2014,smart,fortwo,electric drive coupe,Hatchback,automatic,wmeej9aa6ek785930,ca,48,4171,white,gray,mercedes-benz financial services,9700,10000,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
2012,smart,fortwo,passion coupe,Hatchback,automatic,wmeej3ba7ck566872,fl,37,39429,silver,black,mercedes-benz financial services,5050,4900,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
2012,smart,fortwo,passion coupe,Hatchback,automatic,wmeej3ba8ck578643,fl,42,38088,white,black,mercedes-benz financial services,5100,5200,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
2012,smart,fortwo,passion coupe,Hatchback,automatic,wmeej3ba8ck566900,fl,41,10245,white,black,mercedes-benz financial services,6325,6100,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
2013,smart,fortwo,pure coupe,Hatchback,automatic,wmeej3ba5dk630361,fl,37,18445,silver,black,mercedes-benz financial services,5925,5700,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
2013,smart,fortwo,pure coupe,Hatchback,automatic,wmeej3ba0dk595485,fl,37,45974,—,red,mercedes-benz financial services,4475,5100,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
2014,smart,fortwo,passion coupe,Hatchback,automatic,wmeej3ba2ek781191,pa,41,11399,white,black,mercedes-benz financial services,7875,7500,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
2012,smart,fortwo,passion coupe,Hatchback,automatic,wmeej3ba1ck571288,nj,33,23341,black,black,mercedes-benz financial services,5600,5500,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
2013,smart,fortwo,pure coupe,Hatchback,automatic,wmeej3ba8dk634369,fl,44,18863,red,gray,lokey motor company,6075,6500,Thu May 21 2015 02:50:00 GMT-0700 (PDT)
2014,smart,fortwo,passion coupe,Hatchback,automatic,wmeej3ba3ek770085,ga,46,12486,white,black,mercedes-benz financial services,7950,7500,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
2013,smart,fortwo,pure coupe,Hatchback,automatic,wmeej3ba7dk627011,ca,43,30647,black,black,mercedes-benz finc wholesale advantage,5350,6000,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
2012,smart,fortwo,passion coupe,Hatchback,automatic,wmeej3ba0ck524754,fl,36,34558,silver,black,mercedes-benz financial services,5250,5100,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
2012,smart,fortwo,passion coupe,Hatchback,automatic,wmeej3ba2ck571431,ga,4,36874,white,black,mercedes-benz financial services,5075,5250,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
2012,smart,fortwo,passion coupe,Hatchback,automatic,wmeej3ba6ck568712,ga,44,22298,red,black,mercedes-benz financial services,5775,4750,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
2012,smart,fortwo,passion coupe,Hatchback,automatic,wmeej3ba5ck570399,fl,43,23574,blue,black,mercedes-benz financial services,5925,5700,Thu May 21 2015 02:30:00 GMT-0700 (PDT)
2013,smart,fortwo,pure coupe,Hatchback,automatic,wmeej3ba9dk600599,fl,45,22201,white,black,mercedes-benz financial services,5900,5700,Thu May 21 2015 02:30:00 GMT-0700 (PDT)
2008,smart,fortwo,passion cabrio,Convertible,automatic,wmeek31x78k178406,ca,42,62884,blue,black,honda of pasadena,4675,4800,Tue May 26 2015 05:30:00 GMT-0700 (PDT)
2014,smart,fortwo,electric drive coupe,Hatchback,automatic,wmeej9aa2ek777808,ca,5,5551,white,tan,mercedes-benz financial services,9625,10000,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2012,smart,fortwo,passion coupe,Hatchback,automatic,wmeej3ba9ck582040,ca,48,18625,silver,black,mercedes-benz financial services,6150,6000,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2012,smart,fortwo,passion coupe,Hatchback,automatic,wmeej3ba7ck543611,ca,42,19829,green,black,mercedes-benz financial services,6100,6250,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2012,smart,fortwo,passion coupe,Hatchback,automatic,wmeej3ba8ck570834,ca,41,26338,blue,black,mercedes-benz financial services,5425,5500,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
2013,smart,fortwo,passion cabriolet,Convertible,automatic,wmeek3ba6dk612562,ca,45,43634,black,black,mercedes-benz financial services,7275,7000,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2012,smart,fortwo,passion coupe,hatchback,automatic,wmeej3ba6ck555040,fl,43,20274,silver,black,mercedes-benz financial services,5750,6400,Tue Jun 02 2015 04:00:00 GMT-0700 (PDT)
2012,smart,fortwo,passion coupe,hatchback,automatic,wmeej3ba1ck564986,ca,45,11183,blue,black,mercedes-benz financial services,6125,6500,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
2013,smart,fortwo,pure coupe,hatchback,automatic,wmeej3ba3dk593049,ca,39,28820,black,black,mercedes-benz financial services,5450,5250,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
2011,smart,fortwo,passion coupe,hatchback,automatic,wmeej3ba2bk423102,pr,32,53777,black,black,scotiabank de puerto rico,4675,6700,Thu Jun 04 2015 05:00:00 GMT-0700 (PDT)
2012,smart,fortwo,passion coupe,hatchback,automatic,wmeej3ba2ck564883,wi,4,21638,black,black,mercedes-benz financial services,5675,6000,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
2012,smart,fortwo,passion coupe,hatchback,automatic,wmeej3ba0ck572058,wi,44,30868,black,black,mercedes-benz financial services,5275,5750,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
2012,smart,fortwo,passion coupe,hatchback,automatic,wmeej3ba3ck556890,wi,48,6071,blue,black,mercedes-benz financial services,6375,7000,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
2012,smart,fortwo,passion coupe,hatchback,automatic,wmeej3ba5ck581421,wi,46,26521,red,black,mercedes-benz financial services,5475,5750,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
2012,smart,fortwo,passion coupe,hatchback,automatic,wmeej3ba8ck549756,wi,45,14902,gray,black,mercedes-benz financial services,5975,6750,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
2012,smart,fortwo,passion coupe,hatchback,automatic,wmeej3baxck578790,wi,34,29199,red,gray,mercedes-benz financial services,5350,5500,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
2010,smart,fortwo,passion coupe,hatchback,automatic,wmeej3ba1ak363974,fl,49,43056,yellow,black,blueslade motor cars llc,5125,5200,Thu May 28 2015 02:40:00 GMT-0700 (PDT)
2013,smart,fortwo,pure coupe,Hatchback,automatic,wmeej3ba9dk595100,ca,46,1444,gray,red,mercedes-benz financial services,6875,7250,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2012,smart,fortwo,passion coupe,hatchback,automatic,wmeej3ba9ck567294,fl,43,2823,black,black,mercedes-benz financial services,6550,6700,Tue Jun 02 2015 04:00:00 GMT-0700 (PDT)
2012,smart,fortwo,passion coupe,hatchback,automatic,wmeej3ba2ck571770,fl,41,12908,blue,gray,mercedes-benz financial services,6100,6200,Tue Jun 02 2015 04:00:00 GMT-0700 (PDT)
2012,smart,fortwo,passion coupe,hatchback,automatic,wmeej3ba2ck555701,nj,29,10299,silver,black,mercedes-benz financial services,6200,5700,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
2012,smart,fortwo,passion cabriolet,convertible,automatic,wmeek3ba4ck534300,tx,43,20404,red,black,hopper motorplex inc,8675,8000,Fri Jun 05 2015 04:00:00 GMT-0700 (PDT)
2008,smart,fortwo,passion cabrio,convertible,automatic,wmeek31x68k145297,nc,23,63815,black,black,north state acceptance,4475,3700,Mon Jun 01 2015 02:30:00 GMT-0700 (PDT)
2009,smart,fortwo,BRABUS coupe,hatchback,automatic,wmeej31xx9k212214,tx,37,83266,silver,black,lawler motor sports inc,3575,4500,Wed Jun 03 2015 03:20:00 GMT-0700 (PDT)
2009,smart,fortwo,BRABUS coupe,hatchback,automatic,wmeej31x79k235045,fl,38,20265,white,red,car drop,5075,5100,Thu May 28 2015 03:20:00 GMT-0700 (PDT)
2012,smart,fortwo,passion coupe,hatchback,automatic,wmeej3ba8ck554634,fl,36,31692,silver,black,mercedes-benz financial services,5325,5900,Thu May 28 2015 02:30:00 GMT-0700 (PDT)
2014,smart,fortwo,electric drive coupe,Hatchback,automatic,wmeej9aa0ek734374,ca,5,861,black,black,mercedes-benz financial services,9800,10000,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
2012,smart,fortwo,passion coupe,Hatchback,automatic,wmeej3ba7ck570761,ca,34,21843,black,black,mercedes-benz financial services,5800,5750,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
2012,smart,fortwo,passion coupe,Hatchback,automatic,wmeej3ba5ck564277,ca,48,25152,black,black,mercedes-benz financial services,5500,5500,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
2012,smart,fortwo,passion coupe,Hatchback,automatic,wmeej3ba0ck570746,ca,46,10160,white,black,mercedes-benz financial services,6550,5500,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2013,smart,fortwo,pure coupe,Hatchback,automatic,wmeej3ba2dk631998,ca,47,18138,blue,black,mercedes-benz financial services,6100,5750,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2009,smart,fortwo,BRABUS cabriolet,Convertible,automatic,wmeek31x09k280390,fl,41,57736,silver,black,remarketing by ge/dade county fcu,5100,4800,Fri May 22 2015 02:15:00 GMT-0700 (PDT)
